"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior","total Dtes Empleo_min","Cod min_mes","total Dtes Empleo_max","Cod max_mes"
"2021","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",664.25,33,139.25,165.67,34.67,147.42,144.25,14.92,154.58,23.92,435.25,35.58,533,"11",848,"01"
"2021","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",2322.58,75.25,542.17,465.08,72.83,601.08,566.17,47,557.67,123.75,1426.58,167.58,2048,"12",2589,"01"
"2021","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",41,2.08,3.83,11,2.5,7.08,14.5,2.17,9.42,0.58,27.75,1.08,30,"12",55,"01"
"2021","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",283.92,12.08,62.92,63.83,5.33,62.58,77.17,4.92,60.92,14.42,179.5,24.17,253,"11",321,"01"
"2021","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",39.08,0,7,15,0.33,6.58,10.17,0.92,10.83,0.92,24.42,2,22,"12",54,"01"
"2021","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",112.25,5.25,17.33,21.92,8.58,20.92,38.25,2.17,22,3,78.67,6.42,98,"11",139,"01"
"2021","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",284.83,11.92,51.5,83.25,11.08,51,76.08,8.67,114.17,6.67,144.67,10.67,240,"10",359,"01"
"2021","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",457.42,17.33,71.5,136.33,13.75,96.17,122.33,6.25,142.92,17.92,274.5,15.83,379,"11",536,"01"
"2021","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",27.33,1.33,3.83,6.67,0.5,7.33,7.67,8.08,6.83,2,10.17,0.25,23,"11",30,"04"
"2021","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",88.58,4.42,14,23,3.25,19.17,24.75,0.08,19.5,6,60.67,2.33,81,"12",94,"03"
"2021","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",48.25,0.33,7,7.58,3.67,10.25,19.42,2.17,8.5,1.5,30.83,5.25,41,"11",62,"01"
"2021","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",52.42,1.75,13.67,18.42,0.83,10.17,7.58,3.33,13.42,2.67,30.75,2.25,46,"10",59,"01"
"2021","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",146.83,3.08,29.17,41.58,2.5,36.92,33.58,9.67,32.08,7.5,91.92,5.67,129,"11",172,"01"
"2021","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",161.67,8,27.58,37.83,10.25,37.92,40.08,1.83,32,4.67,113.33,9.83,139,"11",204,"01"
"2021","01019",16,"País Vasco",1,"Araba/Álava","Kripan",17.08,1,1.75,3,1.42,5,4.92,0.83,3.75,1.5,11,0,11,"12",21,"01"
"2021","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",40.42,1.5,9.33,12.17,0.42,7.5,9.5,4,5.25,3.83,24,3.33,29,"11",49,"01"
"2021","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",64.25,3.75,9.58,15,3.67,10.17,22.08,2.58,12.08,0.83,46.83,1.92,54,"10",82,"01"
"2021","01022",16,"País Vasco",1,"Araba/Álava","Elciego",127.92,4.17,30.58,18.92,3,38.58,32.67,32.33,17,2.08,72.5,4,114,"11",145,"01"
"2021","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",34.5,0.83,8.08,3.83,4.08,10.25,7.42,7.92,7.83,0.25,17.25,1.25,27,"10",41,"03"
"2021","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",59.17,3.92,8.58,13.25,2.5,17.5,13.42,0.67,9.67,3.08,43.08,2.67,45,"12",77,"01"
"2021","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",238.83,7,39.42,57.75,13.58,71.33,49.75,55,29.33,9.08,129.83,15.58,223,"10",268,"01"
"2021","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",11.75,0,1.5,6.25,0.92,2.08,1,0,3.83,2.33,5.25,0.33,10,"11",15,"01"
"2021","01031",16,"País Vasco",1,"Araba/Álava","Laguardia",214.75,10.42,43,43.92,4.67,61.75,51,27.92,32.58,3.58,143.67,7,189,"11",237,"03"
"2021","01032",16,"País Vasco",1,"Araba/Álava","Lanciego/Lantziego",89.75,1.5,18.92,18.08,3.42,29.17,18.67,16.58,12.58,3.83,49.58,7.17,82,"04",96,"01"
"2021","01033",16,"País Vasco",1,"Araba/Álava","Lapuebla de Labarca",124.83,4.17,28.75,25.75,5.33,33.42,27.42,35.83,14.92,3.92,60.08,10.08,112,"10",138,"01"
