"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
201001,"2010","16","País Vasco","01","Araba/Álava",0,25915,1416,7036,4071,1013,7094,5285,369,4786,2865,16874,1021
201002,"2010","16","País Vasco","01","Araba/Álava",0,26192,1417,7040,4124,1056,7217,5338,375,4724,2874,17152,1067
201003,"2010","16","País Vasco","01","Araba/Álava",0,26087,1399,7014,4193,1045,7141,5295,413,4680,2895,16966,1133
201004,"2010","16","País Vasco","01","Araba/Álava",0,25736,1316,6911,4212,997,6974,5326,428,4654,2855,16632,1167
201005,"2010","16","País Vasco","01","Araba/Álava",0,25372,1219,6726,4158,993,6912,5364,429,4456,2765,16477,1245
201006,"2010","16","País Vasco","01","Araba/Álava",0,25198,1178,6436,4109,994,6964,5517,446,4303,2730,16426,1293
201007,"2010","16","País Vasco","01","Araba/Álava",0,25173,1142,6314,4120,974,7066,5557,472,4140,2735,16551,1275
201008,"2010","16","País Vasco","01","Araba/Álava",0,25755,1131,6596,4270,943,7240,5575,481,4342,2845,16856,1231
201009,"2010","16","País Vasco","01","Araba/Álava",0,26201,1278,6557,4250,1061,7422,5633,462,4446,2749,17155,1389
201010,"2010","16","País Vasco","01","Araba/Álava",0,26349,1272,6687,4265,1045,7397,5683,515,4314,2774,17322,1424
201011,"2010","16","País Vasco","01","Araba/Álava",0,26601,1250,6852,4309,1068,7419,5703,553,4341,2790,17425,1492
201012,"2010","16","País Vasco","01","Araba/Álava",0,26695,1172,7085,4432,984,7308,5714,538,4420,2964,17271,1502
201001,"2010","08","Castilla - La Mancha","02","Albacete",0,50791,3908,11621,7788,3290,14366,9818,3766,7651,8499,26820,4055
201002,"2010","08","Castilla - La Mancha","02","Albacete",0,52297,4103,11960,8009,3443,14719,10063,3954,7738,8547,27726,4332
201003,"2010","08","Castilla - La Mancha","02","Albacete",0,53131,4158,12134,8069,3510,14937,10323,4120,7808,8598,28079,4526
201004,"2010","08","Castilla - La Mancha","02","Albacete",0,53637,4144,12300,8226,3566,15000,10401,4655,7721,8419,28259,4583
201005,"2010","08","Castilla - La Mancha","02","Albacete",0,52285,3944,11790,7982,3473,14734,10362,4122,7415,8213,28016,4519
201006,"2010","08","Castilla - La Mancha","02","Albacete",0,51698,3855,11434,7778,3579,14629,10423,3967,7118,7951,27973,4689
201007,"2010","08","Castilla - La Mancha","02","Albacete",0,51265,3800,11370,7792,3436,14444,10423,3979,6971,7940,27769,4606
201008,"2010","08","Castilla - La Mancha","02","Albacete",0,52311,3860,11829,8030,3482,14633,10477,4046,7202,8226,28215,4622
201009,"2010","08","Castilla - La Mancha","02","Albacete",0,50807,3659,11066,7729,3440,14475,10438,3382,6794,7868,28175,4588
201010,"2010","08","Castilla - La Mancha","02","Albacete",0,52489,3822,11607,7972,3560,14873,10655,4893,6740,7695,28613,4548
