"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
202201,"2022","16","País Vasco","01","Araba/Álava",0,52971,1889,9852,11104,1760,13644,14534,1272,7534,2302,38047,3659
202202,"2022","16","País Vasco","01","Araba/Álava",0,53081,2006,9810,11060,1850,13648,14555,1265,7445,2296,38113,3806
202203,"2022","16","País Vasco","01","Araba/Álava",0,52785,1990,9629,10994,1870,13566,14589,1276,7310,2298,37850,3893
202204,"2022","16","País Vasco","01","Araba/Álava",0,52739,1885,9572,11102,1807,13590,14616,1264,7304,2289,37843,3871
202205,"2022","16","País Vasco","01","Araba/Álava",0,52061,1810,9356,11082,1759,13376,14517,1207,7223,2265,37445,3752
202206,"2022","16","País Vasco","01","Araba/Álava",0,52700,1929,9457,11086,1884,13462,14709,1172,7148,2249,38298,3680
202207,"2022","16","País Vasco","01","Araba/Álava",0,52384,1945,9343,10985,1896,13280,14765,1049,7000,2182,38525,3436
202208,"2022","16","País Vasco","01","Araba/Álava",0,49752,1797,8609,10467,1762,12732,14207,1021,6360,2091,36901,3204
202209,"2022","16","País Vasco","01","Araba/Álava",0,47578,1696,8133,9671,1681,12563,13653,1030,5502,2022,35715,3120
202210,"2022","16","País Vasco","01","Araba/Álava",0,48189,1739,8308,9760,1733,12698,13775,1069,5527,2000,36357,3053
202211,"2022","16","País Vasco","01","Araba/Álava",0,48964,1770,8517,9972,1733,12813,13986,1045,5774,2047,36842,3073
202212,"2022","16","País Vasco","01","Araba/Álava",0,47838,1619,8297,9860,1553,12466,13858,973,5683,2007,36090,2913
202201,"2022","08","Castilla - La Mancha","02","Albacete",0,37400,1286,4531,7738,1386,8273,13903,4089,4093,1964,24708,2304
202202,"2022","08","Castilla - La Mancha","02","Albacete",0,38034,1377,4629,7869,1465,8463,13980,4388,4106,1979,24945,2378
202203,"2022","08","Castilla - La Mancha","02","Albacete",0,37366,1372,4711,7719,1441,8244,13602,4481,4100,1925,24247,2389
