"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
202501,"2025","16","País Vasco","01","Araba/Álava",0,52230,1907,8630,11033,1732,12959,15819,984,6176,2216,39037,3635
202502,"2025","16","País Vasco","01","Araba/Álava",0,52722,2010,8663,11141,1826,13005,15925,963,6239,2227,39397,3722
202503,"2025","16","País Vasco","01","Araba/Álava",0,52843,2000,8708,11159,1798,12995,16022,946,6280,2226,39438,3760
202504,"2025","16","País Vasco","01","Araba/Álava",0,52212,1931,8581,11128,1764,12720,15936,928,6190,2220,38947,3746
202505,"2025","16","País Vasco","01","Araba/Álava",0,52867,1945,8725,11213,1775,12881,16178,918,6138,2231,39593,3806
202506,"2025","16","País Vasco","01","Araba/Álava",0,52530,2038,8530,11127,1734,12746,16185,912,6075,2249,39320,3798
202507,"2025","16","País Vasco","01","Araba/Álava",0,52629,2075,8582,11043,1769,12785,16193,860,6076,2206,39556,3740
202508,"2025","16","País Vasco","01","Araba/Álava",0,52295,1927,8521,11043,1678,12743,16194,853,5997,2174,39515,3581
202509,"2025","16","País Vasco","01","Araba/Álava",0,52402,1921,8484,11135,1707,12806,16183,909,6092,2157,39401,3665
202510,"2025","16","País Vasco","01","Araba/Álava",0,53201,1950,8757,11285,1764,12952,16325,944,6156,2215,39991,3713
202511,"2025","16","País Vasco","01","Araba/Álava",0,53656,1994,8825,11424,1760,12979,16492,950,6148,2230,40412,3699
202501,"2025","08","Castilla - La Mancha","02","Albacete",0,39909,1601,4852,8158,1596,8269,15174,4223,3831,1740,27408,2443
202502,"2025","08","Castilla - La Mancha","02","Albacete",0,39547,1579,4800,8112,1546,8127,15138,4271,3796,1710,27043,2465
202503,"2025","08","Castilla - La Mancha","02","Albacete",0,39484,1564,4727,8083,1557,8151,15140,4392,3905,1667,26766,2496
202504,"2025","08","Castilla - La Mancha","02","Albacete",0,37901,1390,4423,7830,1409,7694,14826,3888,3821,1668,25743,2518
202505,"2025","08","Castilla - La Mancha","02","Albacete",0,35944,1258,4044,7332,1348,7277,14390,3188,3623,1579,24772,2511
202506,"2025","08","Castilla - La Mancha","02","Albacete",0,35125,1268,3901,7176,1286,6962,14241,3168,3356,1514,24299,2479
202507,"2025","08","Castilla - La Mancha","02","Albacete",0,35717,1324,4232,7395,1254,7128,14136,3638,3315,1575,24366,2545
202508,"2025","08","Castilla - La Mancha","02","Albacete",0,35296,1288,4216,7275,1227,7090,13917,3559,3351,1609,24143,2376
202509,"2025","08","Castilla - La Mancha","02","Albacete",0,35356,1350,4228,7283,1321,7129,13758,3542,3388,1581,24204,2377
202510,"2025","08","Castilla - La Mancha","02","Albacete",0,36332,1503,4490,7392,1417,7361,13900,3754,3517,1563,24872,2366
202511,"2025","08","Castilla - La Mancha","02","Albacete",0,36310,1486,4492,7342,1443,7302,13973,3658,3587,1547,24912,2332
202501,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,217080,7989,29046,51032,7122,42572,79018,9892,27608,15052,150713,13541
202502,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,213721,7893,28301,50158,7080,41760,78206,9565,27645,14882,147812,13557
202503,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,209262,7755,27133,49347,6835,40319,77530,9486,27576,14907,143479,13557
202504,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,202945,7172,25490,48431,6384,38631,76500,8890,27722,14773,137777,13519
