"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
201701,"2017","16","País Vasco","01","Araba/Álava",0,44058,1718,9576,8004,1698,12753,10309,1357,5356,3047,30275,4023
201702,"2017","16","País Vasco","01","Araba/Álava",0,44587,1725,9715,8099,1725,12909,10414,1368,5427,3074,30718,4000
201703,"2017","16","País Vasco","01","Araba/Álava",0,44600,1735,9617,8119,1732,12949,10448,1360,5397,3066,30721,4056
201704,"2017","16","País Vasco","01","Araba/Álava",0,44714,1696,9696,8185,1698,12965,10474,1368,5435,3063,30823,4025
201705,"2017","16","País Vasco","01","Araba/Álava",0,44364,1696,9511,8122,1687,12857,10491,1310,5429,3021,30542,4062
201706,"2017","16","País Vasco","01","Araba/Álava",0,44522,1814,9378,8090,1712,12870,10658,1314,5467,2982,30626,4133
201707,"2017","16","País Vasco","01","Araba/Álava",0,44589,1790,9351,7995,1712,12913,10828,1284,5443,2896,30910,4056
201708,"2017","16","País Vasco","01","Araba/Álava",0,44057,1697,9206,7938,1655,12733,10828,1244,5432,2813,30670,3898
201709,"2017","16","País Vasco","01","Araba/Álava",0,44778,1683,9395,8011,1720,13055,10914,1326,5474,2844,31084,4050
201710,"2017","16","País Vasco","01","Araba/Álava",0,44466,1694,9279,8014,1685,12989,10805,1355,5453,2818,30816,4024
201711,"2017","16","País Vasco","01","Araba/Álava",0,44349,1707,9228,7989,1670,12949,10806,1335,5415,2790,30808,4001
201712,"2017","16","País Vasco","01","Araba/Álava",0,44124,1643,9206,7991,1614,12844,10826,1324,5388,2772,30713,3927
201701,"2017","08","Castilla - La Mancha","02","Albacete",0,50203,2130,8163,9705,2284,13344,14577,5529,5727,3798,31338,3811
201702,"2017","08","Castilla - La Mancha","02","Albacete",0,49863,2181,8092,9686,2239,13074,14591,5686,5668,3737,30970,3802
201703,"2017","08","Castilla - La Mancha","02","Albacete",0,49288,2143,7854,9506,2276,12962,14547,5579,5611,3636,30597,3865
201704,"2017","08","Castilla - La Mancha","02","Albacete",0,47835,2026,7410,9335,2188,12566,14310,5343,5509,3565,29557,3861
201705,"2017","08","Castilla - La Mancha","02","Albacete",0,45814,1881,6841,8827,2068,12113,14084,4650,5155,3393,28806,3810
201706,"2017","08","Castilla - La Mancha","02","Albacete",0,43666,1900,6373,8358,2012,11349,13674,4546,4788,3227,27309,3796
201707,"2017","08","Castilla - La Mancha","02","Albacete",0,44512,1910,6621,8372,1995,11762,13852,4824,4799,3172,27870,3847
201708,"2017","08","Castilla - La Mancha","02","Albacete",0,45216,1964,6858,8610,2019,11946,13819,4872,4919,3264,28334,3827
201709,"2017","08","Castilla - La Mancha","02","Albacete",0,44990,2014,6684,8287,2140,12073,13792,4709,4786,3062,28612,3821
201710,"2017","08","Castilla - La Mancha","02","Albacete",0,46004,2127,7150,8316,2224,12277,13910,5309,4830,2980,29104,3781
201711,"2017","08","Castilla - La Mancha","02","Albacete",0,46448,2109,7182,8394,2175,12442,14146,5149,4893,2995,29662,3749
201712,"2017","08","Castilla - La Mancha","02","Albacete",0,46454,1940,7301,8675,1997,12330,14211,5024,5139,3178,29560,3553
201701,"2017","10","Comunitat Valenciana","03","Alicante/Alacant",0,215255,7848,36597,49526,7130,50459,63695,10035,35013,19519,137855,12833
