"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
202304,"2023","01","Andalucía","04","Almería",0,85022,3467,14146,18398,3541,20473,24685,17274,2761,5716,51648,7360
202305,"2023","01","Andalucía","04","Almería",0,88919,3473,15122,19189,3619,21554,25667,20228,2718,5572,52809,7343
202306,"2023","01","Andalucía","04","Almería",0,97738,3590,17564,21180,3553,23540,28036,24426,2822,5582,57479,7210
202307,"2023","01","Andalucía","04","Almería",0,103808,3657,18961,22520,3534,24901,29931,25384,2876,5752,62432,7140
202308,"2023","01","Andalucía","04","Almería",0,103045,3658,18528,22403,3599,24994,29571,24000,2913,5864,63030,7010
202309,"2023","01","Andalucía","04","Almería",0,96069,3853,16540,20597,3794,23339,27693,20230,2945,5769,59554,7346
202310,"2023","01","Andalucía","04","Almería",0,88854,3707,14928,18935,3659,21462,25887,16931,2874,5702,55744,7364
202311,"2023","01","Andalucía","04","Almería",0,85812,3622,14596,18408,3505,20271,25129,15558,2858,5803,53954,7397
202312,"2023","01","Andalucía","04","Almería",0,84562,3427,14587,18681,3245,19597,24763,15547,2852,6002,52760,7154
202301,"2023","07","Castilla y León","05","Ávila",0,14013,417,1671,3571,402,2768,4319,751,1273,879,9404,1101
202302,"2023","07","Castilla y León","05","Ávila",0,14112,432,1658,3563,429,2771,4388,717,1284,848,9527,1147
202303,"2023","07","Castilla y León","05","Ávila",0,14133,422,1598,3567,425,2712,4538,644,1333,840,9539,1180
202304,"2023","07","Castilla y León","05","Ávila",0,13752,430,1471,3454,407,2614,4508,621,1245,818,9271,1227
202305,"2023","07","Castilla y León","05","Ávila",0,13412,396,1374,3401,397,2528,4455,578,1234,785,8992,1231
202306,"2023","07","Castilla y León","05","Ávila",0,12971,395,1267,3287,402,2410,4373,540,1192,768,8645,1253
202307,"2023","07","Castilla y León","05","Ávila",0,12562,310,1277,3176,346,2381,4277,493,1152,750,8378,1182
202308,"2023","07","Castilla y León","05","Ávila",0,12464,302,1318,3163,324,2346,4210,464,1149,758,8322,1136
202309,"2023","07","Castilla y León","05","Ávila",0,12422,373,1331,3137,369,2347,4097,447,1155,753,8336,1175
202310,"2023","07","Castilla y León","05","Ávila",0,12909,391,1411,3234,397,2398,4257,582,1225,734,8591,1185
202311,"2023","07","Castilla y León","05","Ávila",0,13545,439,1529,3420,415,2473,4394,812,1187,794,8990,1196
202312,"2023","07","Castilla y León","05","Ávila",0,13312,429,1574,3374,380,2428,4268,721,1197,819,8808,1171
202301,"2023","11","Extremadura","06","Badajoz",0,92942,3636,11585,18644,3986,21859,32994,18735,4335,6718,58681,4167
202302,"2023","11","Extremadura","06","Badajoz",0,93526,3764,11658,18751,4065,21908,33159,18545,4499,6785,59064,4344
202303,"2023","11","Extremadura","06","Badajoz",0,92794,3716,11591,18723,3937,21449,33148,18305,4367,6771,58605,4429
202304,"2023","11","Extremadura","06","Badajoz",0,86654,3250,10252,17557,3618,19741,31979,15073,4097,6641,56127,4384
202305,"2023","11","Extremadura","06","Badajoz",0,83427,3087,9542,17064,3489,18736,31261,13511,3831,6357,54964,4430
202306,"2023","11","Extremadura","06","Badajoz",0,82673,3105,9271,16990,3467,18191,31407,13113,3695,6398,54452,4687
202307,"2023","11","Extremadura","06","Badajoz",0,82308,2940,9336,17083,3189,18107,31288,14191,3328,6388,53517,4548
202308,"2023","11","Extremadura","06","Badajoz",0,82127,2893,9301,16992,3188,18285,31154,14083,3394,6399,53516,4399
202309,"2023","11","Extremadura","06","Badajoz",0,84730,3267,9700,17491,3598,18854,31539,16067,3704,6151,54187,4316
202310,"2023","11","Extremadura","06","Badajoz",0,90540,3631,10927,18682,3825,20451,32810,18941,4240,6183,56616,4258
202311,"2023","11","Extremadura","06","Badajoz",0,87882,3341,10210,17720,3752,19973,32652,17346,4147,5978,55887,4174
202312,"2023","11","Extremadura","06","Badajoz",0,87659,3204,10525,18198,3452,19530,32502,18068,4208,6207,54884,3961
202301,"2023","04","Balears, Illes","07","Balears, Illes",0,132732,5858,25410,26301,5116,32860,37143,1148,3519,6408,118162,3377
202302,"2023","04","Balears, Illes","07","Balears, Illes",0,118488,5260,21462,23209,4762,29530,34211,1094,3331,6140,104307,3496
202303,"2023","04","Balears, Illes","07","Balears, Illes",0,92717,4323,15529,18406,3942,22574,27874,941,3024,5856,79169,3605
202304,"2023","04","Balears, Illes","07","Balears, Illes",0,64472,2989,9726,13855,2884,14734,20186,788,2573,5489,52009,3479
202305,"2023","04","Balears, Illes","07","Balears, Illes",0,51978,2184,7402,11689,2173,11289,17128,676,2355,5131,40485,3184
202306,"2023","04","Balears, Illes","07","Balears, Illes",0,50747,2122,7146,11637,1927,10838,16954,655,2365,5204,39264,3151
202307,"2023","04","Balears, Illes","07","Balears, Illes",0,52877,2214,7688,12001,1852,11404,17601,676,2560,5572,40785,3159
202308,"2023","04","Balears, Illes","07","Balears, Illes",0,54716,2352,8107,12506,1973,11978,17693,664,2731,5953,42209,3042
202309,"2023","04","Balears, Illes","07","Balears, Illes",0,55816,2975,8586,12510,2553,11878,17225,747,2691,5818,43329,3101
202310,"2023","04","Balears, Illes","07","Balears, Illes",0,74213,4251,12870,15181,3652,17242,20952,899,2834,5850,61406,3103
202311,"2023","04","Balears, Illes","07","Balears, Illes",0,123138,6358,23319,24040,5519,29760,34087,1110,3408,6098,109170,3247
