"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
201301,"2013","16","País Vasco","01","Araba/Álava",0,38034,1470,10005,6439,1494,10906,7720,896,5735,3834,24846,2723
201302,"2013","16","País Vasco","01","Araba/Álava",0,38633,1542,10101,6563,1555,11082,7790,923,5715,3874,25339,2782
201303,"2013","16","País Vasco","01","Araba/Álava",0,38863,1557,10158,6613,1560,11140,7835,929,5706,3915,25476,2837
201304,"2013","16","País Vasco","01","Araba/Álava",0,38527,1543,9971,6608,1534,11032,7839,930,5541,3855,25349,2852
201301,"2013","08","Castilla - La Mancha","02","Albacete",0,67904,4060,15716,12013,3689,18423,14003,7104,8819,8347,38438,5196
201302,"2013","08","Castilla - La Mancha","02","Albacete",0,67993,4069,15618,12124,3693,18352,14137,7152,8741,8381,38476,5243
201303,"2013","08","Castilla - La Mancha","02","Albacete",0,67201,4093,15257,12082,3639,18011,14119,6845,8725,8345,38004,5282
201304,"2013","08","Castilla - La Mancha","02","Albacete",0,65691,3924,14645,11970,3555,17542,14055,6491,8595,8196,37194,5215
201301,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,278747,12490,65228,57902,11379,68893,62855,11109,48278,38382,162128,18850
201302,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,280578,12793,65523,58244,11521,69242,63255,11397,48304,38183,163475,19219
201303,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,278977,12758,64288,58641,11413,68413,63464,11233,49788,37956,160740,19260
201304,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,277443,12626,63198,58799,11431,67846,63543,10853,50371,37476,159367,19376
201301,"2013","01","Andalucía","04","Almería",0,100635,4820,25617,20723,4553,26089,18833,15405,6417,16419,53081,9313
201302,"2013","01","Andalucía","04","Almería",0,102763,5138,26217,21042,4810,26595,18961,15927,6513,16461,54253,9609
201303,"2013","01","Andalucía","04","Almería",0,104436,5338,26703,21235,5058,26997,19105,16970,6517,16389,54687,9873
201304,"2013","01","Andalucía","04","Almería",0,106205,5306,26957,21218,5340,27927,19457,17598,6571,16132,55833,10071
201301,"2013","07","Castilla y León","05","Ávila",0,23316,1483,5288,5266,1244,5674,4361,1848,1777,4700,12539,2452
