"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior","total Dtes Empleo_min","Cod min_mes","total Dtes Empleo_max","Cod max_mes"
"2015","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",347.83,17.83,79.67,60.83,15.83,108.25,65.42,9.58,47.33,24.17,234.67,32.08,336,"02",361,"07"
"2015","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",1478.42,68.67,309.92,283,71.25,415.42,330.17,38.17,274.5,127.33,858.83,179.58,1453,"12",1495,"02"
"2015","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",48.17,1.17,9.08,11.75,0.83,15.17,10.17,1,18.25,0.42,25.75,2.75,45,"01",52,"05"
"2015","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",205.17,6.58,52.67,27.25,6.33,55.25,57.08,6.17,36.25,12.08,131.92,18.75,196,"08",210,"03"
"2015","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",22.42,0.25,4.83,3.25,0.92,7.42,5.75,1.42,3,3,14.08,0.92,20,"04",26,"09"
"2015","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",67.92,3.67,17.17,10.58,3.25,16,17.25,1.42,12.25,2.33,48.42,3.5,62,"05",73,"07"
"2015","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",194.25,7.42,38.33,52.83,5,42.25,48.42,8.17,69.33,8.92,93.08,14.75,180,"06",206,"01"
"2015","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",263.92,9.33,50.42,56.5,10.42,88.17,49.08,4.5,54,19.58,176,9.83,251,"05",274,"09"
"2015","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",14.42,0,3.17,1,1.92,4.08,4.25,5.75,1.75,0,6.92,0,13,"06",16,"10"
"2015","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",63.92,0.25,12.42,21.83,0.25,16.58,12.58,2.83,10.42,5.67,44.75,0.25,59,"12",70,"03"
"2015","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",41.08,0.58,10.92,6.25,2,16.42,4.92,6.67,3,4,22.42,5,36,"11",46,"01"
"2015","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",32.5,2,7.17,9.25,0.75,10.42,2.92,1.67,4.83,4.25,18,3.75,30,"05",35,"03"
"2015","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",112.67,4.83,24.75,28.25,5.58,28,21.25,8.92,26.5,6.25,63.33,7.67,103,"12",120,"07"
"2015","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",102.92,3.5,23.67,20.67,5.67,21.67,27.75,2.5,18.33,5.42,71.58,5.08,96,"03",109,"11"
"2015","01019",16,"País Vasco",1,"Araba/Álava","Kripan",6.92,0.17,0.25,1.5,0,3.08,1.92,1.25,1.75,0,3.92,0,4,"07",9,"01"
"2015","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",31.58,1.58,7.08,7.92,1,6.33,7.67,1,4.83,1.75,20,4,26,"12",35,"06"
"2015","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",37.17,2,3.08,9.5,2.25,9.75,10.58,1.17,1.25,2.42,29.83,2.5,35,"04",41,"09"
"2015","01022",16,"País Vasco",1,"Araba/Álava","Elciego",99.58,4,27.08,13.58,3,34.25,17.67,27.58,12.5,3.75,46.58,9.17,88,"10",111,"03"
"2015","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",29.17,1.08,7.08,1.92,1,8.33,9.75,9.67,3.42,1.17,13.5,1.42,26,"02",32,"06"
"2015","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",45.33,1.83,7.25,7.17,1.25,16.17,11.67,0.75,6.25,1.33,35.92,1.08,36,"12",54,"04"
"2015","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",173.75,10.42,32.33,33.58,12.83,51.83,32.75,42.42,25.58,14,73.92,17.83,162,"07",180,"04"
"2015","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",6.58,0.25,1,4.08,0.17,1.08,0,0,1.08,1.67,3.83,0,4,"09",8,"02"
"2015","01031",16,"País Vasco",1,"Araba/Álava","Laguardia",145,3.33,31.33,30.42,5.08,43.5,31.33,19.5,20.58,4.67,90.25,10,135,"02",159,"12"
"2015","01032",16,"País Vasco",1,"Araba/Álava","Lanciego/Lantziego",72.92,3,20.17,12.83,4.5,23.25,9.17,24.58,8.25,6,26.5,7.58,63,"09",78,"01"
"2015","01033",16,"País Vasco",1,"Araba/Álava","Lapuebla de Labarca",97,5.33,23,19.75,4.25,22.58,22.08,36.75,9.17,3.25,39.25,8.58,91,"11",103,"05"
"2015","01034",16,"País Vasco",1,"Araba/Álava","Leza",18.42,0.17,3,5.58,2.08,6.17,1.42,6.83,1.83,0.58,6.75,2.42,16,"07",21,"01"
"2015","01036",16,"País Vasco",1,"Araba/Álava","Laudio/Llodio",2754.17,121.33,620.67,509.5,121.42,773.92,607.33,53.42,450.5,170.25,1808,272,2694,"12",2788,"09"
"2015","01037",16,"País Vasco",1,"Araba/Álava","Arraia-Maeztu",53.92,1.67,12.75,12.42,1.17,15.42,10.5,2.92,12.5,2.08,33.42,3,48,"11",60,"06"
"2015","01039",16,"País Vasco",1,"Araba/Álava","Moreda de Álava/Moreda Araba",27.08,0.75,6.5,6.5,3.33,3.25,6.75,4,1.75,4.5,14.92,1.92,24,"12",32,"01"
"2015","01041",16,"País Vasco",1,"Araba/Álava","Navaridas",10.33,0.25,1.25,2.25,0,4.58,2,4.25,0.5,0,4.33,1.25,8,"08",12,"02"
"2015","01042",16,"País Vasco",1,"Araba/Álava","Okondo",130.5,4,28.75,29.5,3.83,38,26.42,12.33,22.5,7.17,82.83,5.67,123,"03",136,"07"
"2015","01043",16,"País Vasco",1,"Araba/Álava","Oyón-Oion",582.25,30,148.25,114,30.17,156.92,102.92,100.92,93.25,42.08,263.92,82.08,557,"08",596,"05"
"2015","01044",16,"País Vasco",1,"Araba/Álava","Peñacerrada-Urizaharra",14.17,0.83,4,2.42,0,4.08,2.83,0,2.83,1.33,9.33,0.67,11,"12",17,"06"
"2015","01046",16,"País Vasco",1,"Araba/Álava","Erriberagoitia/Ribera Alta",62.75,1.92,9,15.25,4.67,14.5,17.42,2.17,8.08,6.5,42,4,60,"02",69,"12"
"2015","01047",16,"País Vasco",1,"Araba/Álava","Ribera Baja/Erribera Beitia",121.17,6.08,28.83,17.42,7.42,41.83,19.58,5.25,14.83,12.25,80.17,8.67,114,"09",128,"01"
"2015","01049",16,"País Vasco",1,"Araba/Álava","Añana",14.83,0.25,4.25,3.58,0,3.75,3,0,2.08,0.75,11.75,0.25,13,"06",19,"03"
"2015","01051",16,"País Vasco",1,"Araba/Álava","Salvatierra/Agurain",795.92,30.08,167.75,135.08,34.17,243.5,185.33,29.08,151.67,42,500.42,72.75,750,"06",831,"10"
"2015","01052",16,"País Vasco",1,"Araba/Álava","Samaniego",11.75,0.58,1.67,2.33,0,4.5,2.67,2.25,0,0,7.42,2.08,9,"12",14,"06"
"2015","01053",16,"País Vasco",1,"Araba/Álava","San Millán/Donemiliaga",59.25,1.58,15.58,12.83,1.33,13.83,14.08,0.67,13.08,3.92,40.67,0.92,51,"08",68,"03"
