"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior","total Dtes Empleo_min","Cod min_mes","total Dtes Empleo_max","Cod max_mes"
"2019","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",382,12.25,81.83,78.92,15.33,100.17,93.5,6.67,64.08,17.5,261.58,32.17,365,"06",396,"01"
"2019","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",1680,78.08,322.5,301.17,65.17,487.08,426,44.92,274.08,100.5,1089.67,170.83,1647,"05",1705,"07"
"2019","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",34.33,0,4.5,10.75,1.5,7,10.58,1,8.83,3.75,19.75,1,32,"01",37,"09"
"2019","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",207.08,7.92,37.33,36.42,5.17,58.67,61.58,4.33,32.83,11.83,136.67,21.42,195,"06",219,"01"
"2019","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",22.75,0.33,1.75,6.83,0.83,5.92,7.08,0,2.67,1,19.08,0,19,"01",26,"12"
"2019","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",75.5,5.08,9.33,16.67,5.25,14.67,24.5,2,11.5,2.75,54,5.25,70,"04",81,"09"
"2019","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",204.08,5.5,45.08,48.92,6.67,39.67,58.25,7.5,73.33,6.58,105.92,10.75,193,"08",213,"01"
"2019","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",285.67,8.42,42.67,55.67,8,81.17,89.75,6.58,54.17,13.17,196,15.75,275,"04",297,"09"
"2019","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",18.58,1.75,3.33,2,1.58,3.67,6.25,6.42,4.92,1,5.42,0.83,17,"12",20,"07"
"2019","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",55.42,1.33,8,16.75,1.25,11.67,16.42,1,6.83,4.17,41.75,1.67,51,"03",60,"12"
"2019","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",37.92,1.5,4.08,7.75,1.67,10.42,12.5,2.08,8.08,0.08,23.58,4.08,35,"07",40,"02"
"2019","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",34.58,2.33,8.83,8.42,0.33,11.92,2.75,2.33,5.17,3.33,20.08,3.67,29,"01",39,"04"
"2019","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",118.83,3.75,28,24.08,2.17,31.58,29.25,6.92,26.58,7.75,70.92,6.67,112,"08",126,"02"
"2019","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",110.25,4.83,22.75,17.25,3.25,32.25,29.92,1,20.5,5.17,75.67,7.92,101,"02",118,"09"
"2019","01019",16,"País Vasco",1,"Araba/Álava","Kripan",9.25,0,0.33,2.17,0.33,3.75,2.67,0.42,1.67,0,7.17,0,7,"03",13,"12"
"2019","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",35.83,1.33,7.58,8.42,0.5,8.83,9.17,3.67,3.33,1.08,23.92,3.83,30,"01",42,"07"
"2019","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",37.17,2.25,4.42,6.92,1.83,8.17,13.58,1,3.58,1.5,30.92,0.17,31,"03",42,"10"
"2019","01022",16,"País Vasco",1,"Araba/Álava","Elciego",101.25,4.17,26.42,10.58,4.58,34.25,21.25,35.58,12.75,2,44.58,6.33,92,"08",116,"02"
"2019","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",27.25,0.17,5.92,2.75,1.83,8.08,8.5,5.5,4.58,0.67,14.42,2.08,24,"01",32,"07"
"2019","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",39.67,1.58,5.75,8,1.33,11.92,11.08,0.67,3.75,2.33,32.33,0.58,31,"08",46,"02"
"2019","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",194.33,8.5,37.08,43.5,11.75,53.67,39.83,50,20.67,11.17,100,12.5,178,"08",208,"04"
"2019","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",6.42,0,2.58,2.25,0.08,1.25,0.25,0,0.5,2.67,3.25,0,5,"01",8,"11"
"2019","01031",16,"País Vasco",1,"Araba/Álava","Laguardia",144.25,3.08,24.75,29.08,3.17,44.92,39.25,16.08,18.33,2.42,99.75,7.67,139,"05",149,"01"
"2019","01032",16,"País Vasco",1,"Araba/Álava","Lanciego/Lantziego",81.75,1.75,20,14.25,1.25,29.33,15.17,24.08,7.83,4.42,37,8.42,78,"02",87,"11"
"2019","01033",16,"País Vasco",1,"Araba/Álava","Lapuebla de Labarca",107.58,3.67,24.17,19.75,7.33,28.58,24.08,38.08,9.33,1.17,44.25,14.75,98,"08",113,"01"
"2019","01034",16,"País Vasco",1,"Araba/Álava","Leza",16,0.5,0.92,5.67,1.25,4.42,3.25,6.17,1.08,0,7.75,1,14,"02",19,"08"
"2019","01036",16,"País Vasco",1,"Araba/Álava","Laudio/Llodio",2609,115.5,499.33,462,105.42,722.42,704.33,62.25,350.17,118.33,1815.42,262.83,2571,"08",2637,"07"
"2019","01037",16,"País Vasco",1,"Araba/Álava","Arraia-Maeztu",55.58,2.25,8.33,12.92,1.42,17,13.67,3,11.33,3.33,35.25,2.67,52,"03",59,"07"
"2019","01039",16,"País Vasco",1,"Araba/Álava","Moreda de Álava/Moreda Araba",24.92,1,3.33,6.75,2.25,1.17,10.42,2.08,1.33,1.42,15.83,4.25,22,"10",28,"01"
"2019","01041",16,"País Vasco",1,"Araba/Álava","Navaridas",9.5,1.17,2,0.92,0.58,4.25,0.58,4.83,0.75,0.5,2.75,0.67,8,"06",12,"07"
"2019","01042",16,"País Vasco",1,"Araba/Álava","Okondo",136.5,2.5,20.58,24.5,2.08,46.17,40.67,9.92,23.5,7.58,87.5,8,128,"04",147,"11"
"2019","01043",16,"País Vasco",1,"Araba/Álava","Oyón-Oion",603.92,34.25,117.5,132.08,33.33,164.33,122.42,119.33,75.58,27.67,303.92,77.42,569,"08",627,"01"
"2019","01044",16,"País Vasco",1,"Araba/Álava","Peñacerrada-Urizaharra",13.58,0.58,4.42,2,0.83,3.17,2.58,0,1.17,1.92,10.5,0,11,"04",16,"12"
"2019","01046",16,"País Vasco",1,"Araba/Álava","Erriberagoitia/Ribera Alta",80.33,2.08,10,14.67,3.67,24.33,25.58,2.5,8.08,2.08,64,3.67,75,"01",83,"04"
"2019","01047",16,"País Vasco",1,"Araba/Álava","Ribera Baja/Erribera Beitia",123.92,4.75,26.83,14.58,6.33,38.33,33.08,5.42,17.92,8.08,76,16.5,117,"04",134,"12"
"2019","01049",16,"País Vasco",1,"Araba/Álava","Añana",13,0.58,2.08,7.17,0,1.92,1.25,0,2.42,0.5,10,0.08,11,"01",16,"11"
"2019","01051",16,"País Vasco",1,"Araba/Álava","Salvatierra/Agurain",760.25,20.92,145.83,123.42,32.75,226,211.33,24.25,144.5,29.67,493.25,68.58,735,"06",791,"12"
"2019","01052",16,"País Vasco",1,"Araba/Álava","Samaniego",16.67,1.17,4.67,3,1,4.42,2.42,1.42,2.25,1,11,1,15,"06",18,"09"
"2019","01053",16,"País Vasco",1,"Araba/Álava","San Millán/Donemiliaga",64.42,0.67,8.25,23.92,1.83,14.5,15.25,2.08,17.25,4.83,39,1.25,56,"09",71,"01"
"2019","01054",16,"País Vasco",1,"Araba/Álava","Urkabustaiz",139.92,7.42,28.33,28.75,2.25,39.5,33.67,9.08,14.83,8.33,94.58,13.08,129,"05",147,"12"
"2019","01055",16,"País Vasco",1,"Araba/Álava","Valdegovía/Gaubea",89.83,5.08,14.92,18.17,2.5,21.75,27.42,3.75,16.83,3.75,64.17,1.33,84,"09",101,"12"
"2019","01056",16,"País Vasco",1,"Araba/Álava","Harana/Valle de Arana",14.75,0.75,2.42,7.33,0,1.75,2.5,2.33,2,4.17,6.25,0,12,"08",17,"11"
"2019","01057",16,"País Vasco",1,"Araba/Álava","Villabuena de Álava/Eskuernaga",15.83,1,2,4.08,1,5.42,2.33,4.17,3.33,0.83,7.42,0.08,9,"08",21,"01"
"2019","01058",16,"País Vasco",1,"Araba/Álava","Legutio",216.33,4,41.5,46.58,5.08,67.25,51.92,7.33,38.08,11.08,138.75,21.08,211,"01",223,"05"
"2019","01059",16,"País Vasco",1,"Araba/Álava","Vitoria-Gasteiz",34568.75,1386.83,6706.08,6200.33,1313.33,10028.67,8933.5,711.33,3828.33,1927.33,25096.75,3005,34117,"08",34968,"11"
"2019","01060",16,"País Vasco",1,"Araba/Álava","Yécora/Iekora",18.83,0.75,7,2.92,1,4.67,2.5,6,1.25,0.67,8.92,2,17,"07",21,"09"
"2019","01061",16,"País Vasco",1,"Araba/Álava","Zalduondo",18,0.5,3.25,5,0,3.33,5.92,0,2.25,1.83,12.92,1,15,"02",21,"12"
"2019","01062",16,"País Vasco",1,"Araba/Álava","Zambrana",47,1.25,9.25,6.33,1.5,11.42,17.25,2.67,7.17,2.25,33.08,1.83,42,"08",53,"11"
"2019","01063",16,"País Vasco",1,"Araba/Álava","Zuia",168.83,9.5,22.33,37.92,7,35.08,57,5.08,15.5,5.25,132.08,10.92,155,"02",184,"08"
"2019","01901",16,"País Vasco",1,"Araba/Álava","Iruña Oka/Iruña de Oca",392.83,10.92,79.5,67.33,15.5,110.5,109.08,10.17,47.42,21.08,281.75,32.42,378,"05",408,"11"
"2019","01902",16,"País Vasco",1,"Araba/Álava","Lantarón",51.58,1.58,5.83,21.92,1.33,8.42,12.5,3.08,8.67,3.83,34.08,1.92,47,"04",56,"11"
"2019","02001",8,"Castilla - La Mancha",2,"Albacete","Abengibre",49,0.25,6,13.42,2.17,10.67,16.5,10.92,3.75,0.75,29.67,3.92,47,"03",53,"05"
"2019","02002",8,"Castilla - La Mancha",2,"Albacete","Alatoz",55.17,1.67,7.33,11.42,0.58,12.33,21.83,4.67,6.67,18.17,24.58,1.08,49,"09",60,"06"
"2019","02003",8,"Castilla - La Mancha",2,"Albacete","Albacete",18409.08,837.25,2823.33,3280.75,848.92,4894.42,5724.42,908.58,1514.42,934.92,13229.58,1821.58,17580,"06",18929,"01"
"2019","02004",8,"Castilla - La Mancha",2,"Albacete","Albatana",78,1.33,9.33,15,4,11.67,36.67,18.58,7.5,1.5,47.08,3.33,74,"06",82,"11"
"2019","02005",8,"Castilla - La Mancha",2,"Albacete","Alborea",83.33,4.58,10,22.67,2.42,16.92,26.75,20.67,7.75,4.33,48.5,2.08,77,"06",88,"01"
"2019","02006",8,"Castilla - La Mancha",2,"Albacete","Alcadozo",73.25,1,8.25,15.08,1.25,20.92,26.75,3.75,5.5,5.67,58,0.33,56,"01",82,"12"
"2019","02007",8,"Castilla - La Mancha",2,"Albacete","Alcalá del Júcar",116.67,2.33,20.83,31.5,3.08,25,33.92,7.08,5.58,6.33,92.75,4.92,105,"08",129,"01"
"2019","02008",8,"Castilla - La Mancha",2,"Albacete","Alcaraz",171.92,6.17,28.58,40.33,7.5,38.5,50.83,27.5,4.83,6.42,126.83,6.33,165,"01",182,"06"
"2019","02009",8,"Castilla - La Mancha",2,"Albacete","Almansa",2934.83,128.33,323.17,530.25,118.5,666.5,1168.08,92.83,738.25,125.92,1705.58,272.25,2739,"06",3059,"02"
"2019","02010",8,"Castilla - La Mancha",2,"Albacete","Alpera",265.67,5.08,28.75,51.33,9.33,77.58,93.58,44,61.58,15.67,129.75,14.67,244,"09",293,"04"
"2019","02011",8,"Castilla - La Mancha",2,"Albacete","Ayna",48.5,1.33,9.58,14.92,1,6.42,15.25,6.42,3.92,10.83,25.92,1.42,41,"05",59,"12"
"2019","02012",8,"Castilla - La Mancha",2,"Albacete","Balazote",251.42,7.92,26.33,39.25,15.5,76.67,85.75,41.08,38.67,13,150.75,7.92,234,"10",285,"05"
"2019","02013",8,"Castilla - La Mancha",2,"Albacete","Balsa de Ves",13.17,0.08,0.75,3.83,1.33,2.25,4.92,1.42,0,0.17,8.33,3.25,11,"02",17,"12"
"2019","02014",8,"Castilla - La Mancha",2,"Albacete","Ballestero, El",31.25,0.75,1,4.33,0.25,7.25,17.67,3,1.5,1.17,24.67,0.92,24,"12",41,"02"
"2019","02015",8,"Castilla - La Mancha",2,"Albacete","Barrax",283.33,6.75,17.08,40.25,15.58,80.5,123.17,26.5,37.17,7,193,19.67,265,"05",302,"12"
"2019","02016",8,"Castilla - La Mancha",2,"Albacete","Bienservida",104.08,3.92,11.08,27.58,4.67,19.33,37.5,17.83,2.08,3.67,77.83,2.67,90,"07",116,"12"
"2019","02017",8,"Castilla - La Mancha",2,"Albacete","Bogarra",112.25,3.33,7.83,40.5,1.83,20.92,37.83,10.25,7.08,42.17,50.67,2.08,100,"09",124,"02"
"2019","02018",8,"Castilla - La Mancha",2,"Albacete","Bonete",112.42,5.42,11.92,18.17,4.17,23.33,49.42,22,20,5.83,52.5,12.08,98,"07",130,"02"
"2019","02019",8,"Castilla - La Mancha",2,"Albacete","Bonillo, El",324.17,6.5,25.17,54.08,13.75,66.33,158.33,40.08,25.17,106.33,143.67,8.92,283,"06",364,"04"
"2019","02020",8,"Castilla - La Mancha",2,"Albacete","Carcelén",53.92,2.5,7.5,7.75,1,15.5,19.67,4.75,2.67,2.75,42.42,1.33,49,"01",57,"10"
"2019","02021",8,"Castilla - La Mancha",2,"Albacete","Casas de Juan Núñez",135.25,7.5,15.58,26.75,4.92,32.58,47.92,11.42,8.42,8.67,95,11.75,112,"06",154,"11"
"2019","02022",8,"Castilla - La Mancha",2,"Albacete","Casas de Lázaro",32.42,1.92,4.33,9.25,0.92,6.33,9.67,3.58,1.58,3.25,22.42,1.58,26,"08",39,"05"
"2019","02023",8,"Castilla - La Mancha",2,"Albacete","Casas de Ves",62.83,1.92,6.33,16.5,0.75,12.58,24.75,8.33,2.83,1,47.83,2.83,57,"10",69,"01"
"2019","02024",8,"Castilla - La Mancha",2,"Albacete","Casas-Ibáñez",482.83,15.33,60.33,103.58,16.5,110.33,176.75,83.67,67.08,16.83,282.17,33.08,439,"09",505,"01"
"2019","02025",8,"Castilla - La Mancha",2,"Albacete","Caudete",1208.42,58,148.83,207.58,53.42,323.25,417.33,104.67,188,67.5,742.33,105.92,1131,"05",1261,"09"
"2019","02026",8,"Castilla - La Mancha",2,"Albacete","Cenizate",131.83,2.25,16.5,28.25,4.33,31.5,49,37.5,8.67,2.83,82.25,0.58,123,"09",141,"12"
"2019","02027",8,"Castilla - La Mancha",2,"Albacete","Corral-Rubio",25,0.83,1.92,5.33,1.08,6,9.83,4.75,0.33,0.08,16.5,3.33,23,"05",27,"02"
"2019","02028",8,"Castilla - La Mancha",2,"Albacete","Cotillas",19.83,0.17,0.92,10.42,0.25,0.33,7.75,3.33,1,3.33,11.92,0.25,15,"12",25,"02"
"2019","02029",8,"Castilla - La Mancha",2,"Albacete","Chinchilla de Monte-Aragón",430.5,19.58,55.42,76.58,18,114.25,146.67,23.33,59.92,19.67,293.58,34,403,"07",466,"12"
"2019","02030",8,"Castilla - La Mancha",2,"Albacete","Elche de la Sierra",590.17,25.58,70.58,121.75,27.92,127.92,216.42,51.5,42.58,29.17,437.25,29.67,559,"06",621,"03"
"2019","02031",8,"Castilla - La Mancha",2,"Albacete","Férez",111.67,2.92,13.17,21.42,1.83,22.67,49.67,10.75,4.92,38.42,52.83,4.75,99,"01",116,"04"
"2019","02032",8,"Castilla - La Mancha",2,"Albacete","Fuensanta",33.75,0.58,5.5,12.92,1.25,4.08,9.42,2.75,2.33,2.25,24.67,1.75,28,"08",38,"12"
"2019","02033",8,"Castilla - La Mancha",2,"Albacete","Fuente-Álamo",355.17,11.42,34.33,69.83,18.75,84.5,136.33,53.17,33.42,8.83,227.17,32.58,336,"06",372,"12"
"2019","02034",8,"Castilla - La Mancha",2,"Albacete","Fuentealbilla",189.92,8.33,22,36.67,10.5,43.83,68.58,45.67,15.58,2.75,121.67,4.25,174,"05",208,"08"
"2019","02035",8,"Castilla - La Mancha",2,"Albacete","Gineta, La",244.83,13.75,29.83,50.25,12.83,71.08,67.08,14.25,25.33,17.25,170.83,17.17,214,"07",272,"11"
"2019","02036",8,"Castilla - La Mancha",2,"Albacete","Golosalvo",12.42,0,1.42,4.17,0,1,5.83,0.58,0.83,0.5,10.5,0,11,"01",13,"04"
"2019","02037",8,"Castilla - La Mancha",2,"Albacete","Hellín",4321.58,195.17,572.33,735.08,207.25,1092.67,1519.08,830.08,538.08,196,2548.08,209.33,3714,"05",4776,"12"
"2019","02038",8,"Castilla - La Mancha",2,"Albacete","Herrera, La",39.5,1,3.42,6.42,1.25,6.83,20.58,8.83,3.42,0.25,24.92,2.08,33,"09",48,"11"
"2019","02039",8,"Castilla - La Mancha",2,"Albacete","Higueruela",87.58,4.33,5.08,16.67,5.08,17.5,38.92,11.83,5.08,1.75,64.08,4.83,79,"06",94,"03"
"2019","02040",8,"Castilla - La Mancha",2,"Albacete","Hoya-Gonzalo",59.5,2.17,8.58,11.17,0.92,12.5,24.17,3.83,5.58,3.25,39.25,7.58,57,"07",65,"10"
"2019","02041",8,"Castilla - La Mancha",2,"Albacete","Jorquera",50.5,0.08,7.83,15.92,1.17,5.42,20.08,4.58,6.42,7.92,30.92,0.67,46,"12",55,"04"
"2019","02042",8,"Castilla - La Mancha",2,"Albacete","Letur",145.33,5.58,8.42,41.17,5.67,15,69.5,9.83,7.25,8.33,114.58,5.33,136,"08",154,"01"
"2019","02043",8,"Castilla - La Mancha",2,"Albacete","Lezuza",149.08,5.08,22.33,32.5,6.58,27.67,54.92,33.5,16.25,5.5,84.33,9.5,117,"09",188,"02"
"2019","02044",8,"Castilla - La Mancha",2,"Albacete","Liétor",224.25,18.42,15.25,46.17,16.83,34.83,92.75,40.25,9.83,23.42,137.08,13.67,208,"06",236,"02"
"2019","02045",8,"Castilla - La Mancha",2,"Albacete","Madrigueras",460.42,14.58,51.33,87.5,18,109.25,179.75,77.25,76.08,71.25,207.42,28.42,425,"09",504,"04"
"2019","02046",8,"Castilla - La Mancha",2,"Albacete","Mahora",149.17,5.33,15.17,35.33,5.75,36.92,50.67,33.67,22,40.67,46.5,6.33,135,"12",163,"04"
