"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior","total Dtes Empleo_min","Cod min_mes","total Dtes Empleo_max","Cod max_mes"
"2024","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",465.83,20.17,57.33,125,13.08,107.92,142.33,8,63.25,25.42,340.5,28.67,452,"01",478,"11"
"2024","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",2148.75,94.5,372.83,493.17,75.92,492,620.33,37.67,419.75,108,1397.83,185.5,2115,"09",2188,"06"
"2024","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",19.08,0,0,0,0,5.08,6.75,0,0,0,14.33,0,16,"12",22,"05"
"2024","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",258.08,9,34.5,59.33,8,60,87.25,1.25,36,13.67,185.58,19.5,251,"03",270,"12"
"2024","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",31.83,0,0.42,8.25,0,8.5,8.67,0,1.25,0,22.5,0.5,27,"12",38,"05"
"2024","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",84.75,4.58,8.75,17.42,3.58,20.33,28.08,0,10.17,4.33,64.67,0.42,77,"05",96,"11"
"2024","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",210.92,6.17,34.33,51.83,5.67,40.75,70.92,5.92,60.5,0,134.25,7.33,203,"03",219,"12"
"2024","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",380.67,14.17,41.17,103.92,12.75,82.17,126.5,2.17,80.25,12.58,271.75,11.92,366,"04",396,"11"
"2024","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",28.25,0,0.92,11.5,0,0,7.75,13.33,0,0,10.67,0,25,"01",32,"07"
"2024","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",61.92,1.33,7.08,15.08,1,11.08,22.33,0,6.75,0.42,49.33,0,56,"12",67,"06"
"2024","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",40.42,0,6.08,8.08,0,7.5,16.33,0,3.42,0,30.75,0,37,"01",43,"05"
"2024","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",50.58,0,8.92,17,0,13.58,10.75,0,7.08,0,39.17,0,44,"10",57,"03"
"2024","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",135.08,6.83,17.75,32.33,0.83,29.67,45.08,4.83,26.08,0.92,89.67,9.42,128,"01",145,"11"
"2024","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",137.92,9.33,25.75,30.5,8.42,20,43.92,0,18.08,1.92,109.58,3.58,126,"01",147,"11"
"2024","01019",16,"País Vasco",1,"Araba/Álava","Kripan",14.5,0,0,0,0,0,2.67,0,0,0,9.17,0,13,"01",17,"06"
"2024","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",37.5,0,2.08,11.33,0,12.67,6.75,0,0.83,0,28.92,0.83,33,"04",42,"06"
"2024","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",50.67,0,1.25,10.58,0,8.83,23.83,0,5,0,40,0,44,"02",57,"06"
"2024","01022",16,"País Vasco",1,"Araba/Álava","Elciego",99.08,3.25,14.42,24.83,0.92,19.83,31.67,27.67,16.42,0,49.67,0.92,91,"08",109,"02"
"2024","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",34.25,0,0,2.08,0.5,12,11.33,11.75,4.33,0,15.42,0,30,"01",37,"07"
"2024","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",48.33,0,6.5,8.58,1.25,12,15.42,0,7.33,0,35,0,42,"01",54,"09"
"2024","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",246.42,6.5,42.33,52.17,13.83,73.25,58.33,54.83,24.92,6.58,145.92,14.17,238,"09",255,"06"
"2024","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",12.25,0,0,5.42,0,0,0,0,0,0,7.33,0,11,"01",14,"08"
"2024","01031",16,"País Vasco",1,"Araba/Álava","Laguardia",142.25,0,29.92,30.42,1.33,37.75,36.83,17.42,19.25,2.17,94.25,7.08,135,"08",154,"02"
"2024","01032",16,"País Vasco",1,"Araba/Álava","Lanciego/Lantziego",80,0,13.25,17.5,0,28.17,16.25,19.17,7.25,0,42.08,9.67,70,"07",85,"01"
"2024","01033",16,"País Vasco",1,"Araba/Álava","Lapuebla de Labarca",116.17,1.75,16.17,24.58,1.25,37.25,30.5,32.5,12.92,0,60.67,6.92,111,"01",126,"11"
"2024","01034",16,"País Vasco",1,"Araba/Álava","Leza",23.33,0,5.33,6.33,0,7.17,0,8,0,0,11.33,0,19,"03",27,"10"
"2024","01036",16,"País Vasco",1,"Araba/Álava","Laudio/Llodio",3098.92,110,505.67,710.08,95.25,729.83,948.08,44.42,544.08,108.67,2185.5,216.25,3035,"08",3185,"06"
"2024","01037",16,"País Vasco",1,"Araba/Álava","Arraia-Maeztu",80.67,0,19.25,16.08,0,13.67,27.58,2.17,13.75,0,57.58,0,72,"01",92,"11"
"2024","01039",16,"País Vasco",1,"Araba/Álava","Moreda de Álava/Moreda Araba",26.5,0,1.67,6.92,0,7.25,5.83,0.5,0,0,19,0,23,"07",29,"03"
"2024","01041",16,"País Vasco",1,"Araba/Álava","Navaridas",16.67,0,0.42,4.92,0,6.75,0,7,0,0,6.58,0,13,"02",20,"12"
"2024","01042",16,"País Vasco",1,"Araba/Álava","Okondo",158.58,7.58,20.5,32.83,0,40.58,55.92,1.25,24.5,2.58,119.67,7.08,156,"04",162,"10"
"2024","01043",16,"País Vasco",1,"Araba/Álava","Oyón-Oion",610.83,30.67,96.42,148.08,22.75,140.67,172.25,84,71.08,30.33,357.17,68.25,577,"08",627,"11"
"2024","01044",16,"País Vasco",1,"Araba/Álava","Peñacerrada-Urizaharra",22.83,0,4.42,5.92,0,6.25,0,0,1.42,0,16.08,0,19,"02",29,"07"
"2024","01046",16,"País Vasco",1,"Araba/Álava","Erriberagoitia/Ribera Alta",75.33,0,9.42,18.08,2.08,13.08,28.42,0,7.67,0,60.67,0,72,"07",78,"05"
