Municipios;Sexo;Periodo;Total
12003 Albocàsser;Total;2024;1.338
12003 Albocàsser;Total;2023;1.302
12003 Albocàsser;Total;2022;1.264
12003 Albocàsser;Total;2021;1.253
12003 Albocàsser;Total;2020;1.227
12003 Albocàsser;Total;2019;1.241
12003 Albocàsser;Total;2018;1.234
12003 Albocàsser;Total;2017;1.257
12003 Albocàsser;Total;2016;1.303
12003 Albocàsser;Total;2015;1.334
12003 Albocàsser;Total;2014;1.351
12003 Albocàsser;Total;2013;1.424
12003 Albocàsser;Total;2012;1.422
12003 Albocàsser;Total;2011;1.443
12003 Albocàsser;Total;2010;1.439
12003 Albocàsser;Total;2009;1.447
12003 Albocàsser;Total;2008;1.446
12003 Albocàsser;Total;2007;1.381
12003 Albocàsser;Total;2006;1.377
12003 Albocàsser;Total;2005;1.395
12003 Albocàsser;Total;2004;1.385
12003 Albocàsser;Total;2003;1.378
12003 Albocàsser;Total;2002;1.381
12003 Albocàsser;Total;2001;1.348
12003 Albocàsser;Total;2000;1.344
12003 Albocàsser;Total;1999;1.368
12003 Albocàsser;Total;1998;1.374
12003 Albocàsser;Total;1997;""
12003 Albocàsser;Total;1996;1.399
12003 Albocàsser;Hombres;2024;666
12003 Albocàsser;Hombres;2023;655
12003 Albocàsser;Hombres;2022;639
12003 Albocàsser;Hombres;2021;633
12003 Albocàsser;Hombres;2020;618
12003 Albocàsser;Hombres;2019;630
12003 Albocàsser;Hombres;2018;615
12003 Albocàsser;Hombres;2017;613
12003 Albocàsser;Hombres;2016;638
12003 Albocàsser;Hombres;2015;662
12003 Albocàsser;Hombres;2014;666
12003 Albocàsser;Hombres;2013;704
12003 Albocàsser;Hombres;2012;705
12003 Albocàsser;Hombres;2011;715
12003 Albocàsser;Hombres;2010;719
12003 Albocàsser;Hombres;2009;730
12003 Albocàsser;Hombres;2008;726
12003 Albocàsser;Hombres;2007;683
12003 Albocàsser;Hombres;2006;685
12003 Albocàsser;Hombres;2005;691
12003 Albocàsser;Hombres;2004;680
12003 Albocàsser;Hombres;2003;680
12003 Albocàsser;Hombres;2002;680
12003 Albocàsser;Hombres;2001;655
12003 Albocàsser;Hombres;2000;645
12003 Albocàsser;Hombres;1999;659
12003 Albocàsser;Hombres;1998;664
12003 Albocàsser;Hombres;1997;""
12003 Albocàsser;Hombres;1996;670
12003 Albocàsser;Mujeres;2024;672
12003 Albocàsser;Mujeres;2023;647
12003 Albocàsser;Mujeres;2022;625
12003 Albocàsser;Mujeres;2021;620
12003 Albocàsser;Mujeres;2020;609
12003 Albocàsser;Mujeres;2019;611
12003 Albocàsser;Mujeres;2018;619
12003 Albocàsser;Mujeres;2017;644
12003 Albocàsser;Mujeres;2016;665
12003 Albocàsser;Mujeres;2015;672
12003 Albocàsser;Mujeres;2014;685
12003 Albocàsser;Mujeres;2013;720
12003 Albocàsser;Mujeres;2012;717
12003 Albocàsser;Mujeres;2011;728
12003 Albocàsser;Mujeres;2010;720
12003 Albocàsser;Mujeres;2009;717
12003 Albocàsser;Mujeres;2008;720
12003 Albocàsser;Mujeres;2007;698
12003 Albocàsser;Mujeres;2006;692
12003 Albocàsser;Mujeres;2005;704
12003 Albocàsser;Mujeres;2004;705
12003 Albocàsser;Mujeres;2003;698
12003 Albocàsser;Mujeres;2002;701
12003 Albocàsser;Mujeres;2001;693
12003 Albocàsser;Mujeres;2000;699
12003 Albocàsser;Mujeres;1999;709
12003 Albocàsser;Mujeres;1998;710
12003 Albocàsser;Mujeres;1997;""
12003 Albocàsser;Mujeres;1996;729
12004 Alcalà de Xivert;Total;2024;7.176
12004 Alcalà de Xivert;Total;2023;7.160
12004 Alcalà de Xivert;Total;2022;6.831
12004 Alcalà de Xivert;Total;2021;6.691
12004 Alcalà de Xivert;Total;2020;6.638
12004 Alcalà de Xivert;Total;2019;6.680
12004 Alcalà de Xivert;Total;2018;6.679
12004 Alcalà de Xivert;Total;2017;6.796
12004 Alcalà de Xivert;Total;2016;6.893
12004 Alcalà de Xivert;Total;2015;7.255
12004 Alcalà de Xivert;Total;2014;7.233
