Municipios;Sexo;Periodo;Total
31003 Abaurregaina/Abaurrea Alta;Total;2024;119
31003 Abaurregaina/Abaurrea Alta;Total;2023;115
31003 Abaurregaina/Abaurrea Alta;Total;2022;120
31003 Abaurregaina/Abaurrea Alta;Total;2021;128
31003 Abaurregaina/Abaurrea Alta;Total;2020;127
31003 Abaurregaina/Abaurrea Alta;Total;2019;126
31003 Abaurregaina/Abaurrea Alta;Total;2018;121
31003 Abaurregaina/Abaurrea Alta;Total;2017;124
31003 Abaurregaina/Abaurrea Alta;Total;2016;127
31003 Abaurregaina/Abaurrea Alta;Total;2015;127
31003 Abaurregaina/Abaurrea Alta;Total;2014;132
31003 Abaurregaina/Abaurrea Alta;Total;2013;136
31003 Abaurregaina/Abaurrea Alta;Total;2012;133
31003 Abaurregaina/Abaurrea Alta;Total;2011;137
31003 Abaurregaina/Abaurrea Alta;Total;2010;138
31003 Abaurregaina/Abaurrea Alta;Total;2009;140
31003 Abaurregaina/Abaurrea Alta;Total;2008;141
31003 Abaurregaina/Abaurrea Alta;Total;2007;142
31003 Abaurregaina/Abaurrea Alta;Total;2006;147
31003 Abaurregaina/Abaurrea Alta;Total;2005;150
31003 Abaurregaina/Abaurrea Alta;Total;2004;157
31003 Abaurregaina/Abaurrea Alta;Total;2003;156
31003 Abaurregaina/Abaurrea Alta;Total;2002;160
31003 Abaurregaina/Abaurrea Alta;Total;2001;164
31003 Abaurregaina/Abaurrea Alta;Total;2000;167
31003 Abaurregaina/Abaurrea Alta;Total;1999;171
31003 Abaurregaina/Abaurrea Alta;Total;1998;185
31003 Abaurregaina/Abaurrea Alta;Total;1997;""
31003 Abaurregaina/Abaurrea Alta;Total;1996;192
31003 Abaurregaina/Abaurrea Alta;Hombres;2024;69
31003 Abaurregaina/Abaurrea Alta;Hombres;2023;70
31003 Abaurregaina/Abaurrea Alta;Hombres;2022;75
31003 Abaurregaina/Abaurrea Alta;Hombres;2021;80
31003 Abaurregaina/Abaurrea Alta;Hombres;2020;80
31003 Abaurregaina/Abaurrea Alta;Hombres;2019;77
31003 Abaurregaina/Abaurrea Alta;Hombres;2018;76
31003 Abaurregaina/Abaurrea Alta;Hombres;2017;77
31003 Abaurregaina/Abaurrea Alta;Hombres;2016;78
31003 Abaurregaina/Abaurrea Alta;Hombres;2015;79
31003 Abaurregaina/Abaurrea Alta;Hombres;2014;83
31003 Abaurregaina/Abaurrea Alta;Hombres;2013;84
31003 Abaurregaina/Abaurrea Alta;Hombres;2012;82
31003 Abaurregaina/Abaurrea Alta;Hombres;2011;83
31003 Abaurregaina/Abaurrea Alta;Hombres;2010;81
31003 Abaurregaina/Abaurrea Alta;Hombres;2009;85
31003 Abaurregaina/Abaurrea Alta;Hombres;2008;86
31003 Abaurregaina/Abaurrea Alta;Hombres;2007;88
31003 Abaurregaina/Abaurrea Alta;Hombres;2006;92
31003 Abaurregaina/Abaurrea Alta;Hombres;2005;94
31003 Abaurregaina/Abaurrea Alta;Hombres;2004;96
31003 Abaurregaina/Abaurrea Alta;Hombres;2003;95
31003 Abaurregaina/Abaurrea Alta;Hombres;2002;94
31003 Abaurregaina/Abaurrea Alta;Hombres;2001;97
31003 Abaurregaina/Abaurrea Alta;Hombres;2000;100
31003 Abaurregaina/Abaurrea Alta;Hombres;1999;102
31003 Abaurregaina/Abaurrea Alta;Hombres;1998;109
31003 Abaurregaina/Abaurrea Alta;Hombres;1997;""
31003 Abaurregaina/Abaurrea Alta;Hombres;1996;111
31003 Abaurregaina/Abaurrea Alta;Mujeres;2024;50
31003 Abaurregaina/Abaurrea Alta;Mujeres;2023;45
31003 Abaurregaina/Abaurrea Alta;Mujeres;2022;45
31003 Abaurregaina/Abaurrea Alta;Mujeres;2021;48
31003 Abaurregaina/Abaurrea Alta;Mujeres;2020;47
31003 Abaurregaina/Abaurrea Alta;Mujeres;2019;49
31003 Abaurregaina/Abaurrea Alta;Mujeres;2018;45
31003 Abaurregaina/Abaurrea Alta;Mujeres;2017;47
31003 Abaurregaina/Abaurrea Alta;Mujeres;2016;49
31003 Abaurregaina/Abaurrea Alta;Mujeres;2015;48
31003 Abaurregaina/Abaurrea Alta;Mujeres;2014;49
31003 Abaurregaina/Abaurrea Alta;Mujeres;2013;52
31003 Abaurregaina/Abaurrea Alta;Mujeres;2012;51
31003 Abaurregaina/Abaurrea Alta;Mujeres;2011;54
31003 Abaurregaina/Abaurrea Alta;Mujeres;2010;57
31003 Abaurregaina/Abaurrea Alta;Mujeres;2009;55
31003 Abaurregaina/Abaurrea Alta;Mujeres;2008;55
31003 Abaurregaina/Abaurrea Alta;Mujeres;2007;54
31003 Abaurregaina/Abaurrea Alta;Mujeres;2006;55
31003 Abaurregaina/Abaurrea Alta;Mujeres;2005;56
