Municipios;Sexo;Periodo;Total
30001 Abanilla;Total;2024;6.206
30001 Abanilla;Total;2023;6.216
30001 Abanilla;Total;2022;6.146
30001 Abanilla;Total;2021;6.116
30001 Abanilla;Total;2020;6.097
30001 Abanilla;Total;2019;6.127
30001 Abanilla;Total;2018;6.063
30001 Abanilla;Total;2017;6.158
30001 Abanilla;Total;2016;6.184
30001 Abanilla;Total;2015;6.347
30001 Abanilla;Total;2014;6.435
30001 Abanilla;Total;2013;6.560
30001 Abanilla;Total;2012;6.569
30001 Abanilla;Total;2011;6.633
30001 Abanilla;Total;2010;6.585
30001 Abanilla;Total;2009;6.589
30001 Abanilla;Total;2008;6.642
30001 Abanilla;Total;2007;6.568
30001 Abanilla;Total;2006;6.333
30001 Abanilla;Total;2005;6.265
30001 Abanilla;Total;2004;6.145
30001 Abanilla;Total;2003;6.239
30001 Abanilla;Total;2002;6.040
30001 Abanilla;Total;2001;6.033
30001 Abanilla;Total;2000;6.106
30001 Abanilla;Total;1999;6.153
30001 Abanilla;Total;1998;6.065
30001 Abanilla;Total;1997;""
30001 Abanilla;Total;1996;6.130
30001 Abanilla;Hombres;2024;3.180
30001 Abanilla;Hombres;2023;3.163
30001 Abanilla;Hombres;2022;3.112
30001 Abanilla;Hombres;2021;3.099
30001 Abanilla;Hombres;2020;3.096
30001 Abanilla;Hombres;2019;3.112
30001 Abanilla;Hombres;2018;3.060
30001 Abanilla;Hombres;2017;3.122
30001 Abanilla;Hombres;2016;3.143
30001 Abanilla;Hombres;2015;3.209
30001 Abanilla;Hombres;2014;3.252
30001 Abanilla;Hombres;2013;3.318
30001 Abanilla;Hombres;2012;3.313
30001 Abanilla;Hombres;2011;3.341
30001 Abanilla;Hombres;2010;3.319
30001 Abanilla;Hombres;2009;3.315
30001 Abanilla;Hombres;2008;3.390
30001 Abanilla;Hombres;2007;3.350
30001 Abanilla;Hombres;2006;3.212
30001 Abanilla;Hombres;2005;3.171
30001 Abanilla;Hombres;2004;3.084
30001 Abanilla;Hombres;2003;3.151
30001 Abanilla;Hombres;2002;3.045
30001 Abanilla;Hombres;2001;3.030
30001 Abanilla;Hombres;2000;3.050
30001 Abanilla;Hombres;1999;3.068
30001 Abanilla;Hombres;1998;3.005
30001 Abanilla;Hombres;1997;""
30001 Abanilla;Hombres;1996;3.026
30001 Abanilla;Mujeres;2024;3.026
30001 Abanilla;Mujeres;2023;3.053
30001 Abanilla;Mujeres;2022;3.034
30001 Abanilla;Mujeres;2021;3.017
30001 Abanilla;Mujeres;2020;3.001
30001 Abanilla;Mujeres;2019;3.015
30001 Abanilla;Mujeres;2018;3.003
30001 Abanilla;Mujeres;2017;3.036
30001 Abanilla;Mujeres;2016;3.041
30001 Abanilla;Mujeres;2015;3.138
30001 Abanilla;Mujeres;2014;3.183
30001 Abanilla;Mujeres;2013;3.242
30001 Abanilla;Mujeres;2012;3.256
30001 Abanilla;Mujeres;2011;3.292
30001 Abanilla;Mujeres;2010;3.266
30001 Abanilla;Mujeres;2009;3.274
30001 Abanilla;Mujeres;2008;3.252
30001 Abanilla;Mujeres;2007;3.218
30001 Abanilla;Mujeres;2006;3.121
30001 Abanilla;Mujeres;2005;3.094
30001 Abanilla;Mujeres;2004;3.061
30001 Abanilla;Mujeres;2003;3.088
30001 Abanilla;Mujeres;2002;2.995
30001 Abanilla;Mujeres;2001;3.003
30001 Abanilla;Mujeres;2000;3.056
30001 Abanilla;Mujeres;1999;3.085
30001 Abanilla;Mujeres;1998;3.060
30001 Abanilla;Mujeres;1997;""
30001 Abanilla;Mujeres;1996;3.104
30002 Abarán;Total;2024;13.000
30002 Abarán;Total;2023;12.964
30002 Abarán;Total;2022;12.992
30002 Abarán;Total;2021;13.066
30002 Abarán;Total;2020;13.022
30002 Abarán;Total;2019;12.964
30002 Abarán;Total;2018;13.030
30002 Abarán;Total;2017;13.089
30002 Abarán;Total;2016;13.183
30002 Abarán;Total;2015;13.179
30002 Abarán;Total;2014;13.086
30002 Abarán;Total;2013;13.157
30002 Abarán;Total;2012;13.110
30002 Abarán;Total;2011;12.986
30002 Abarán;Total;2010;12.974
30002 Abarán;Total;2009;12.991
30002 Abarán;Total;2008;12.987
30002 Abarán;Total;2007;12.968
30002 Abarán;Total;2006;12.919
30002 Abarán;Total;2005;12.917
30002 Abarán;Total;2004;12.804
30002 Abarán;Total;2003;12.786
30002 Abarán;Total;2002;12.632
30002 Abarán;Total;2001;12.425
30002 Abarán;Total;2000;12.241
30002 Abarán;Total;1999;12.177
30002 Abarán;Total;1998;12.095
30002 Abarán;Total;1997;""
30002 Abarán;Total;1996;12.002
30002 Abarán;Hombres;2024;6.488
30002 Abarán;Hombres;2023;6.473
30002 Abarán;Hombres;2022;6.492
30002 Abarán;Hombres;2021;6.531
30002 Abarán;Hombres;2020;6.514
30002 Abarán;Hombres;2019;6.479
30002 Abarán;Hombres;2018;6.527
30002 Abarán;Hombres;2017;6.578
30002 Abarán;Hombres;2016;6.640
30002 Abarán;Hombres;2015;6.630
30002 Abarán;Hombres;2014;6.563
30002 Abarán;Hombres;2013;6.635
30002 Abarán;Hombres;2012;6.628
30002 Abarán;Hombres;2011;6.575
30002 Abarán;Hombres;2010;6.563
30002 Abarán;Hombres;2009;6.536
30002 Abarán;Hombres;2008;6.526
30002 Abarán;Hombres;2007;6.548
30002 Abarán;Hombres;2006;6.535
30002 Abarán;Hombres;2005;6.512
30002 Abarán;Hombres;2004;6.412
30002 Abarán;Hombres;2003;6.425
30002 Abarán;Hombres;2002;6.348
30002 Abarán;Hombres;2001;6.235
30002 Abarán;Hombres;2000;6.111
30002 Abarán;Hombres;1999;6.046
30002 Abarán;Hombres;1998;6.002
30002 Abarán;Hombres;1997;""
30002 Abarán;Hombres;1996;5.938
30002 Abarán;Mujeres;2024;6.512
30002 Abarán;Mujeres;2023;6.491
30002 Abarán;Mujeres;2022;6.500
30002 Abarán;Mujeres;2021;6.535
30002 Abarán;Mujeres;2020;6.508
30002 Abarán;Mujeres;2019;6.485
30002 Abarán;Mujeres;2018;6.503
30002 Abarán;Mujeres;2017;6.511
30002 Abarán;Mujeres;2016;6.543
30002 Abarán;Mujeres;2015;6.549
30002 Abarán;Mujeres;2014;6.523
30002 Abarán;Mujeres;2013;6.522
30002 Abarán;Mujeres;2012;6.482
30002 Abarán;Mujeres;2011;6.411
30002 Abarán;Mujeres;2010;6.411
30002 Abarán;Mujeres;2009;6.455
30002 Abarán;Mujeres;2008;6.461
30002 Abarán;Mujeres;2007;6.420
30002 Abarán;Mujeres;2006;6.384
30002 Abarán;Mujeres;2005;6.405
30002 Abarán;Mujeres;2004;6.392
30002 Abarán;Mujeres;2003;6.361
30002 Abarán;Mujeres;2002;6.284
30002 Abarán;Mujeres;2001;6.190
30002 Abarán;Mujeres;2000;6.130
30002 Abarán;Mujeres;1999;6.131
30002 Abarán;Mujeres;1998;6.093
30002 Abarán;Mujeres;1997;""
30002 Abarán;Mujeres;1996;6.064
30004 Albudeite;Total;2024;1.400
30004 Albudeite;Total;2023;1.390
30004 Albudeite;Total;2022;1.390
30004 Albudeite;Total;2021;1.388
30004 Albudeite;Total;2020;1.375
30004 Albudeite;Total;2019;1.373
30004 Albudeite;Total;2018;1.361
30004 Albudeite;Total;2017;1.359
30004 Albudeite;Total;2016;1.378
30004 Albudeite;Total;2015;1.374
30004 Albudeite;Total;2014;1.383
30004 Albudeite;Total;2013;1.371
30004 Albudeite;Total;2012;1.404
30004 Albudeite;Total;2011;1.447
30004 Albudeite;Total;2010;1.350
30004 Albudeite;Total;2009;1.369
30004 Albudeite;Total;2008;1.381
30004 Albudeite;Total;2007;1.413
30004 Albudeite;Total;2006;1.402
30004 Albudeite;Total;2005;1.403
30004 Albudeite;Total;2004;1.439
30004 Albudeite;Total;2003;1.358
30004 Albudeite;Total;2002;1.360
30004 Albudeite;Total;2001;1.371
30004 Albudeite;Total;2000;1.369
30004 Albudeite;Total;1999;1.376
30004 Albudeite;Total;1998;1.348
30004 Albudeite;Total;1997;""
30004 Albudeite;Total;1996;1.328
30004 Albudeite;Hombres;2024;712
30004 Albudeite;Hombres;2023;705
30004 Albudeite;Hombres;2022;708
30004 Albudeite;Hombres;2021;705
30004 Albudeite;Hombres;2020;699
30004 Albudeite;Hombres;2019;694
30004 Albudeite;Hombres;2018;689
30004 Albudeite;Hombres;2017;694
30004 Albudeite;Hombres;2016;697
30004 Albudeite;Hombres;2015;689
30004 Albudeite;Hombres;2014;691
30004 Albudeite;Hombres;2013;694
30004 Albudeite;Hombres;2012;715
30004 Albudeite;Hombres;2011;731
30004 Albudeite;Hombres;2010;682
30004 Albudeite;Hombres;2009;691
30004 Albudeite;Hombres;2008;692
30004 Albudeite;Hombres;2007;709
30004 Albudeite;Hombres;2006;713
30004 Albudeite;Hombres;2005;716
30004 Albudeite;Hombres;2004;739
30004 Albudeite;Hombres;2003;693
30004 Albudeite;Hombres;2002;692
30004 Albudeite;Hombres;2001;690
30004 Albudeite;Hombres;2000;690
30004 Albudeite;Hombres;1999;684
30004 Albudeite;Hombres;1998;673
30004 Albudeite;Hombres;1997;""
30004 Albudeite;Hombres;1996;666
30004 Albudeite;Mujeres;2024;688
30004 Albudeite;Mujeres;2023;685
30004 Albudeite;Mujeres;2022;682
30004 Albudeite;Mujeres;2021;683
30004 Albudeite;Mujeres;2020;676
30004 Albudeite;Mujeres;2019;679
30004 Albudeite;Mujeres;2018;672
30004 Albudeite;Mujeres;2017;665
30004 Albudeite;Mujeres;2016;681
30004 Albudeite;Mujeres;2015;685
30004 Albudeite;Mujeres;2014;692
30004 Albudeite;Mujeres;2013;677
30004 Albudeite;Mujeres;2012;689
30004 Albudeite;Mujeres;2011;716
30004 Albudeite;Mujeres;2010;668
30004 Albudeite;Mujeres;2009;678
30004 Albudeite;Mujeres;2008;689
30004 Albudeite;Mujeres;2007;704
30004 Albudeite;Mujeres;2006;689
30004 Albudeite;Mujeres;2005;687
30004 Albudeite;Mujeres;2004;700
30004 Albudeite;Mujeres;2003;665
30004 Albudeite;Mujeres;2002;668
30004 Albudeite;Mujeres;2001;681
30004 Albudeite;Mujeres;2000;679
30004 Albudeite;Mujeres;1999;692
30004 Albudeite;Mujeres;1998;675
30004 Albudeite;Mujeres;1997;""
30004 Albudeite;Mujeres;1996;662
30005 Alcantarilla;Total;2024;43.547
30005 Alcantarilla;Total;2023;43.049
30005 Alcantarilla;Total;2022;42.630
30005 Alcantarilla;Total;2021;42.559
30005 Alcantarilla;Total;2020;42.345
30005 Alcantarilla;Total;2019;42.048
30005 Alcantarilla;Total;2018;41.622
30005 Alcantarilla;Total;2017;41.331
30005 Alcantarilla;Total;2016;41.155
30005 Alcantarilla;Total;2015;41.021
30005 Alcantarilla;Total;2014;40.907
30005 Alcantarilla;Total;2013;40.695
30005 Alcantarilla;Total;2012;41.381
30005 Alcantarilla;Total;2011;41.568
30005 Alcantarilla;Total;2010;41.326
30005 Alcantarilla;Total;2009;41.084
30005 Alcantarilla;Total;2008;40.458
30005 Alcantarilla;Total;2007;39.636
30005 Alcantarilla;Total;2006;38.584
30005 Alcantarilla;Total;2005;37.439
30005 Alcantarilla;Total;2004;36.496
30005 Alcantarilla;Total;2003;35.916
30005 Alcantarilla;Total;2002;34.997
30005 Alcantarilla;Total;2001;34.263
30005 Alcantarilla;Total;2000;33.453
30005 Alcantarilla;Total;1999;32.982
30005 Alcantarilla;Total;1998;32.667
30005 Alcantarilla;Total;1997;""
30005 Alcantarilla;Total;1996;31.872
30005 Alcantarilla;Hombres;2024;21.562
30005 Alcantarilla;Hombres;2023;21.315
30005 Alcantarilla;Hombres;2022;21.148
30005 Alcantarilla;Hombres;2021;21.073
30005 Alcantarilla;Hombres;2020;20.981
30005 Alcantarilla;Hombres;2019;20.794
30005 Alcantarilla;Hombres;2018;20.539
30005 Alcantarilla;Hombres;2017;20.392
30005 Alcantarilla;Hombres;2016;20.305
30005 Alcantarilla;Hombres;2015;20.239
30005 Alcantarilla;Hombres;2014;20.198
30005 Alcantarilla;Hombres;2013;20.115
30005 Alcantarilla;Hombres;2012;20.498
30005 Alcantarilla;Hombres;2011;20.589
30005 Alcantarilla;Hombres;2010;20.553
30005 Alcantarilla;Hombres;2009;20.484
30005 Alcantarilla;Hombres;2008;20.221
30005 Alcantarilla;Hombres;2007;19.828
30005 Alcantarilla;Hombres;2006;19.312
30005 Alcantarilla;Hombres;2005;18.697
30005 Alcantarilla;Hombres;2004;18.139
30005 Alcantarilla;Hombres;2003;17.845
30005 Alcantarilla;Hombres;2002;17.344
30005 Alcantarilla;Hombres;2001;16.927
30005 Alcantarilla;Hombres;2000;16.464
30005 Alcantarilla;Hombres;1999;16.224
30005 Alcantarilla;Hombres;1998;16.052
30005 Alcantarilla;Hombres;1997;""
30005 Alcantarilla;Hombres;1996;15.570
30005 Alcantarilla;Mujeres;2024;21.985
30005 Alcantarilla;Mujeres;2023;21.734
30005 Alcantarilla;Mujeres;2022;21.482
30005 Alcantarilla;Mujeres;2021;21.486
30005 Alcantarilla;Mujeres;2020;21.364
30005 Alcantarilla;Mujeres;2019;21.254
30005 Alcantarilla;Mujeres;2018;21.083
30005 Alcantarilla;Mujeres;2017;20.939
30005 Alcantarilla;Mujeres;2016;20.850
30005 Alcantarilla;Mujeres;2015;20.782
30005 Alcantarilla;Mujeres;2014;20.709
30005 Alcantarilla;Mujeres;2013;20.580
30005 Alcantarilla;Mujeres;2012;20.883
30005 Alcantarilla;Mujeres;2011;20.979
30005 Alcantarilla;Mujeres;2010;20.773
30005 Alcantarilla;Mujeres;2009;20.600
30005 Alcantarilla;Mujeres;2008;20.237
30005 Alcantarilla;Mujeres;2007;19.808
30005 Alcantarilla;Mujeres;2006;19.272
30005 Alcantarilla;Mujeres;2005;18.742
30005 Alcantarilla;Mujeres;2004;18.357
30005 Alcantarilla;Mujeres;2003;18.071
30005 Alcantarilla;Mujeres;2002;17.653
30005 Alcantarilla;Mujeres;2001;17.336
30005 Alcantarilla;Mujeres;2000;16.989
30005 Alcantarilla;Mujeres;1999;16.758
30005 Alcantarilla;Mujeres;1998;16.615
30005 Alcantarilla;Mujeres;1997;""
30005 Alcantarilla;Mujeres;1996;16.302
30902 Alcázares, Los;Total;2024;19.506
30902 Alcázares, Los;Total;2023;18.598
30902 Alcázares, Los;Total;2022;17.603
30902 Alcázares, Los;Total;2021;16.935
30902 Alcázares, Los;Total;2020;16.590
30902 Alcázares, Los;Total;2019;16.138
30902 Alcázares, Los;Total;2018;15.674
30902 Alcázares, Los;Total;2017;15.349
30902 Alcázares, Los;Total;2016;15.289
30902 Alcázares, Los;Total;2015;15.605
30902 Alcázares, Los;Total;2014;15.735
30902 Alcázares, Los;Total;2013;16.568
30902 Alcázares, Los;Total;2012;16.251
30902 Alcázares, Los;Total;2011;16.217
30902 Alcázares, Los;Total;2010;15.993
30902 Alcázares, Los;Total;2009;15.619
30902 Alcázares, Los;Total;2008;15.171
30902 Alcázares, Los;Total;2007;14.077
30902 Alcázares, Los;Total;2006;13.355
30902 Alcázares, Los;Total;2005;12.264
30902 Alcázares, Los;Total;2004;11.306
30902 Alcázares, Los;Total;2003;10.396
30902 Alcázares, Los;Total;2002;9.159
30902 Alcázares, Los;Total;2001;8.264
30902 Alcázares, Los;Total;2000;7.513
30902 Alcázares, Los;Total;1999;6.877
30902 Alcázares, Los;Total;1998;6.134
30902 Alcázares, Los;Total;1997;""
30902 Alcázares, Los;Total;1996;5.501
30902 Alcázares, Los;Hombres;2024;9.946
30902 Alcázares, Los;Hombres;2023;9.483
30902 Alcázares, Los;Hombres;2022;9.008
30902 Alcázares, Los;Hombres;2021;8.677
30902 Alcázares, Los;Hombres;2020;8.495
30902 Alcázares, Los;Hombres;2019;8.238
30902 Alcázares, Los;Hombres;2018;7.994
30902 Alcázares, Los;Hombres;2017;7.773
30902 Alcázares, Los;Hombres;2016;7.725
30902 Alcázares, Los;Hombres;2015;7.930
30902 Alcázares, Los;Hombres;2014;8.070
30902 Alcázares, Los;Hombres;2013;8.485
30902 Alcázares, Los;Hombres;2012;8.339
30902 Alcázares, Los;Hombres;2011;8.380
30902 Alcázares, Los;Hombres;2010;8.285
30902 Alcázares, Los;Hombres;2009;8.094
30902 Alcázares, Los;Hombres;2008;7.940
30902 Alcázares, Los;Hombres;2007;7.429
30902 Alcázares, Los;Hombres;2006;7.060
30902 Alcázares, Los;Hombres;2005;6.359
30902 Alcázares, Los;Hombres;2004;5.786
30902 Alcázares, Los;Hombres;2003;5.346
30902 Alcázares, Los;Hombres;2002;4.662
30902 Alcázares, Los;Hombres;2001;4.196
30902 Alcázares, Los;Hombres;2000;3.783
30902 Alcázares, Los;Hombres;1999;3.446
30902 Alcázares, Los;Hombres;1998;3.057
30902 Alcázares, Los;Hombres;1997;""
30902 Alcázares, Los;Hombres;1996;2.762
30902 Alcázares, Los;Mujeres;2024;9.560
30902 Alcázares, Los;Mujeres;2023;9.115
30902 Alcázares, Los;Mujeres;2022;8.595
30902 Alcázares, Los;Mujeres;2021;8.258
30902 Alcázares, Los;Mujeres;2020;8.095
30902 Alcázares, Los;Mujeres;2019;7.900
30902 Alcázares, Los;Mujeres;2018;7.680
30902 Alcázares, Los;Mujeres;2017;7.576
30902 Alcázares, Los;Mujeres;2016;7.564
30902 Alcázares, Los;Mujeres;2015;7.675
30902 Alcázares, Los;Mujeres;2014;7.665
30902 Alcázares, Los;Mujeres;2013;8.083
30902 Alcázares, Los;Mujeres;2012;7.912
30902 Alcázares, Los;Mujeres;2011;7.837
30902 Alcázares, Los;Mujeres;2010;7.708
30902 Alcázares, Los;Mujeres;2009;7.525
30902 Alcázares, Los;Mujeres;2008;7.231
30902 Alcázares, Los;Mujeres;2007;6.648
30902 Alcázares, Los;Mujeres;2006;6.295
30902 Alcázares, Los;Mujeres;2005;5.905
30902 Alcázares, Los;Mujeres;2004;5.520
30902 Alcázares, Los;Mujeres;2003;5.050
30902 Alcázares, Los;Mujeres;2002;4.497
30902 Alcázares, Los;Mujeres;2001;4.068
30902 Alcázares, Los;Mujeres;2000;3.730
30902 Alcázares, Los;Mujeres;1999;3.431
30902 Alcázares, Los;Mujeres;1998;3.077
30902 Alcázares, Los;Mujeres;1997;""
30902 Alcázares, Los;Mujeres;1996;2.739
30006 Aledo;Total;2024;1.108
30006 Aledo;Total;2023;1.123
30006 Aledo;Total;2022;1.110
30006 Aledo;Total;2021;1.083
30006 Aledo;Total;2020;1.031
30006 Aledo;Total;2019;1.022
30006 Aledo;Total;2018;1.022
30006 Aledo;Total;2017;945
30006 Aledo;Total;2016;941
30006 Aledo;Total;2015;984
30006 Aledo;Total;2014;986
30006 Aledo;Total;2013;1.004
30006 Aledo;Total;2012;1.025
30006 Aledo;Total;2011;1.044
30006 Aledo;Total;2010;1.053
30006 Aledo;Total;2009;1.066
30006 Aledo;Total;2008;1.055
30006 Aledo;Total;2007;1.046
30006 Aledo;Total;2006;1.045
30006 Aledo;Total;2005;1.058
30006 Aledo;Total;2004;1.062
30006 Aledo;Total;2003;1.044
30006 Aledo;Total;2002;1.029
30006 Aledo;Total;2001;1.026
30006 Aledo;Total;2000;997
30006 Aledo;Total;1999;1.005
30006 Aledo;Total;1998;1.005
30006 Aledo;Total;1997;""
30006 Aledo;Total;1996;991
30006 Aledo;Hombres;2024;549
30006 Aledo;Hombres;2023;554
30006 Aledo;Hombres;2022;550
30006 Aledo;Hombres;2021;538
30006 Aledo;Hombres;2020;512
30006 Aledo;Hombres;2019;505
30006 Aledo;Hombres;2018;508
30006 Aledo;Hombres;2017;466
30006 Aledo;Hombres;2016;466
30006 Aledo;Hombres;2015;491
30006 Aledo;Hombres;2014;485
30006 Aledo;Hombres;2013;499
30006 Aledo;Hombres;2012;515
30006 Aledo;Hombres;2011;527
30006 Aledo;Hombres;2010;533
30006 Aledo;Hombres;2009;544
30006 Aledo;Hombres;2008;541
30006 Aledo;Hombres;2007;536
30006 Aledo;Hombres;2006;535
30006 Aledo;Hombres;2005;541
30006 Aledo;Hombres;2004;543
30006 Aledo;Hombres;2003;536
30006 Aledo;Hombres;2002;524
30006 Aledo;Hombres;2001;527
30006 Aledo;Hombres;2000;505
30006 Aledo;Hombres;1999;511
30006 Aledo;Hombres;1998;511
30006 Aledo;Hombres;1997;""
30006 Aledo;Hombres;1996;507
30006 Aledo;Mujeres;2024;559
30006 Aledo;Mujeres;2023;569
30006 Aledo;Mujeres;2022;560
