Municipios;Sexo;Periodo;Total
21002 Aljaraque;Total;2024;22.489
21002 Aljaraque;Total;2023;22.259
21002 Aljaraque;Total;2022;22.078
21002 Aljaraque;Total;2021;21.706
21002 Aljaraque;Total;2020;21.474
21002 Aljaraque;Total;2019;21.260
21002 Aljaraque;Total;2018;21.054
21002 Aljaraque;Total;2017;20.836
21002 Aljaraque;Total;2016;20.745
21002 Aljaraque;Total;2015;20.357
21002 Aljaraque;Total;2014;19.857
21002 Aljaraque;Total;2013;19.492
21002 Aljaraque;Total;2012;19.245
21002 Aljaraque;Total;2011;18.937
21002 Aljaraque;Total;2010;18.443
21002 Aljaraque;Total;2009;17.960
21002 Aljaraque;Total;2008;17.194
21002 Aljaraque;Total;2007;16.368
21002 Aljaraque;Total;2006;15.617
21002 Aljaraque;Total;2005;14.846
21002 Aljaraque;Total;2004;14.060
21002 Aljaraque;Total;2003;13.009
21002 Aljaraque;Total;2002;12.303
21002 Aljaraque;Total;2001;11.626
21002 Aljaraque;Total;2000;10.806
21002 Aljaraque;Total;1999;10.298
21002 Aljaraque;Total;1998;9.743
21002 Aljaraque;Total;1997;""
21002 Aljaraque;Total;1996;9.587
21002 Aljaraque;Hombres;2024;11.229
21002 Aljaraque;Hombres;2023;11.095
21002 Aljaraque;Hombres;2022;10.980
21002 Aljaraque;Hombres;2021;10.810
21002 Aljaraque;Hombres;2020;10.683
21002 Aljaraque;Hombres;2019;10.594
21002 Aljaraque;Hombres;2018;10.466
21002 Aljaraque;Hombres;2017;10.354
21002 Aljaraque;Hombres;2016;10.307
21002 Aljaraque;Hombres;2015;10.150
21002 Aljaraque;Hombres;2014;9.906
21002 Aljaraque;Hombres;2013;9.721
21002 Aljaraque;Hombres;2012;9.622
21002 Aljaraque;Hombres;2011;9.480
21002 Aljaraque;Hombres;2010;9.220
21002 Aljaraque;Hombres;2009;8.981
21002 Aljaraque;Hombres;2008;8.590
21002 Aljaraque;Hombres;2007;8.196
21002 Aljaraque;Hombres;2006;7.855
21002 Aljaraque;Hombres;2005;7.458
21002 Aljaraque;Hombres;2004;7.073
21002 Aljaraque;Hombres;2003;6.529
21002 Aljaraque;Hombres;2002;6.201
21002 Aljaraque;Hombres;2001;5.859
21002 Aljaraque;Hombres;2000;5.414
21002 Aljaraque;Hombres;1999;5.152
21002 Aljaraque;Hombres;1998;4.882
21002 Aljaraque;Hombres;1997;""
21002 Aljaraque;Hombres;1996;4.808
21002 Aljaraque;Mujeres;2024;11.260
21002 Aljaraque;Mujeres;2023;11.164
21002 Aljaraque;Mujeres;2022;11.098
21002 Aljaraque;Mujeres;2021;10.896
21002 Aljaraque;Mujeres;2020;10.791
21002 Aljaraque;Mujeres;2019;10.666
21002 Aljaraque;Mujeres;2018;10.588
21002 Aljaraque;Mujeres;2017;10.482
21002 Aljaraque;Mujeres;2016;10.438
21002 Aljaraque;Mujeres;2015;10.207
21002 Aljaraque;Mujeres;2014;9.951
21002 Aljaraque;Mujeres;2013;9.771
21002 Aljaraque;Mujeres;2012;9.623
21002 Aljaraque;Mujeres;2011;9.457
21002 Aljaraque;Mujeres;2010;9.223
21002 Aljaraque;Mujeres;2009;8.979
21002 Aljaraque;Mujeres;2008;8.604
21002 Aljaraque;Mujeres;2007;8.172
21002 Aljaraque;Mujeres;2006;7.762
21002 Aljaraque;Mujeres;2005;7.388
21002 Aljaraque;Mujeres;2004;6.987
21002 Aljaraque;Mujeres;2003;6.480
21002 Aljaraque;Mujeres;2002;6.102
21002 Aljaraque;Mujeres;2001;5.767
21002 Aljaraque;Mujeres;2000;5.392
21002 Aljaraque;Mujeres;1999;5.146
21002 Aljaraque;Mujeres;1998;4.861
21002 Aljaraque;Mujeres;1997;""
21002 Aljaraque;Mujeres;1996;4.779
21003 Almendro, El;Total;2024;858
21003 Almendro, El;Total;2023;848
21003 Almendro, El;Total;2022;848
21003 Almendro, El;Total;2021;835
21003 Almendro, El;Total;2020;840
21003 Almendro, El;Total;2019;826
21003 Almendro, El;Total;2018;837
21003 Almendro, El;Total;2017;839
21003 Almendro, El;Total;2016;838
21003 Almendro, El;Total;2015;829
21003 Almendro, El;Total;2014;846
21003 Almendro, El;Total;2013;847
21003 Almendro, El;Total;2012;859
21003 Almendro, El;Total;2011;870
21003 Almendro, El;Total;2010;879
21003 Almendro, El;Total;2009;867
21003 Almendro, El;Total;2008;860
21003 Almendro, El;Total;2007;845
21003 Almendro, El;Total;2006;847
21003 Almendro, El;Total;2005;831
21003 Almendro, El;Total;2004;834
21003 Almendro, El;Total;2003;841
21003 Almendro, El;Total;2002;823
21003 Almendro, El;Total;2001;851
21003 Almendro, El;Total;2000;864
21003 Almendro, El;Total;1999;874
21003 Almendro, El;Total;1998;880
21003 Almendro, El;Total;1997;""
21003 Almendro, El;Total;1996;862
21003 Almendro, El;Hombres;2024;436
21003 Almendro, El;Hombres;2023;435
21003 Almendro, El;Hombres;2022;439
21003 Almendro, El;Hombres;2021;440
21003 Almendro, El;Hombres;2020;440
21003 Almendro, El;Hombres;2019;438
21003 Almendro, El;Hombres;2018;439
21003 Almendro, El;Hombres;2017;441
21003 Almendro, El;Hombres;2016;440
21003 Almendro, El;Hombres;2015;436
21003 Almendro, El;Hombres;2014;446
21003 Almendro, El;Hombres;2013;453
21003 Almendro, El;Hombres;2012;454
21003 Almendro, El;Hombres;2011;459
21003 Almendro, El;Hombres;2010;466
21003 Almendro, El;Hombres;2009;451
21003 Almendro, El;Hombres;2008;445
21003 Almendro, El;Hombres;2007;434
21003 Almendro, El;Hombres;2006;438
21003 Almendro, El;Hombres;2005;436
21003 Almendro, El;Hombres;2004;436
21003 Almendro, El;Hombres;2003;443
21003 Almendro, El;Hombres;2002;427
21003 Almendro, El;Hombres;2001;441
21003 Almendro, El;Hombres;2000;448
21003 Almendro, El;Hombres;1999;450
21003 Almendro, El;Hombres;1998;454
21003 Almendro, El;Hombres;1997;""
21003 Almendro, El;Hombres;1996;448
21003 Almendro, El;Mujeres;2024;422
21003 Almendro, El;Mujeres;2023;413
21003 Almendro, El;Mujeres;2022;409
21003 Almendro, El;Mujeres;2021;395
21003 Almendro, El;Mujeres;2020;400
21003 Almendro, El;Mujeres;2019;388
21003 Almendro, El;Mujeres;2018;398
21003 Almendro, El;Mujeres;2017;398
21003 Almendro, El;Mujeres;2016;398
21003 Almendro, El;Mujeres;2015;393
21003 Almendro, El;Mujeres;2014;400
21003 Almendro, El;Mujeres;2013;394
21003 Almendro, El;Mujeres;2012;405
21003 Almendro, El;Mujeres;2011;411
21003 Almendro, El;Mujeres;2010;413
21003 Almendro, El;Mujeres;2009;416
21003 Almendro, El;Mujeres;2008;415
21003 Almendro, El;Mujeres;2007;411
21003 Almendro, El;Mujeres;2006;409
21003 Almendro, El;Mujeres;2005;395
21003 Almendro, El;Mujeres;2004;398
21003 Almendro, El;Mujeres;2003;398
21003 Almendro, El;Mujeres;2002;396
21003 Almendro, El;Mujeres;2001;410
21003 Almendro, El;Mujeres;2000;416
21003 Almendro, El;Mujeres;1999;424
21003 Almendro, El;Mujeres;1998;426
21003 Almendro, El;Mujeres;1997;""
21003 Almendro, El;Mujeres;1996;414
21004 Almonaster la Real;Total;2024;1.751
21004 Almonaster la Real;Total;2023;1.793
21004 Almonaster la Real;Total;2022;1.785
21004 Almonaster la Real;Total;2021;1.786
21004 Almonaster la Real;Total;2020;1.788
21004 Almonaster la Real;Total;2019;1.819
21004 Almonaster la Real;Total;2018;1.837
21004 Almonaster la Real;Total;2017;1.848
21004 Almonaster la Real;Total;2016;1.891
21004 Almonaster la Real;Total;2015;1.861
21004 Almonaster la Real;Total;2014;1.863
21004 Almonaster la Real;Total;2013;1.809
21004 Almonaster la Real;Total;2012;1.824
21004 Almonaster la Real;Total;2011;1.849
21004 Almonaster la Real;Total;2010;1.833
21004 Almonaster la Real;Total;2009;1.848
21004 Almonaster la Real;Total;2008;1.849
21004 Almonaster la Real;Total;2007;1.831
21004 Almonaster la Real;Total;2006;1.860
21004 Almonaster la Real;Total;2005;1.805
21004 Almonaster la Real;Total;2004;1.858
21004 Almonaster la Real;Total;2003;1.879
21004 Almonaster la Real;Total;2002;1.898
21004 Almonaster la Real;Total;2001;1.938
21004 Almonaster la Real;Total;2000;1.963
21004 Almonaster la Real;Total;1999;2.011
21004 Almonaster la Real;Total;1998;2.016
21004 Almonaster la Real;Total;1997;""
21004 Almonaster la Real;Total;1996;2.057
21004 Almonaster la Real;Hombres;2024;921
21004 Almonaster la Real;Hombres;2023;940
21004 Almonaster la Real;Hombres;2022;948
21004 Almonaster la Real;Hombres;2021;954
21004 Almonaster la Real;Hombres;2020;960
21004 Almonaster la Real;Hombres;2019;978
21004 Almonaster la Real;Hombres;2018;984
21004 Almonaster la Real;Hombres;2017;978
21004 Almonaster la Real;Hombres;2016;993
21004 Almonaster la Real;Hombres;2015;978
21004 Almonaster la Real;Hombres;2014;976
21004 Almonaster la Real;Hombres;2013;920
21004 Almonaster la Real;Hombres;2012;918
21004 Almonaster la Real;Hombres;2011;922
21004 Almonaster la Real;Hombres;2010;916
21004 Almonaster la Real;Hombres;2009;915
21004 Almonaster la Real;Hombres;2008;917
21004 Almonaster la Real;Hombres;2007;909
21004 Almonaster la Real;Hombres;2006;919
21004 Almonaster la Real;Hombres;2005;899
21004 Almonaster la Real;Hombres;2004;923
21004 Almonaster la Real;Hombres;2003;929
21004 Almonaster la Real;Hombres;2002;937
21004 Almonaster la Real;Hombres;2001;953
21004 Almonaster la Real;Hombres;2000;960
21004 Almonaster la Real;Hombres;1999;983
21004 Almonaster la Real;Hombres;1998;980
21004 Almonaster la Real;Hombres;1997;""
21004 Almonaster la Real;Hombres;1996;1.010
21004 Almonaster la Real;Mujeres;2024;830
21004 Almonaster la Real;Mujeres;2023;853
21004 Almonaster la Real;Mujeres;2022;837
21004 Almonaster la Real;Mujeres;2021;832
21004 Almonaster la Real;Mujeres;2020;828
21004 Almonaster la Real;Mujeres;2019;841
21004 Almonaster la Real;Mujeres;2018;853
21004 Almonaster la Real;Mujeres;2017;870
21004 Almonaster la Real;Mujeres;2016;898
21004 Almonaster la Real;Mujeres;2015;883
21004 Almonaster la Real;Mujeres;2014;887
21004 Almonaster la Real;Mujeres;2013;889
21004 Almonaster la Real;Mujeres;2012;906
21004 Almonaster la Real;Mujeres;2011;927
21004 Almonaster la Real;Mujeres;2010;917
21004 Almonaster la Real;Mujeres;2009;933
21004 Almonaster la Real;Mujeres;2008;932
21004 Almonaster la Real;Mujeres;2007;922
21004 Almonaster la Real;Mujeres;2006;941
21004 Almonaster la Real;Mujeres;2005;906
21004 Almonaster la Real;Mujeres;2004;935
21004 Almonaster la Real;Mujeres;2003;950
21004 Almonaster la Real;Mujeres;2002;961
21004 Almonaster la Real;Mujeres;2001;985
21004 Almonaster la Real;Mujeres;2000;1.003
21004 Almonaster la Real;Mujeres;1999;1.028
21004 Almonaster la Real;Mujeres;1998;1.036
21004 Almonaster la Real;Mujeres;1997;""
21004 Almonaster la Real;Mujeres;1996;1.047
21005 Almonte;Total;2024;24.863
21005 Almonte;Total;2023;25.233
21005 Almonte;Total;2022;25.448
21005 Almonte;Total;2021;24.577
21005 Almonte;Total;2020;24.507
21005 Almonte;Total;2019;24.191
21005 Almonte;Total;2018;24.013
21005 Almonte;Total;2017;23.272
21005 Almonte;Total;2016;23.223
21005 Almonte;Total;2015;23.254
21005 Almonte;Total;2014;23.046
21005 Almonte;Total;2013;22.964
21005 Almonte;Total;2012;22.609
21005 Almonte;Total;2011;22.525
21005 Almonte;Total;2010;22.204
21005 Almonte;Total;2009;21.782
21005 Almonte;Total;2008;21.452
21005 Almonte;Total;2007;20.726
21005 Almonte;Total;2006;20.224
21005 Almonte;Total;2005;19.641
21005 Almonte;Total;2004;19.191
21005 Almonte;Total;2003;18.446
21005 Almonte;Total;2002;18.151
21005 Almonte;Total;2001;17.687
21005 Almonte;Total;2000;17.444
21005 Almonte;Total;1999;17.202
21005 Almonte;Total;1998;16.902
21005 Almonte;Total;1997;""
21005 Almonte;Total;1996;16.264
21005 Almonte;Hombres;2024;12.229
21005 Almonte;Hombres;2023;12.515
21005 Almonte;Hombres;2022;12.370
21005 Almonte;Hombres;2021;11.922
21005 Almonte;Hombres;2020;11.817
21005 Almonte;Hombres;2019;11.686
21005 Almonte;Hombres;2018;11.642
21005 Almonte;Hombres;2017;11.613
21005 Almonte;Hombres;2016;11.610
21005 Almonte;Hombres;2015;11.648
21005 Almonte;Hombres;2014;11.560
21005 Almonte;Hombres;2013;11.515
21005 Almonte;Hombres;2012;11.324
21005 Almonte;Hombres;2011;11.292
21005 Almonte;Hombres;2010;11.131
21005 Almonte;Hombres;2009;10.883
21005 Almonte;Hombres;2008;10.777
21005 Almonte;Hombres;2007;10.570
21005 Almonte;Hombres;2006;10.336
21005 Almonte;Hombres;2005;9.989
21005 Almonte;Hombres;2004;9.732
21005 Almonte;Hombres;2003;9.351
21005 Almonte;Hombres;2002;9.210
21005 Almonte;Hombres;2001;8.911
21005 Almonte;Hombres;2000;8.774
21005 Almonte;Hombres;1999;8.631
21005 Almonte;Hombres;1998;8.470
21005 Almonte;Hombres;1997;""
21005 Almonte;Hombres;1996;8.156
21005 Almonte;Mujeres;2024;12.634
21005 Almonte;Mujeres;2023;12.718
21005 Almonte;Mujeres;2022;13.078
21005 Almonte;Mujeres;2021;12.655
21005 Almonte;Mujeres;2020;12.690
21005 Almonte;Mujeres;2019;12.505
21005 Almonte;Mujeres;2018;12.371
21005 Almonte;Mujeres;2017;11.659
21005 Almonte;Mujeres;2016;11.613
21005 Almonte;Mujeres;2015;11.606
21005 Almonte;Mujeres;2014;11.486
21005 Almonte;Mujeres;2013;11.449
21005 Almonte;Mujeres;2012;11.285
21005 Almonte;Mujeres;2011;11.233
21005 Almonte;Mujeres;2010;11.073
21005 Almonte;Mujeres;2009;10.899
21005 Almonte;Mujeres;2008;10.675
21005 Almonte;Mujeres;2007;10.156
21005 Almonte;Mujeres;2006;9.888
21005 Almonte;Mujeres;2005;9.652
21005 Almonte;Mujeres;2004;9.459
21005 Almonte;Mujeres;2003;9.095
21005 Almonte;Mujeres;2002;8.941
21005 Almonte;Mujeres;2001;8.776
21005 Almonte;Mujeres;2000;8.670
21005 Almonte;Mujeres;1999;8.571
21005 Almonte;Mujeres;1998;8.432
21005 Almonte;Mujeres;1997;""
21005 Almonte;Mujeres;1996;8.108
21006 Alosno;Total;2024;3.982
21006 Alosno;Total;2023;3.971
21006 Alosno;Total;2022;3.940
21006 Alosno;Total;2021;3.929
21006 Alosno;Total;2020;3.933
21006 Alosno;Total;2019;3.923
21006 Alosno;Total;2018;3.942
21006 Alosno;Total;2017;3.954
21006 Alosno;Total;2016;3.995
21006 Alosno;Total;2015;4.038
21006 Alosno;Total;2014;4.103
21006 Alosno;Total;2013;4.152
21006 Alosno;Total;2012;4.231
21006 Alosno;Total;2011;4.285
21006 Alosno;Total;2010;4.386
21006 Alosno;Total;2009;4.381
21006 Alosno;Total;2008;4.424
21006 Alosno;Total;2007;4.409
21006 Alosno;Total;2006;4.478
21006 Alosno;Total;2005;4.514
21006 Alosno;Total;2004;4.419
21006 Alosno;Total;2003;4.514
21006 Alosno;Total;2002;4.670
21006 Alosno;Total;2001;4.792
21006 Alosno;Total;2000;4.834
21006 Alosno;Total;1999;4.843
21006 Alosno;Total;1998;4.861
21006 Alosno;Total;1997;""
21006 Alosno;Total;1996;5.054
21006 Alosno;Hombres;2024;1.962
21006 Alosno;Hombres;2023;1.963
21006 Alosno;Hombres;2022;1.947
21006 Alosno;Hombres;2021;1.934
21006 Alosno;Hombres;2020;1.936
21006 Alosno;Hombres;2019;1.929
21006 Alosno;Hombres;2018;1.926
21006 Alosno;Hombres;2017;1.934
21006 Alosno;Hombres;2016;1.955
21006 Alosno;Hombres;2015;1.966
21006 Alosno;Hombres;2014;1.996
21006 Alosno;Hombres;2013;2.007
21006 Alosno;Hombres;2012;2.060
21006 Alosno;Hombres;2011;2.075
21006 Alosno;Hombres;2010;2.127
21006 Alosno;Hombres;2009;2.114
21006 Alosno;Hombres;2008;2.120
21006 Alosno;Hombres;2007;2.116
21006 Alosno;Hombres;2006;2.159
21006 Alosno;Hombres;2005;2.178
21006 Alosno;Hombres;2004;2.152
21006 Alosno;Hombres;2003;2.182
21006 Alosno;Hombres;2002;2.248
21006 Alosno;Hombres;2001;2.309
21006 Alosno;Hombres;2000;2.324
21006 Alosno;Hombres;1999;2.329
21006 Alosno;Hombres;1998;2.346
21006 Alosno;Hombres;1997;""
21006 Alosno;Hombres;1996;2.436
21006 Alosno;Mujeres;2024;2.020
21006 Alosno;Mujeres;2023;2.008
21006 Alosno;Mujeres;2022;1.993
21006 Alosno;Mujeres;2021;1.995
21006 Alosno;Mujeres;2020;1.997
21006 Alosno;Mujeres;2019;1.994
21006 Alosno;Mujeres;2018;2.016
21006 Alosno;Mujeres;2017;2.020
21006 Alosno;Mujeres;2016;2.040
21006 Alosno;Mujeres;2015;2.072
21006 Alosno;Mujeres;2014;2.107
21006 Alosno;Mujeres;2013;2.145
21006 Alosno;Mujeres;2012;2.171
21006 Alosno;Mujeres;2011;2.210
21006 Alosno;Mujeres;2010;2.259
21006 Alosno;Mujeres;2009;2.267
21006 Alosno;Mujeres;2008;2.304
21006 Alosno;Mujeres;2007;2.293
21006 Alosno;Mujeres;2006;2.319
21006 Alosno;Mujeres;2005;2.336
21006 Alosno;Mujeres;2004;2.267
21006 Alosno;Mujeres;2003;2.332
21006 Alosno;Mujeres;2002;2.422
21006 Alosno;Mujeres;2001;2.483
21006 Alosno;Mujeres;2000;2.510
21006 Alosno;Mujeres;1999;2.514
21006 Alosno;Mujeres;1998;2.515
21006 Alosno;Mujeres;1997;""
21006 Alosno;Mujeres;1996;2.618
21001 Alájar;Total;2024;791
21001 Alájar;Total;2023;780
21001 Alájar;Total;2022;802
21001 Alájar;Total;2021;814
21001 Alájar;Total;2020;759
21001 Alájar;Total;2019;756
21001 Alájar;Total;2018;763
21001 Alájar;Total;2017;777
21001 Alájar;Total;2016;814
21001 Alájar;Total;2015;813
21001 Alájar;Total;2014;798
21001 Alájar;Total;2013;805
21001 Alájar;Total;2012;803
21001 Alájar;Total;2011;798
21001 Alájar;Total;2010;806
21001 Alájar;Total;2009;808
21001 Alájar;Total;2008;802
21001 Alájar;Total;2007;811
21001 Alájar;Total;2006;821
21001 Alájar;Total;2005;771
