Municipios;Sexo;Periodo;Total
04001 Abla;Total;2024;1.272
04001 Abla;Total;2023;1.255
04001 Abla;Total;2022;1.247
04001 Abla;Total;2021;1.258
04001 Abla;Total;2020;1.248
04001 Abla;Total;2019;1.249
04001 Abla;Total;2018;1.235
04001 Abla;Total;2017;1.267
04001 Abla;Total;2016;1.294
04001 Abla;Total;2015;1.342
04001 Abla;Total;2014;1.426
04001 Abla;Total;2013;1.422
04001 Abla;Total;2012;1.465
04001 Abla;Total;2011;1.480
04001 Abla;Total;2010;1.463
04001 Abla;Total;2009;1.504
04001 Abla;Total;2008;1.503
04001 Abla;Total;2007;1.514
04001 Abla;Total;2006;1.505
04001 Abla;Total;2005;1.512
04001 Abla;Total;2004;1.482
04001 Abla;Total;2003;1.480
04001 Abla;Total;2002;1.529
04001 Abla;Total;2001;1.517
04001 Abla;Total;2000;1.516
04001 Abla;Total;1999;1.519
04001 Abla;Total;1998;1.516
04001 Abla;Total;1997;""
04001 Abla;Total;1996;1.529
04001 Abla;Hombres;2024;656
04001 Abla;Hombres;2023;650
04001 Abla;Hombres;2022;642
04001 Abla;Hombres;2021;646
04001 Abla;Hombres;2020;632
04001 Abla;Hombres;2019;635
04001 Abla;Hombres;2018;633
04001 Abla;Hombres;2017;651
04001 Abla;Hombres;2016;664
04001 Abla;Hombres;2015;689
04001 Abla;Hombres;2014;744
04001 Abla;Hombres;2013;738
04001 Abla;Hombres;2012;765
04001 Abla;Hombres;2011;769
04001 Abla;Hombres;2010;760
04001 Abla;Hombres;2009;783
04001 Abla;Hombres;2008;771
04001 Abla;Hombres;2007;767
04001 Abla;Hombres;2006;757
04001 Abla;Hombres;2005;747
04001 Abla;Hombres;2004;738
04001 Abla;Hombres;2003;741
04001 Abla;Hombres;2002;762
04001 Abla;Hombres;2001;750
04001 Abla;Hombres;2000;743
04001 Abla;Hombres;1999;746
04001 Abla;Hombres;1998;746
04001 Abla;Hombres;1997;""
04001 Abla;Hombres;1996;754
04001 Abla;Mujeres;2024;616
04001 Abla;Mujeres;2023;605
04001 Abla;Mujeres;2022;605
04001 Abla;Mujeres;2021;612
04001 Abla;Mujeres;2020;616
04001 Abla;Mujeres;2019;614
04001 Abla;Mujeres;2018;602
04001 Abla;Mujeres;2017;616
04001 Abla;Mujeres;2016;630
04001 Abla;Mujeres;2015;653
04001 Abla;Mujeres;2014;682
04001 Abla;Mujeres;2013;684
04001 Abla;Mujeres;2012;700
04001 Abla;Mujeres;2011;711
04001 Abla;Mujeres;2010;703
04001 Abla;Mujeres;2009;721
04001 Abla;Mujeres;2008;732
04001 Abla;Mujeres;2007;747
04001 Abla;Mujeres;2006;748
04001 Abla;Mujeres;2005;765
04001 Abla;Mujeres;2004;744
04001 Abla;Mujeres;2003;739
04001 Abla;Mujeres;2002;767
04001 Abla;Mujeres;2001;767
04001 Abla;Mujeres;2000;773
04001 Abla;Mujeres;1999;773
04001 Abla;Mujeres;1998;770
04001 Abla;Mujeres;1997;""
04001 Abla;Mujeres;1996;775
04002 Abrucena;Total;2024;1.235
04002 Abrucena;Total;2023;1.275
04002 Abrucena;Total;2022;1.221
04002 Abrucena;Total;2021;1.208
04002 Abrucena;Total;2020;1.183
04002 Abrucena;Total;2019;1.202
04002 Abrucena;Total;2018;1.150
04002 Abrucena;Total;2017;1.170
04002 Abrucena;Total;2016;1.208
04002 Abrucena;Total;2015;1.279
04002 Abrucena;Total;2014;1.262
04002 Abrucena;Total;2013;1.299
04002 Abrucena;Total;2012;1.360
04002 Abrucena;Total;2011;1.391
04002 Abrucena;Total;2010;1.367
04002 Abrucena;Total;2009;1.341
04002 Abrucena;Total;2008;1.366
04002 Abrucena;Total;2007;1.379
04002 Abrucena;Total;2006;1.339
04002 Abrucena;Total;2005;1.358
04002 Abrucena;Total;2004;1.386
04002 Abrucena;Total;2003;1.391
04002 Abrucena;Total;2002;1.413
04002 Abrucena;Total;2001;1.437
04002 Abrucena;Total;2000;1.455
04002 Abrucena;Total;1999;1.460
04002 Abrucena;Total;1998;1.462
04002 Abrucena;Total;1997;""
04002 Abrucena;Total;1996;1.460
04002 Abrucena;Hombres;2024;650
04002 Abrucena;Hombres;2023;675
04002 Abrucena;Hombres;2022;643
04002 Abrucena;Hombres;2021;639
04002 Abrucena;Hombres;2020;630
04002 Abrucena;Hombres;2019;637
04002 Abrucena;Hombres;2018;600
04002 Abrucena;Hombres;2017;606
04002 Abrucena;Hombres;2016;615
04002 Abrucena;Hombres;2015;656
04002 Abrucena;Hombres;2014;649
04002 Abrucena;Hombres;2013;671
04002 Abrucena;Hombres;2012;699
04002 Abrucena;Hombres;2011;711
04002 Abrucena;Hombres;2010;699
04002 Abrucena;Hombres;2009;682
04002 Abrucena;Hombres;2008;687
04002 Abrucena;Hombres;2007;690
04002 Abrucena;Hombres;2006;673
04002 Abrucena;Hombres;2005;689
04002 Abrucena;Hombres;2004;692
04002 Abrucena;Hombres;2003;689
04002 Abrucena;Hombres;2002;694
04002 Abrucena;Hombres;2001;707
04002 Abrucena;Hombres;2000;716
04002 Abrucena;Hombres;1999;716
04002 Abrucena;Hombres;1998;716
04002 Abrucena;Hombres;1997;""
04002 Abrucena;Hombres;1996;715
04002 Abrucena;Mujeres;2024;585
04002 Abrucena;Mujeres;2023;600
04002 Abrucena;Mujeres;2022;578
04002 Abrucena;Mujeres;2021;569
04002 Abrucena;Mujeres;2020;553
04002 Abrucena;Mujeres;2019;565
04002 Abrucena;Mujeres;2018;550
04002 Abrucena;Mujeres;2017;564
04002 Abrucena;Mujeres;2016;593
04002 Abrucena;Mujeres;2015;623
04002 Abrucena;Mujeres;2014;613
04002 Abrucena;Mujeres;2013;628
04002 Abrucena;Mujeres;2012;661
04002 Abrucena;Mujeres;2011;680
04002 Abrucena;Mujeres;2010;668
04002 Abrucena;Mujeres;2009;659
04002 Abrucena;Mujeres;2008;679
04002 Abrucena;Mujeres;2007;689
04002 Abrucena;Mujeres;2006;666
04002 Abrucena;Mujeres;2005;669
04002 Abrucena;Mujeres;2004;694
04002 Abrucena;Mujeres;2003;702
04002 Abrucena;Mujeres;2002;719
04002 Abrucena;Mujeres;2001;730
04002 Abrucena;Mujeres;2000;739
04002 Abrucena;Mujeres;1999;744
04002 Abrucena;Mujeres;1998;746
04002 Abrucena;Mujeres;1997;""
04002 Abrucena;Mujeres;1996;745
04003 Adra;Total;2024;25.515
04003 Adra;Total;2023;25.195
04003 Adra;Total;2022;25.300
04003 Adra;Total;2021;25.501
04003 Adra;Total;2020;25.412
04003 Adra;Total;2019;25.148
04003 Adra;Total;2018;24.859
04003 Adra;Total;2017;24.697
04003 Adra;Total;2016;24.713
04003 Adra;Total;2015;24.670
04003 Adra;Total;2014;24.782
04003 Adra;Total;2013;24.761
04003 Adra;Total;2012;24.626
04003 Adra;Total;2011;24.512
04003 Adra;Total;2010;24.512
04003 Adra;Total;2009;24.373
04003 Adra;Total;2008;23.880
04003 Adra;Total;2007;23.742
04003 Adra;Total;2006;23.545
04003 Adra;Total;2005;23.195
04003 Adra;Total;2004;22.257
04003 Adra;Total;2003;21.704
04003 Adra;Total;2002;22.034
04003 Adra;Total;2001;21.810
04003 Adra;Total;2000;21.505
04003 Adra;Total;1999;21.286
04003 Adra;Total;1998;21.016
04003 Adra;Total;1997;""
04003 Adra;Total;1996;20.898
04003 Adra;Hombres;2024;13.049
04003 Adra;Hombres;2023;12.858
04003 Adra;Hombres;2022;12.962
04003 Adra;Hombres;2021;13.058
04003 Adra;Hombres;2020;13.025
04003 Adra;Hombres;2019;12.833
04003 Adra;Hombres;2018;12.639
04003 Adra;Hombres;2017;12.480
04003 Adra;Hombres;2016;12.489
04003 Adra;Hombres;2015;12.453
04003 Adra;Hombres;2014;12.506
04003 Adra;Hombres;2013;12.518
04003 Adra;Hombres;2012;12.493
04003 Adra;Hombres;2011;12.464
04003 Adra;Hombres;2010;12.420
04003 Adra;Hombres;2009;12.338
04003 Adra;Hombres;2008;12.083
04003 Adra;Hombres;2007;12.009
04003 Adra;Hombres;2006;11.909
04003 Adra;Hombres;2005;11.769
04003 Adra;Hombres;2004;11.188
04003 Adra;Hombres;2003;10.939
04003 Adra;Hombres;2002;11.090
04003 Adra;Hombres;2001;10.995
04003 Adra;Hombres;2000;10.784
04003 Adra;Hombres;1999;10.668
04003 Adra;Hombres;1998;10.521
04003 Adra;Hombres;1997;""
04003 Adra;Hombres;1996;10.397
04003 Adra;Mujeres;2024;12.466
04003 Adra;Mujeres;2023;12.337
04003 Adra;Mujeres;2022;12.338
04003 Adra;Mujeres;2021;12.443
04003 Adra;Mujeres;2020;12.387
04003 Adra;Mujeres;2019;12.315
04003 Adra;Mujeres;2018;12.220
04003 Adra;Mujeres;2017;12.217
04003 Adra;Mujeres;2016;12.224
04003 Adra;Mujeres;2015;12.217
04003 Adra;Mujeres;2014;12.276
04003 Adra;Mujeres;2013;12.243
04003 Adra;Mujeres;2012;12.133
04003 Adra;Mujeres;2011;12.048
04003 Adra;Mujeres;2010;12.092
04003 Adra;Mujeres;2009;12.035
04003 Adra;Mujeres;2008;11.797
04003 Adra;Mujeres;2007;11.733
04003 Adra;Mujeres;2006;11.636
04003 Adra;Mujeres;2005;11.426
04003 Adra;Mujeres;2004;11.069
04003 Adra;Mujeres;2003;10.765
04003 Adra;Mujeres;2002;10.944
04003 Adra;Mujeres;2001;10.815
04003 Adra;Mujeres;2000;10.721
04003 Adra;Mujeres;1999;10.618
04003 Adra;Mujeres;1998;10.495
04003 Adra;Mujeres;1997;""
04003 Adra;Mujeres;1996;10.501
04004 Albanchez;Total;2024;682
04004 Albanchez;Total;2023;682
04004 Albanchez;Total;2022;735
04004 Albanchez;Total;2021;726
04004 Albanchez;Total;2020;687
04004 Albanchez;Total;2019;741
04004 Albanchez;Total;2018;753
04004 Albanchez;Total;2017;754
04004 Albanchez;Total;2016;796
04004 Albanchez;Total;2015;805
04004 Albanchez;Total;2014;772
04004 Albanchez;Total;2013;648
04004 Albanchez;Total;2012;774
04004 Albanchez;Total;2011;823
04004 Albanchez;Total;2010;814
04004 Albanchez;Total;2009;815
04004 Albanchez;Total;2008;726
04004 Albanchez;Total;2007;697
04004 Albanchez;Total;2006;660
04004 Albanchez;Total;2005;681
04004 Albanchez;Total;2004;697
04004 Albanchez;Total;2003;638
04004 Albanchez;Total;2002;585
04004 Albanchez;Total;2001;575
04004 Albanchez;Total;2000;586
04004 Albanchez;Total;1999;605
04004 Albanchez;Total;1998;605
04004 Albanchez;Total;1997;""
04004 Albanchez;Total;1996;626
04004 Albanchez;Hombres;2024;367
04004 Albanchez;Hombres;2023;366
04004 Albanchez;Hombres;2022;387
04004 Albanchez;Hombres;2021;379
04004 Albanchez;Hombres;2020;344
04004 Albanchez;Hombres;2019;379
04004 Albanchez;Hombres;2018;384
04004 Albanchez;Hombres;2017;378
04004 Albanchez;Hombres;2016;406
04004 Albanchez;Hombres;2015;404
04004 Albanchez;Hombres;2014;388
04004 Albanchez;Hombres;2013;325
04004 Albanchez;Hombres;2012;395
04004 Albanchez;Hombres;2011;422
04004 Albanchez;Hombres;2010;421
04004 Albanchez;Hombres;2009;422
04004 Albanchez;Hombres;2008;376
04004 Albanchez;Hombres;2007;356
04004 Albanchez;Hombres;2006;334
04004 Albanchez;Hombres;2005;347
04004 Albanchez;Hombres;2004;355
04004 Albanchez;Hombres;2003;331
04004 Albanchez;Hombres;2002;300
04004 Albanchez;Hombres;2001;293
04004 Albanchez;Hombres;2000;292
04004 Albanchez;Hombres;1999;303
04004 Albanchez;Hombres;1998;303
04004 Albanchez;Hombres;1997;""
04004 Albanchez;Hombres;1996;315
04004 Albanchez;Mujeres;2024;315
04004 Albanchez;Mujeres;2023;316
04004 Albanchez;Mujeres;2022;348
04004 Albanchez;Mujeres;2021;347
04004 Albanchez;Mujeres;2020;343
04004 Albanchez;Mujeres;2019;362
04004 Albanchez;Mujeres;2018;369
04004 Albanchez;Mujeres;2017;376
04004 Albanchez;Mujeres;2016;390
04004 Albanchez;Mujeres;2015;401
04004 Albanchez;Mujeres;2014;384
04004 Albanchez;Mujeres;2013;323
04004 Albanchez;Mujeres;2012;379
04004 Albanchez;Mujeres;2011;401
04004 Albanchez;Mujeres;2010;393
04004 Albanchez;Mujeres;2009;393
04004 Albanchez;Mujeres;2008;350
04004 Albanchez;Mujeres;2007;341
04004 Albanchez;Mujeres;2006;326
04004 Albanchez;Mujeres;2005;334
04004 Albanchez;Mujeres;2004;342
04004 Albanchez;Mujeres;2003;307
04004 Albanchez;Mujeres;2002;285
04004 Albanchez;Mujeres;2001;282
04004 Albanchez;Mujeres;2000;294
04004 Albanchez;Mujeres;1999;302
04004 Albanchez;Mujeres;1998;302
04004 Albanchez;Mujeres;1997;""
04004 Albanchez;Mujeres;1996;311
04005 Alboloduy;Total;2024;585
04005 Alboloduy;Total;2023;596
04005 Alboloduy;Total;2022;615
04005 Alboloduy;Total;2021;612
04005 Alboloduy;Total;2020;609
04005 Alboloduy;Total;2019;616
04005 Alboloduy;Total;2018;621
04005 Alboloduy;Total;2017;610
04005 Alboloduy;Total;2016;613
04005 Alboloduy;Total;2015;653
04005 Alboloduy;Total;2014;642
04005 Alboloduy;Total;2013;645
04005 Alboloduy;Total;2012;674
04005 Alboloduy;Total;2011;698
04005 Alboloduy;Total;2010;667
04005 Alboloduy;Total;2009;674
04005 Alboloduy;Total;2008;703
04005 Alboloduy;Total;2007;728
04005 Alboloduy;Total;2006;727
04005 Alboloduy;Total;2005;745
04005 Alboloduy;Total;2004;764
04005 Alboloduy;Total;2003;765
04005 Alboloduy;Total;2002;765
04005 Alboloduy;Total;2001;800
04005 Alboloduy;Total;2000;812
04005 Alboloduy;Total;1999;811
04005 Alboloduy;Total;1998;813
04005 Alboloduy;Total;1997;""
04005 Alboloduy;Total;1996;817
04005 Alboloduy;Hombres;2024;284
04005 Alboloduy;Hombres;2023;293
04005 Alboloduy;Hombres;2022;299
04005 Alboloduy;Hombres;2021;297
04005 Alboloduy;Hombres;2020;296
04005 Alboloduy;Hombres;2019;302
04005 Alboloduy;Hombres;2018;307
04005 Alboloduy;Hombres;2017;299
04005 Alboloduy;Hombres;2016;299
04005 Alboloduy;Hombres;2015;314
04005 Alboloduy;Hombres;2014;312
04005 Alboloduy;Hombres;2013;318
04005 Alboloduy;Hombres;2012;334
04005 Alboloduy;Hombres;2011;349
04005 Alboloduy;Hombres;2010;332
04005 Alboloduy;Hombres;2009;334
04005 Alboloduy;Hombres;2008;345
04005 Alboloduy;Hombres;2007;354
04005 Alboloduy;Hombres;2006;351
04005 Alboloduy;Hombres;2005;359
04005 Alboloduy;Hombres;2004;367
04005 Alboloduy;Hombres;2003;367
