Municipios;Sexo;Periodo;Total
23001 Albanchez de Mágina;Total;2024;930
23001 Albanchez de Mágina;Total;2023;958
23001 Albanchez de Mágina;Total;2022;993
23001 Albanchez de Mágina;Total;2021;992
23001 Albanchez de Mágina;Total;2020;1.011
23001 Albanchez de Mágina;Total;2019;1.024
23001 Albanchez de Mágina;Total;2018;1.027
23001 Albanchez de Mágina;Total;2017;1.060
23001 Albanchez de Mágina;Total;2016;1.072
23001 Albanchez de Mágina;Total;2015;1.186
23001 Albanchez de Mágina;Total;2014;1.140
23001 Albanchez de Mágina;Total;2013;1.179
23001 Albanchez de Mágina;Total;2012;1.233
23001 Albanchez de Mágina;Total;2011;1.229
23001 Albanchez de Mágina;Total;2010;1.230
23001 Albanchez de Mágina;Total;2009;1.228
23001 Albanchez de Mágina;Total;2008;1.264
23001 Albanchez de Mágina;Total;2007;1.272
23001 Albanchez de Mágina;Total;2006;1.326
23001 Albanchez de Mágina;Total;2005;1.358
23001 Albanchez de Mágina;Total;2004;1.397
23001 Albanchez de Mágina;Total;2003;1.405
23001 Albanchez de Mágina;Total;2002;1.453
23001 Albanchez de Mágina;Total;2001;1.474
23001 Albanchez de Mágina;Total;2000;1.497
23001 Albanchez de Mágina;Total;1999;1.502
23001 Albanchez de Mágina;Total;1998;1.496
23001 Albanchez de Mágina;Total;1997;""
23001 Albanchez de Mágina;Total;1996;1.540
23001 Albanchez de Mágina;Hombres;2024;488
23001 Albanchez de Mágina;Hombres;2023;501
23001 Albanchez de Mágina;Hombres;2022;516
23001 Albanchez de Mágina;Hombres;2021;519
23001 Albanchez de Mágina;Hombres;2020;528
23001 Albanchez de Mágina;Hombres;2019;532
23001 Albanchez de Mágina;Hombres;2018;536
23001 Albanchez de Mágina;Hombres;2017;550
23001 Albanchez de Mágina;Hombres;2016;556
23001 Albanchez de Mágina;Hombres;2015;613
23001 Albanchez de Mágina;Hombres;2014;591
23001 Albanchez de Mágina;Hombres;2013;614
23001 Albanchez de Mágina;Hombres;2012;643
23001 Albanchez de Mágina;Hombres;2011;623
23001 Albanchez de Mágina;Hombres;2010;617
23001 Albanchez de Mágina;Hombres;2009;620
23001 Albanchez de Mágina;Hombres;2008;650
23001 Albanchez de Mágina;Hombres;2007;658
23001 Albanchez de Mágina;Hombres;2006;688
23001 Albanchez de Mágina;Hombres;2005;704
23001 Albanchez de Mágina;Hombres;2004;720
23001 Albanchez de Mágina;Hombres;2003;723
23001 Albanchez de Mágina;Hombres;2002;754
23001 Albanchez de Mágina;Hombres;2001;756
23001 Albanchez de Mágina;Hombres;2000;760
23001 Albanchez de Mágina;Hombres;1999;764
23001 Albanchez de Mágina;Hombres;1998;766
23001 Albanchez de Mágina;Hombres;1997;""
23001 Albanchez de Mágina;Hombres;1996;768
23001 Albanchez de Mágina;Mujeres;2024;442
23001 Albanchez de Mágina;Mujeres;2023;457
23001 Albanchez de Mágina;Mujeres;2022;477
23001 Albanchez de Mágina;Mujeres;2021;473
23001 Albanchez de Mágina;Mujeres;2020;483
23001 Albanchez de Mágina;Mujeres;2019;492
23001 Albanchez de Mágina;Mujeres;2018;491
23001 Albanchez de Mágina;Mujeres;2017;510
23001 Albanchez de Mágina;Mujeres;2016;516
23001 Albanchez de Mágina;Mujeres;2015;573
23001 Albanchez de Mágina;Mujeres;2014;549
23001 Albanchez de Mágina;Mujeres;2013;565
23001 Albanchez de Mágina;Mujeres;2012;590
23001 Albanchez de Mágina;Mujeres;2011;606
23001 Albanchez de Mágina;Mujeres;2010;613
23001 Albanchez de Mágina;Mujeres;2009;608
23001 Albanchez de Mágina;Mujeres;2008;614
23001 Albanchez de Mágina;Mujeres;2007;614
23001 Albanchez de Mágina;Mujeres;2006;638
23001 Albanchez de Mágina;Mujeres;2005;654
23001 Albanchez de Mágina;Mujeres;2004;677
23001 Albanchez de Mágina;Mujeres;2003;682
23001 Albanchez de Mágina;Mujeres;2002;699
23001 Albanchez de Mágina;Mujeres;2001;718
23001 Albanchez de Mágina;Mujeres;2000;737
23001 Albanchez de Mágina;Mujeres;1999;738
23001 Albanchez de Mágina;Mujeres;1998;730
23001 Albanchez de Mágina;Mujeres;1997;""
23001 Albanchez de Mágina;Mujeres;1996;772
23002 Alcalá la Real;Total;2024;21.581
23002 Alcalá la Real;Total;2023;21.587
23002 Alcalá la Real;Total;2022;21.556
23002 Alcalá la Real;Total;2021;21.623
23002 Alcalá la Real;Total;2020;21.709
23002 Alcalá la Real;Total;2019;21.605
23002 Alcalá la Real;Total;2018;21.708
23002 Alcalá la Real;Total;2017;21.758
23002 Alcalá la Real;Total;2016;21.758
23002 Alcalá la Real;Total;2015;22.036
23002 Alcalá la Real;Total;2014;22.324
23002 Alcalá la Real;Total;2013;22.682
23002 Alcalá la Real;Total;2012;22.870
23002 Alcalá la Real;Total;2011;22.758
23002 Alcalá la Real;Total;2010;22.759
23002 Alcalá la Real;Total;2009;22.783
23002 Alcalá la Real;Total;2008;22.524
23002 Alcalá la Real;Total;2007;22.324
23002 Alcalá la Real;Total;2006;22.129
23002 Alcalá la Real;Total;2005;22.038
23002 Alcalá la Real;Total;2004;21.806
23002 Alcalá la Real;Total;2003;21.880
23002 Alcalá la Real;Total;2002;21.517
23002 Alcalá la Real;Total;2001;21.523
23002 Alcalá la Real;Total;2000;21.599
23002 Alcalá la Real;Total;1999;21.521
23002 Alcalá la Real;Total;1998;21.493
23002 Alcalá la Real;Total;1997;""
23002 Alcalá la Real;Total;1996;21.558
23002 Alcalá la Real;Hombres;2024;10.627
23002 Alcalá la Real;Hombres;2023;10.672
23002 Alcalá la Real;Hombres;2022;10.645
23002 Alcalá la Real;Hombres;2021;10.662
23002 Alcalá la Real;Hombres;2020;10.678
23002 Alcalá la Real;Hombres;2019;10.612
23002 Alcalá la Real;Hombres;2018;10.678
23002 Alcalá la Real;Hombres;2017;10.702
23002 Alcalá la Real;Hombres;2016;10.692
23002 Alcalá la Real;Hombres;2015;10.824
23002 Alcalá la Real;Hombres;2014;11.011
23002 Alcalá la Real;Hombres;2013;11.244
23002 Alcalá la Real;Hombres;2012;11.408
23002 Alcalá la Real;Hombres;2011;11.307
23002 Alcalá la Real;Hombres;2010;11.325
23002 Alcalá la Real;Hombres;2009;11.343
23002 Alcalá la Real;Hombres;2008;11.217
23002 Alcalá la Real;Hombres;2007;11.065
23002 Alcalá la Real;Hombres;2006;10.980
23002 Alcalá la Real;Hombres;2005;10.919
23002 Alcalá la Real;Hombres;2004;10.795
23002 Alcalá la Real;Hombres;2003;10.819
23002 Alcalá la Real;Hombres;2002;10.607
23002 Alcalá la Real;Hombres;2001;10.610
23002 Alcalá la Real;Hombres;2000;10.627
23002 Alcalá la Real;Hombres;1999;10.620
23002 Alcalá la Real;Hombres;1998;10.626
23002 Alcalá la Real;Hombres;1997;""
23002 Alcalá la Real;Hombres;1996;10.692
23002 Alcalá la Real;Mujeres;2024;10.954
23002 Alcalá la Real;Mujeres;2023;10.915
23002 Alcalá la Real;Mujeres;2022;10.911
23002 Alcalá la Real;Mujeres;2021;10.961
23002 Alcalá la Real;Mujeres;2020;11.031
23002 Alcalá la Real;Mujeres;2019;10.993
