Municipios;Sexo;Periodo;Total
14001 Adamuz;Total;2024;4.091
14001 Adamuz;Total;2023;4.092
14001 Adamuz;Total;2022;4.125
14001 Adamuz;Total;2021;4.141
14001 Adamuz;Total;2020;4.137
14001 Adamuz;Total;2019;4.192
14001 Adamuz;Total;2018;4.185
14001 Adamuz;Total;2017;4.236
14001 Adamuz;Total;2016;4.270
14001 Adamuz;Total;2015;4.317
14001 Adamuz;Total;2014;4.398
14001 Adamuz;Total;2013;4.368
14001 Adamuz;Total;2012;4.446
14001 Adamuz;Total;2011;4.467
14001 Adamuz;Total;2010;4.414
14001 Adamuz;Total;2009;4.419
14001 Adamuz;Total;2008;4.472
14001 Adamuz;Total;2007;4.469
14001 Adamuz;Total;2006;4.476
14001 Adamuz;Total;2005;4.443
14001 Adamuz;Total;2004;4.397
14001 Adamuz;Total;2003;4.423
14001 Adamuz;Total;2002;4.455
14001 Adamuz;Total;2001;4.451
14001 Adamuz;Total;2000;4.465
14001 Adamuz;Total;1999;4.453
14001 Adamuz;Total;1998;4.440
14001 Adamuz;Total;1997;""
14001 Adamuz;Total;1996;4.466
14001 Adamuz;Hombres;2024;2.067
14001 Adamuz;Hombres;2023;2.082
14001 Adamuz;Hombres;2022;2.098
14001 Adamuz;Hombres;2021;2.122
14001 Adamuz;Hombres;2020;2.124
14001 Adamuz;Hombres;2019;2.157
14001 Adamuz;Hombres;2018;2.155
14001 Adamuz;Hombres;2017;2.173
14001 Adamuz;Hombres;2016;2.188
14001 Adamuz;Hombres;2015;2.214
14001 Adamuz;Hombres;2014;2.262
14001 Adamuz;Hombres;2013;2.234
14001 Adamuz;Hombres;2012;2.289
14001 Adamuz;Hombres;2011;2.289
14001 Adamuz;Hombres;2010;2.273
14001 Adamuz;Hombres;2009;2.267
14001 Adamuz;Hombres;2008;2.296
14001 Adamuz;Hombres;2007;2.274
14001 Adamuz;Hombres;2006;2.277
14001 Adamuz;Hombres;2005;2.251
14001 Adamuz;Hombres;2004;2.214
14001 Adamuz;Hombres;2003;2.225
14001 Adamuz;Hombres;2002;2.260
14001 Adamuz;Hombres;2001;2.262
14001 Adamuz;Hombres;2000;2.271
14001 Adamuz;Hombres;1999;2.275
14001 Adamuz;Hombres;1998;2.257
14001 Adamuz;Hombres;1997;""
14001 Adamuz;Hombres;1996;2.241
14001 Adamuz;Mujeres;2024;2.024
14001 Adamuz;Mujeres;2023;2.010
14001 Adamuz;Mujeres;2022;2.027
14001 Adamuz;Mujeres;2021;2.019
14001 Adamuz;Mujeres;2020;2.013
14001 Adamuz;Mujeres;2019;2.035
14001 Adamuz;Mujeres;2018;2.030
14001 Adamuz;Mujeres;2017;2.063
14001 Adamuz;Mujeres;2016;2.082
14001 Adamuz;Mujeres;2015;2.103
14001 Adamuz;Mujeres;2014;2.136
14001 Adamuz;Mujeres;2013;2.134
14001 Adamuz;Mujeres;2012;2.157
14001 Adamuz;Mujeres;2011;2.178
14001 Adamuz;Mujeres;2010;2.141
14001 Adamuz;Mujeres;2009;2.152
14001 Adamuz;Mujeres;2008;2.176
14001 Adamuz;Mujeres;2007;2.195
14001 Adamuz;Mujeres;2006;2.199
14001 Adamuz;Mujeres;2005;2.192
14001 Adamuz;Mujeres;2004;2.183
14001 Adamuz;Mujeres;2003;2.198
14001 Adamuz;Mujeres;2002;2.195
14001 Adamuz;Mujeres;2001;2.189
14001 Adamuz;Mujeres;2000;2.194
14001 Adamuz;Mujeres;1999;2.178
14001 Adamuz;Mujeres;1998;2.183
14001 Adamuz;Mujeres;1997;""
14001 Adamuz;Mujeres;1996;2.225
14002 Aguilar de la Frontera;Total;2024;13.210
14002 Aguilar de la Frontera;Total;2023;13.282
14002 Aguilar de la Frontera;Total;2022;13.318
14002 Aguilar de la Frontera;Total;2021;13.398
14002 Aguilar de la Frontera;Total;2020;13.382
14002 Aguilar de la Frontera;Total;2019;13.328
14002 Aguilar de la Frontera;Total;2018;13.438
14002 Aguilar de la Frontera;Total;2017;13.476
14002 Aguilar de la Frontera;Total;2016;13.511
14002 Aguilar de la Frontera;Total;2015;13.551
14002 Aguilar de la Frontera;Total;2014;13.631
14002 Aguilar de la Frontera;Total;2013;13.671
14002 Aguilar de la Frontera;Total;2012;13.701
14002 Aguilar de la Frontera;Total;2011;13.654
14002 Aguilar de la Frontera;Total;2010;13.693
14002 Aguilar de la Frontera;Total;2009;13.746
14002 Aguilar de la Frontera;Total;2008;13.692
14002 Aguilar de la Frontera;Total;2007;13.653
14002 Aguilar de la Frontera;Total;2006;13.657
14002 Aguilar de la Frontera;Total;2005;13.589
14002 Aguilar de la Frontera;Total;2004;13.522
14002 Aguilar de la Frontera;Total;2003;13.546
14002 Aguilar de la Frontera;Total;2002;13.508
14002 Aguilar de la Frontera;Total;2001;13.435
