Municipios;Sexo;Periodo;Total
37001 Abusejo;Total;2024;143
37001 Abusejo;Total;2023;150
37001 Abusejo;Total;2022;161
37001 Abusejo;Total;2021;166
37001 Abusejo;Total;2020;175
37001 Abusejo;Total;2019;183
37001 Abusejo;Total;2018;193
37001 Abusejo;Total;2017;203
37001 Abusejo;Total;2016;202
37001 Abusejo;Total;2015;213
37001 Abusejo;Total;2014;220
37001 Abusejo;Total;2013;225
37001 Abusejo;Total;2012;233
37001 Abusejo;Total;2011;236
37001 Abusejo;Total;2010;254
37001 Abusejo;Total;2009;236
37001 Abusejo;Total;2008;244
37001 Abusejo;Total;2007;249
37001 Abusejo;Total;2006;253
37001 Abusejo;Total;2005;256
37001 Abusejo;Total;2004;249
37001 Abusejo;Total;2003;250
37001 Abusejo;Total;2002;250
37001 Abusejo;Total;2001;253
37001 Abusejo;Total;2000;256
37001 Abusejo;Total;1999;269
37001 Abusejo;Total;1998;270
37001 Abusejo;Total;1997;""
37001 Abusejo;Total;1996;280
37001 Abusejo;Hombres;2024;73
37001 Abusejo;Hombres;2023;79
37001 Abusejo;Hombres;2022;84
37001 Abusejo;Hombres;2021;87
37001 Abusejo;Hombres;2020;93
37001 Abusejo;Hombres;2019;98
37001 Abusejo;Hombres;2018;102
37001 Abusejo;Hombres;2017;107
37001 Abusejo;Hombres;2016;106
37001 Abusejo;Hombres;2015;112
37001 Abusejo;Hombres;2014;117
37001 Abusejo;Hombres;2013;119
37001 Abusejo;Hombres;2012;122
37001 Abusejo;Hombres;2011;123
37001 Abusejo;Hombres;2010;134
37001 Abusejo;Hombres;2009;123
37001 Abusejo;Hombres;2008;125
37001 Abusejo;Hombres;2007;128
37001 Abusejo;Hombres;2006;133
37001 Abusejo;Hombres;2005;131
37001 Abusejo;Hombres;2004;126
37001 Abusejo;Hombres;2003;126
37001 Abusejo;Hombres;2002;124
37001 Abusejo;Hombres;2001;126
37001 Abusejo;Hombres;2000;126
37001 Abusejo;Hombres;1999;131
37001 Abusejo;Hombres;1998;131
37001 Abusejo;Hombres;1997;""
37001 Abusejo;Hombres;1996;139
37001 Abusejo;Mujeres;2024;70
37001 Abusejo;Mujeres;2023;71
37001 Abusejo;Mujeres;2022;77
37001 Abusejo;Mujeres;2021;79
37001 Abusejo;Mujeres;2020;82
37001 Abusejo;Mujeres;2019;85
37001 Abusejo;Mujeres;2018;91
37001 Abusejo;Mujeres;2017;96
37001 Abusejo;Mujeres;2016;96
37001 Abusejo;Mujeres;2015;101
37001 Abusejo;Mujeres;2014;103
37001 Abusejo;Mujeres;2013;106
37001 Abusejo;Mujeres;2012;111
37001 Abusejo;Mujeres;2011;113
37001 Abusejo;Mujeres;2010;120
37001 Abusejo;Mujeres;2009;113
37001 Abusejo;Mujeres;2008;119
37001 Abusejo;Mujeres;2007;121
37001 Abusejo;Mujeres;2006;120
37001 Abusejo;Mujeres;2005;125
37001 Abusejo;Mujeres;2004;123
37001 Abusejo;Mujeres;2003;124
37001 Abusejo;Mujeres;2002;126
37001 Abusejo;Mujeres;2001;127
37001 Abusejo;Mujeres;2000;130
37001 Abusejo;Mujeres;1999;138
37001 Abusejo;Mujeres;1998;139
37001 Abusejo;Mujeres;1997;""
37001 Abusejo;Mujeres;1996;141
37002 Agallas;Total;2024;132
37002 Agallas;Total;2023;126
37002 Agallas;Total;2022;131
37002 Agallas;Total;2021;128
37002 Agallas;Total;2020;132
37002 Agallas;Total;2019;136
37002 Agallas;Total;2018;146
37002 Agallas;Total;2017;153
37002 Agallas;Total;2016;152
37002 Agallas;Total;2015;157
37002 Agallas;Total;2014;158
37002 Agallas;Total;2013;151
37002 Agallas;Total;2012;152
37002 Agallas;Total;2011;162
37002 Agallas;Total;2010;157
37002 Agallas;Total;2009;164
37002 Agallas;Total;2008;165
37002 Agallas;Total;2007;181
37002 Agallas;Total;2006;184
37002 Agallas;Total;2005;185
37002 Agallas;Total;2004;184
37002 Agallas;Total;2003;189
37002 Agallas;Total;2002;195
37002 Agallas;Total;2001;195
37002 Agallas;Total;2000;191
37002 Agallas;Total;1999;194
37002 Agallas;Total;1998;184
37002 Agallas;Total;1997;""
37002 Agallas;Total;1996;187
37002 Agallas;Hombres;2024;74
37002 Agallas;Hombres;2023;71
37002 Agallas;Hombres;2022;69
37002 Agallas;Hombres;2021;65
37002 Agallas;Hombres;2020;69
37002 Agallas;Hombres;2019;70
37002 Agallas;Hombres;2018;75
37002 Agallas;Hombres;2017;76
37002 Agallas;Hombres;2016;76
37002 Agallas;Hombres;2015;79
37002 Agallas;Hombres;2014;81
37002 Agallas;Hombres;2013;81
37002 Agallas;Hombres;2012;81
37002 Agallas;Hombres;2011;86
37002 Agallas;Hombres;2010;81
37002 Agallas;Hombres;2009;86
37002 Agallas;Hombres;2008;89
37002 Agallas;Hombres;2007;96
37002 Agallas;Hombres;2006;96
37002 Agallas;Hombres;2005;98
37002 Agallas;Hombres;2004;96
37002 Agallas;Hombres;2003;99
37002 Agallas;Hombres;2002;103
37002 Agallas;Hombres;2001;101
37002 Agallas;Hombres;2000;98
37002 Agallas;Hombres;1999;98
37002 Agallas;Hombres;1998;96
37002 Agallas;Hombres;1997;""
37002 Agallas;Hombres;1996;98
37002 Agallas;Mujeres;2024;58
37002 Agallas;Mujeres;2023;55
37002 Agallas;Mujeres;2022;62
37002 Agallas;Mujeres;2021;63
37002 Agallas;Mujeres;2020;63
37002 Agallas;Mujeres;2019;66
37002 Agallas;Mujeres;2018;71
37002 Agallas;Mujeres;2017;77
37002 Agallas;Mujeres;2016;76
37002 Agallas;Mujeres;2015;78
37002 Agallas;Mujeres;2014;77
37002 Agallas;Mujeres;2013;70
37002 Agallas;Mujeres;2012;71
37002 Agallas;Mujeres;2011;76
37002 Agallas;Mujeres;2010;76
37002 Agallas;Mujeres;2009;78
37002 Agallas;Mujeres;2008;76
37002 Agallas;Mujeres;2007;85
37002 Agallas;Mujeres;2006;88
37002 Agallas;Mujeres;2005;87
37002 Agallas;Mujeres;2004;88
37002 Agallas;Mujeres;2003;90
37002 Agallas;Mujeres;2002;92
37002 Agallas;Mujeres;2001;94
37002 Agallas;Mujeres;2000;93
37002 Agallas;Mujeres;1999;96
37002 Agallas;Mujeres;1998;88
37002 Agallas;Mujeres;1997;""
37002 Agallas;Mujeres;1996;89
37004 Ahigal de Villarino;Total;2024;31
37004 Ahigal de Villarino;Total;2023;31
37004 Ahigal de Villarino;Total;2022;27
37004 Ahigal de Villarino;Total;2021;24
37004 Ahigal de Villarino;Total;2020;29
37004 Ahigal de Villarino;Total;2019;31
37004 Ahigal de Villarino;Total;2018;34
37004 Ahigal de Villarino;Total;2017;35
37004 Ahigal de Villarino;Total;2016;40
37004 Ahigal de Villarino;Total;2015;41
37004 Ahigal de Villarino;Total;2014;37
37004 Ahigal de Villarino;Total;2013;35
37004 Ahigal de Villarino;Total;2012;37
37004 Ahigal de Villarino;Total;2011;39
37004 Ahigal de Villarino;Total;2010;41
37004 Ahigal de Villarino;Total;2009;43
37004 Ahigal de Villarino;Total;2008;45
37004 Ahigal de Villarino;Total;2007;41
37004 Ahigal de Villarino;Total;2006;41
37004 Ahigal de Villarino;Total;2005;42
37004 Ahigal de Villarino;Total;2004;42
37004 Ahigal de Villarino;Total;2003;41
37004 Ahigal de Villarino;Total;2002;43
37004 Ahigal de Villarino;Total;2001;45
37004 Ahigal de Villarino;Total;2000;44
37004 Ahigal de Villarino;Total;1999;47
37004 Ahigal de Villarino;Total;1998;48
37004 Ahigal de Villarino;Total;1997;""
37004 Ahigal de Villarino;Total;1996;49
37004 Ahigal de Villarino;Hombres;2024;18
37004 Ahigal de Villarino;Hombres;2023;18
37004 Ahigal de Villarino;Hombres;2022;15
37004 Ahigal de Villarino;Hombres;2021;14
37004 Ahigal de Villarino;Hombres;2020;16
37004 Ahigal de Villarino;Hombres;2019;17
37004 Ahigal de Villarino;Hombres;2018;19
37004 Ahigal de Villarino;Hombres;2017;19
37004 Ahigal de Villarino;Hombres;2016;22
37004 Ahigal de Villarino;Hombres;2015;23
37004 Ahigal de Villarino;Hombres;2014;19
37004 Ahigal de Villarino;Hombres;2013;18
37004 Ahigal de Villarino;Hombres;2012;18
37004 Ahigal de Villarino;Hombres;2011;20
37004 Ahigal de Villarino;Hombres;2010;21
37004 Ahigal de Villarino;Hombres;2009;22
37004 Ahigal de Villarino;Hombres;2008;22
37004 Ahigal de Villarino;Hombres;2007;20
37004 Ahigal de Villarino;Hombres;2006;20
37004 Ahigal de Villarino;Hombres;2005;20
37004 Ahigal de Villarino;Hombres;2004;21
37004 Ahigal de Villarino;Hombres;2003;20
37004 Ahigal de Villarino;Hombres;2002;22
37004 Ahigal de Villarino;Hombres;2001;21
37004 Ahigal de Villarino;Hombres;2000;21
37004 Ahigal de Villarino;Hombres;1999;24
37004 Ahigal de Villarino;Hombres;1998;25
37004 Ahigal de Villarino;Hombres;1997;""
37004 Ahigal de Villarino;Hombres;1996;26
37004 Ahigal de Villarino;Mujeres;2024;13
37004 Ahigal de Villarino;Mujeres;2023;13
37004 Ahigal de Villarino;Mujeres;2022;12
37004 Ahigal de Villarino;Mujeres;2021;10
37004 Ahigal de Villarino;Mujeres;2020;13
37004 Ahigal de Villarino;Mujeres;2019;14
37004 Ahigal de Villarino;Mujeres;2018;15
37004 Ahigal de Villarino;Mujeres;2017;16
37004 Ahigal de Villarino;Mujeres;2016;18
37004 Ahigal de Villarino;Mujeres;2015;18
37004 Ahigal de Villarino;Mujeres;2014;18
37004 Ahigal de Villarino;Mujeres;2013;17
37004 Ahigal de Villarino;Mujeres;2012;19
37004 Ahigal de Villarino;Mujeres;2011;19
37004 Ahigal de Villarino;Mujeres;2010;20
37004 Ahigal de Villarino;Mujeres;2009;21
37004 Ahigal de Villarino;Mujeres;2008;23
37004 Ahigal de Villarino;Mujeres;2007;21
37004 Ahigal de Villarino;Mujeres;2006;21
37004 Ahigal de Villarino;Mujeres;2005;22
37004 Ahigal de Villarino;Mujeres;2004;21
37004 Ahigal de Villarino;Mujeres;2003;21
37004 Ahigal de Villarino;Mujeres;2002;21
37004 Ahigal de Villarino;Mujeres;2001;24
37004 Ahigal de Villarino;Mujeres;2000;23
37004 Ahigal de Villarino;Mujeres;1999;23
37004 Ahigal de Villarino;Mujeres;1998;23
37004 Ahigal de Villarino;Mujeres;1997;""
37004 Ahigal de Villarino;Mujeres;1996;23
37003 Ahigal de los Aceiteros;Total;2024;88
37003 Ahigal de los Aceiteros;Total;2023;94
37003 Ahigal de los Aceiteros;Total;2022;101
37003 Ahigal de los Aceiteros;Total;2021;114
37003 Ahigal de los Aceiteros;Total;2020;113
37003 Ahigal de los Aceiteros;Total;2019;114
37003 Ahigal de los Aceiteros;Total;2018;120
37003 Ahigal de los Aceiteros;Total;2017;126
37003 Ahigal de los Aceiteros;Total;2016;126
37003 Ahigal de los Aceiteros;Total;2015;136
37003 Ahigal de los Aceiteros;Total;2014;143
37003 Ahigal de los Aceiteros;Total;2013;132
37003 Ahigal de los Aceiteros;Total;2012;138
37003 Ahigal de los Aceiteros;Total;2011;147
37003 Ahigal de los Aceiteros;Total;2010;150
37003 Ahigal de los Aceiteros;Total;2009;159
37003 Ahigal de los Aceiteros;Total;2008;159
37003 Ahigal de los Aceiteros;Total;2007;161
37003 Ahigal de los Aceiteros;Total;2006;167
37003 Ahigal de los Aceiteros;Total;2005;171
37003 Ahigal de los Aceiteros;Total;2004;170
37003 Ahigal de los Aceiteros;Total;2003;177
37003 Ahigal de los Aceiteros;Total;2002;195
37003 Ahigal de los Aceiteros;Total;2001;201
37003 Ahigal de los Aceiteros;Total;2000;206
37003 Ahigal de los Aceiteros;Total;1999;206
37003 Ahigal de los Aceiteros;Total;1998;214
37003 Ahigal de los Aceiteros;Total;1997;""
37003 Ahigal de los Aceiteros;Total;1996;216
37003 Ahigal de los Aceiteros;Hombres;2024;46
37003 Ahigal de los Aceiteros;Hombres;2023;52
37003 Ahigal de los Aceiteros;Hombres;2022;56
37003 Ahigal de los Aceiteros;Hombres;2021;62
37003 Ahigal de los Aceiteros;Hombres;2020;61
37003 Ahigal de los Aceiteros;Hombres;2019;64
37003 Ahigal de los Aceiteros;Hombres;2018;65
37003 Ahigal de los Aceiteros;Hombres;2017;67
37003 Ahigal de los Aceiteros;Hombres;2016;68
37003 Ahigal de los Aceiteros;Hombres;2015;72
37003 Ahigal de los Aceiteros;Hombres;2014;77
37003 Ahigal de los Aceiteros;Hombres;2013;68
37003 Ahigal de los Aceiteros;Hombres;2012;70
37003 Ahigal de los Aceiteros;Hombres;2011;75
37003 Ahigal de los Aceiteros;Hombres;2010;78
37003 Ahigal de los Aceiteros;Hombres;2009;81
37003 Ahigal de los Aceiteros;Hombres;2008;80
37003 Ahigal de los Aceiteros;Hombres;2007;82
37003 Ahigal de los Aceiteros;Hombres;2006;84
37003 Ahigal de los Aceiteros;Hombres;2005;85
37003 Ahigal de los Aceiteros;Hombres;2004;86
37003 Ahigal de los Aceiteros;Hombres;2003;89
37003 Ahigal de los Aceiteros;Hombres;2002;98
37003 Ahigal de los Aceiteros;Hombres;2001;101
37003 Ahigal de los Aceiteros;Hombres;2000;105
37003 Ahigal de los Aceiteros;Hombres;1999;106
37003 Ahigal de los Aceiteros;Hombres;1998;110
37003 Ahigal de los Aceiteros;Hombres;1997;""
37003 Ahigal de los Aceiteros;Hombres;1996;109
37003 Ahigal de los Aceiteros;Mujeres;2024;42
37003 Ahigal de los Aceiteros;Mujeres;2023;42
37003 Ahigal de los Aceiteros;Mujeres;2022;45
37003 Ahigal de los Aceiteros;Mujeres;2021;52
37003 Ahigal de los Aceiteros;Mujeres;2020;52
37003 Ahigal de los Aceiteros;Mujeres;2019;50
37003 Ahigal de los Aceiteros;Mujeres;2018;55
37003 Ahigal de los Aceiteros;Mujeres;2017;59
37003 Ahigal de los Aceiteros;Mujeres;2016;58
37003 Ahigal de los Aceiteros;Mujeres;2015;64
37003 Ahigal de los Aceiteros;Mujeres;2014;66
37003 Ahigal de los Aceiteros;Mujeres;2013;64
37003 Ahigal de los Aceiteros;Mujeres;2012;68
37003 Ahigal de los Aceiteros;Mujeres;2011;72
37003 Ahigal de los Aceiteros;Mujeres;2010;72
37003 Ahigal de los Aceiteros;Mujeres;2009;78
37003 Ahigal de los Aceiteros;Mujeres;2008;79
37003 Ahigal de los Aceiteros;Mujeres;2007;79
37003 Ahigal de los Aceiteros;Mujeres;2006;83
37003 Ahigal de los Aceiteros;Mujeres;2005;86
37003 Ahigal de los Aceiteros;Mujeres;2004;84
37003 Ahigal de los Aceiteros;Mujeres;2003;88
37003 Ahigal de los Aceiteros;Mujeres;2002;97
37003 Ahigal de los Aceiteros;Mujeres;2001;100
37003 Ahigal de los Aceiteros;Mujeres;2000;101
37003 Ahigal de los Aceiteros;Mujeres;1999;100
37003 Ahigal de los Aceiteros;Mujeres;1998;104
37003 Ahigal de los Aceiteros;Mujeres;1997;""
37003 Ahigal de los Aceiteros;Mujeres;1996;107
37005 Alameda de Gardón, La;Total;2024;74
37005 Alameda de Gardón, La;Total;2023;79
37005 Alameda de Gardón, La;Total;2022;70
37005 Alameda de Gardón, La;Total;2021;67
37005 Alameda de Gardón, La;Total;2020;68
37005 Alameda de Gardón, La;Total;2019;70
37005 Alameda de Gardón, La;Total;2018;76
37005 Alameda de Gardón, La;Total;2017;79
37005 Alameda de Gardón, La;Total;2016;83
37005 Alameda de Gardón, La;Total;2015;89
37005 Alameda de Gardón, La;Total;2014;92
37005 Alameda de Gardón, La;Total;2013;97
37005 Alameda de Gardón, La;Total;2012;104
37005 Alameda de Gardón, La;Total;2011;105
37005 Alameda de Gardón, La;Total;2010;102
37005 Alameda de Gardón, La;Total;2009;106
37005 Alameda de Gardón, La;Total;2008;108
37005 Alameda de Gardón, La;Total;2007;109
37005 Alameda de Gardón, La;Total;2006;124
37005 Alameda de Gardón, La;Total;2005;130
37005 Alameda de Gardón, La;Total;2004;138
37005 Alameda de Gardón, La;Total;2003;145
37005 Alameda de Gardón, La;Total;2002;154
37005 Alameda de Gardón, La;Total;2001;158
37005 Alameda de Gardón, La;Total;2000;157
37005 Alameda de Gardón, La;Total;1999;171
37005 Alameda de Gardón, La;Total;1998;179
37005 Alameda de Gardón, La;Total;1997;""
37005 Alameda de Gardón, La;Total;1996;184
37005 Alameda de Gardón, La;Hombres;2024;38
37005 Alameda de Gardón, La;Hombres;2023;38
37005 Alameda de Gardón, La;Hombres;2022;35
