Municipios;Sexo;Periodo;Total
41001 Aguadulce;Total;2024;2.042
41001 Aguadulce;Total;2023;2.046
41001 Aguadulce;Total;2022;2.043
41001 Aguadulce;Total;2021;2.022
41001 Aguadulce;Total;2020;2.035
41001 Aguadulce;Total;2019;2.020
41001 Aguadulce;Total;2018;2.026
41001 Aguadulce;Total;2017;2.047
41001 Aguadulce;Total;2016;2.073
41001 Aguadulce;Total;2015;2.114
41001 Aguadulce;Total;2014;2.149
41001 Aguadulce;Total;2013;2.166
41001 Aguadulce;Total;2012;2.165
41001 Aguadulce;Total;2011;2.165
41001 Aguadulce;Total;2010;2.181
41001 Aguadulce;Total;2009;2.124
41001 Aguadulce;Total;2008;2.124
41001 Aguadulce;Total;2007;2.060
41001 Aguadulce;Total;2006;2.010
41001 Aguadulce;Total;2005;1.993
41001 Aguadulce;Total;2004;1.982
41001 Aguadulce;Total;2003;1.970
41001 Aguadulce;Total;2002;1.981
41001 Aguadulce;Total;2001;1.968
41001 Aguadulce;Total;2000;1.958
41001 Aguadulce;Total;1999;1.953
41001 Aguadulce;Total;1998;1.966
41001 Aguadulce;Total;1997;""
41001 Aguadulce;Total;1996;1.956
41001 Aguadulce;Hombres;2024;1.009
41001 Aguadulce;Hombres;2023;1.017
41001 Aguadulce;Hombres;2022;1.005
41001 Aguadulce;Hombres;2021;999
41001 Aguadulce;Hombres;2020;1.005
41001 Aguadulce;Hombres;2019;1.003
41001 Aguadulce;Hombres;2018;1.006
41001 Aguadulce;Hombres;2017;1.014
41001 Aguadulce;Hombres;2016;1.024
41001 Aguadulce;Hombres;2015;1.043
41001 Aguadulce;Hombres;2014;1.065
41001 Aguadulce;Hombres;2013;1.066
41001 Aguadulce;Hombres;2012;1.075
41001 Aguadulce;Hombres;2011;1.080
41001 Aguadulce;Hombres;2010;1.096
41001 Aguadulce;Hombres;2009;1.070
41001 Aguadulce;Hombres;2008;1.070
41001 Aguadulce;Hombres;2007;1.038
41001 Aguadulce;Hombres;2006;1.013
41001 Aguadulce;Hombres;2005;1.006
41001 Aguadulce;Hombres;2004;1.001
41001 Aguadulce;Hombres;2003;992
41001 Aguadulce;Hombres;2002;1.000
41001 Aguadulce;Hombres;2001;994
41001 Aguadulce;Hombres;2000;980
41001 Aguadulce;Hombres;1999;983
41001 Aguadulce;Hombres;1998;996
41001 Aguadulce;Hombres;1997;""
41001 Aguadulce;Hombres;1996;981
41001 Aguadulce;Mujeres;2024;1.033
41001 Aguadulce;Mujeres;2023;1.029
41001 Aguadulce;Mujeres;2022;1.038
41001 Aguadulce;Mujeres;2021;1.023
41001 Aguadulce;Mujeres;2020;1.030
41001 Aguadulce;Mujeres;2019;1.017
41001 Aguadulce;Mujeres;2018;1.020
41001 Aguadulce;Mujeres;2017;1.033
41001 Aguadulce;Mujeres;2016;1.049
41001 Aguadulce;Mujeres;2015;1.071
41001 Aguadulce;Mujeres;2014;1.084
41001 Aguadulce;Mujeres;2013;1.100
41001 Aguadulce;Mujeres;2012;1.090
41001 Aguadulce;Mujeres;2011;1.085
41001 Aguadulce;Mujeres;2010;1.085
41001 Aguadulce;Mujeres;2009;1.054
41001 Aguadulce;Mujeres;2008;1.054
41001 Aguadulce;Mujeres;2007;1.022
41001 Aguadulce;Mujeres;2006;997
41001 Aguadulce;Mujeres;2005;987
41001 Aguadulce;Mujeres;2004;981
41001 Aguadulce;Mujeres;2003;978
41001 Aguadulce;Mujeres;2002;981
41001 Aguadulce;Mujeres;2001;974
41001 Aguadulce;Mujeres;2000;978
41001 Aguadulce;Mujeres;1999;970
41001 Aguadulce;Mujeres;1998;970
41001 Aguadulce;Mujeres;1997;""
41001 Aguadulce;Mujeres;1996;975
41002 Alanís;Total;2024;1.673
41002 Alanís;Total;2023;1.675
41002 Alanís;Total;2022;1.689
41002 Alanís;Total;2021;1.716
41002 Alanís;Total;2020;1.706
41002 Alanís;Total;2019;1.723
41002 Alanís;Total;2018;1.746
41002 Alanís;Total;2017;1.781
41002 Alanís;Total;2016;1.811
41002 Alanís;Total;2015;1.820
41002 Alanís;Total;2014;1.832
41002 Alanís;Total;2013;1.843
41002 Alanís;Total;2012;1.858
41002 Alanís;Total;2011;1.859
41002 Alanís;Total;2010;1.863
41002 Alanís;Total;2009;1.894
41002 Alanís;Total;2008;1.891
41002 Alanís;Total;2007;1.887
41002 Alanís;Total;2006;1.890
41002 Alanís;Total;2005;1.937
