Municipios;Sexo;Periodo;Total
38001 Adeje;Total;2024;50.549
38001 Adeje;Total;2023;50.167
38001 Adeje;Total;2022;49.270
38001 Adeje;Total;2021;48.733
38001 Adeje;Total;2020;49.030
38001 Adeje;Total;2019;47.869
38001 Adeje;Total;2018;47.280
38001 Adeje;Total;2017;46.833
38001 Adeje;Total;2016;47.316
38001 Adeje;Total;2015;45.405
38001 Adeje;Total;2014;46.667
38001 Adeje;Total;2013;49.387
38001 Adeje;Total;2012;46.894
38001 Adeje;Total;2011;45.134
38001 Adeje;Total;2010;43.801
38001 Adeje;Total;2009;43.204
38001 Adeje;Total;2008;41.002
38001 Adeje;Total;2007;38.245
38001 Adeje;Total;2006;36.764
38001 Adeje;Total;2005;33.722
38001 Adeje;Total;2004;30.304
38001 Adeje;Total;2003;27.640
38001 Adeje;Total;2002;25.341
38001 Adeje;Total;2001;21.862
38001 Adeje;Total;2000;14.007
38001 Adeje;Total;1999;13.605
38001 Adeje;Total;1998;13.605
38001 Adeje;Total;1997;""
38001 Adeje;Total;1996;14.029
38001 Adeje;Hombres;2024;25.283
38001 Adeje;Hombres;2023;25.085
38001 Adeje;Hombres;2022;24.793
38001 Adeje;Hombres;2021;24.562
38001 Adeje;Hombres;2020;24.675
38001 Adeje;Hombres;2019;24.110
38001 Adeje;Hombres;2018;23.844
38001 Adeje;Hombres;2017;23.612
38001 Adeje;Hombres;2016;23.944
38001 Adeje;Hombres;2015;23.024
38001 Adeje;Hombres;2014;23.745
38001 Adeje;Hombres;2013;25.276
38001 Adeje;Hombres;2012;24.065
38001 Adeje;Hombres;2011;23.234
38001 Adeje;Hombres;2010;22.578
38001 Adeje;Hombres;2009;22.277
38001 Adeje;Hombres;2008;21.235
38001 Adeje;Hombres;2007;19.828
38001 Adeje;Hombres;2006;19.264
38001 Adeje;Hombres;2005;17.711
38001 Adeje;Hombres;2004;15.875
38001 Adeje;Hombres;2003;14.524
38001 Adeje;Hombres;2002;13.271
38001 Adeje;Hombres;2001;11.359
38001 Adeje;Hombres;2000;7.023
38001 Adeje;Hombres;1999;6.833
38001 Adeje;Hombres;1998;6.833
38001 Adeje;Hombres;1997;""
38001 Adeje;Hombres;1996;7.066
38001 Adeje;Mujeres;2024;25.266
38001 Adeje;Mujeres;2023;25.082
38001 Adeje;Mujeres;2022;24.477
38001 Adeje;Mujeres;2021;24.171
38001 Adeje;Mujeres;2020;24.355
38001 Adeje;Mujeres;2019;23.759
38001 Adeje;Mujeres;2018;23.436
38001 Adeje;Mujeres;2017;23.221
38001 Adeje;Mujeres;2016;23.372
38001 Adeje;Mujeres;2015;22.381
38001 Adeje;Mujeres;2014;22.922
38001 Adeje;Mujeres;2013;24.111
38001 Adeje;Mujeres;2012;22.829
38001 Adeje;Mujeres;2011;21.900
38001 Adeje;Mujeres;2010;21.223
38001 Adeje;Mujeres;2009;20.927
38001 Adeje;Mujeres;2008;19.767
38001 Adeje;Mujeres;2007;18.417
38001 Adeje;Mujeres;2006;17.500
38001 Adeje;Mujeres;2005;16.011
38001 Adeje;Mujeres;2004;14.429
38001 Adeje;Mujeres;2003;13.116
38001 Adeje;Mujeres;2002;12.070
38001 Adeje;Mujeres;2001;10.503
38001 Adeje;Mujeres;2000;6.984
38001 Adeje;Mujeres;1999;6.772
38001 Adeje;Mujeres;1998;6.772
38001 Adeje;Mujeres;1997;""
38001 Adeje;Mujeres;1996;6.963
38002 Agulo;Total;2024;1.108
38002 Agulo;Total;2023;1.113
38002 Agulo;Total;2022;1.085
38002 Agulo;Total;2021;1.099
38002 Agulo;Total;2020;1.110
38002 Agulo;Total;2019;1.096
38002 Agulo;Total;2018;1.067
38002 Agulo;Total;2017;1.066
38002 Agulo;Total;2016;1.074
38002 Agulo;Total;2015;1.081
38002 Agulo;Total;2014;1.086
38002 Agulo;Total;2013;1.100
38002 Agulo;Total;2012;1.164
38002 Agulo;Total;2011;1.202
38002 Agulo;Total;2010;1.180
38002 Agulo;Total;2009;1.200
38002 Agulo;Total;2008;1.187
