Municipios;Sexo;Periodo;Total
20001 Abaltzisketa;Total;2024;319
20001 Abaltzisketa;Total;2023;326
20001 Abaltzisketa;Total;2022;309
20001 Abaltzisketa;Total;2021;312
20001 Abaltzisketa;Total;2020;318
20001 Abaltzisketa;Total;2019;333
20001 Abaltzisketa;Total;2018;320
20001 Abaltzisketa;Total;2017;327
20001 Abaltzisketa;Total;2016;324
20001 Abaltzisketa;Total;2015;329
20001 Abaltzisketa;Total;2014;329
20001 Abaltzisketa;Total;2013;330
20001 Abaltzisketa;Total;2012;324
20001 Abaltzisketa;Total;2011;321
20001 Abaltzisketa;Total;2010;326
20001 Abaltzisketa;Total;2009;316
20001 Abaltzisketa;Total;2008;317
20001 Abaltzisketa;Total;2007;304
20001 Abaltzisketa;Total;2006;295
20001 Abaltzisketa;Total;2005;284
20001 Abaltzisketa;Total;2004;280
20001 Abaltzisketa;Total;2003;281
20001 Abaltzisketa;Total;2002;283
20001 Abaltzisketa;Total;2001;262
20001 Abaltzisketa;Total;2000;258
20001 Abaltzisketa;Total;1999;262
20001 Abaltzisketa;Total;1998;265
20001 Abaltzisketa;Total;1997;""
20001 Abaltzisketa;Total;1996;259
20001 Abaltzisketa;Hombres;2024;179
20001 Abaltzisketa;Hombres;2023;185
20001 Abaltzisketa;Hombres;2022;169
20001 Abaltzisketa;Hombres;2021;168
20001 Abaltzisketa;Hombres;2020;175
20001 Abaltzisketa;Hombres;2019;181
20001 Abaltzisketa;Hombres;2018;173
20001 Abaltzisketa;Hombres;2017;178
20001 Abaltzisketa;Hombres;2016;177
20001 Abaltzisketa;Hombres;2015;182
20001 Abaltzisketa;Hombres;2014;179
20001 Abaltzisketa;Hombres;2013;179
20001 Abaltzisketa;Hombres;2012;176
20001 Abaltzisketa;Hombres;2011;178
20001 Abaltzisketa;Hombres;2010;180
20001 Abaltzisketa;Hombres;2009;178
20001 Abaltzisketa;Hombres;2008;176
20001 Abaltzisketa;Hombres;2007;174
20001 Abaltzisketa;Hombres;2006;169
20001 Abaltzisketa;Hombres;2005;160
20001 Abaltzisketa;Hombres;2004;161
20001 Abaltzisketa;Hombres;2003;163
20001 Abaltzisketa;Hombres;2002;161
20001 Abaltzisketa;Hombres;2001;150
20001 Abaltzisketa;Hombres;2000;153
20001 Abaltzisketa;Hombres;1999;157
20001 Abaltzisketa;Hombres;1998;155
20001 Abaltzisketa;Hombres;1997;""
20001 Abaltzisketa;Hombres;1996;149
20001 Abaltzisketa;Mujeres;2024;140
20001 Abaltzisketa;Mujeres;2023;141
20001 Abaltzisketa;Mujeres;2022;140
20001 Abaltzisketa;Mujeres;2021;144
20001 Abaltzisketa;Mujeres;2020;143
20001 Abaltzisketa;Mujeres;2019;152
20001 Abaltzisketa;Mujeres;2018;147
20001 Abaltzisketa;Mujeres;2017;149
20001 Abaltzisketa;Mujeres;2016;147
20001 Abaltzisketa;Mujeres;2015;147
20001 Abaltzisketa;Mujeres;2014;150
20001 Abaltzisketa;Mujeres;2013;151
20001 Abaltzisketa;Mujeres;2012;148
20001 Abaltzisketa;Mujeres;2011;143
20001 Abaltzisketa;Mujeres;2010;146
20001 Abaltzisketa;Mujeres;2009;138
20001 Abaltzisketa;Mujeres;2008;141
20001 Abaltzisketa;Mujeres;2007;130
20001 Abaltzisketa;Mujeres;2006;126
20001 Abaltzisketa;Mujeres;2005;124
20001 Abaltzisketa;Mujeres;2004;119
20001 Abaltzisketa;Mujeres;2003;118
20001 Abaltzisketa;Mujeres;2002;122
20001 Abaltzisketa;Mujeres;2001;112
20001 Abaltzisketa;Mujeres;2000;105
20001 Abaltzisketa;Mujeres;1999;105
20001 Abaltzisketa;Mujeres;1998;110
20001 Abaltzisketa;Mujeres;1997;""
20001 Abaltzisketa;Mujeres;1996;110
20002 Aduna;Total;2024;499
20002 Aduna;Total;2023;506
20002 Aduna;Total;2022;486
20002 Aduna;Total;2021;482
20002 Aduna;Total;2020;472
20002 Aduna;Total;2019;469
20002 Aduna;Total;2018;469
20002 Aduna;Total;2017;472
20002 Aduna;Total;2016;470
20002 Aduna;Total;2015;470
20002 Aduna;Total;2014;471
20002 Aduna;Total;2013;457
20002 Aduna;Total;2012;452
20002 Aduna;Total;2011;452
20002 Aduna;Total;2010;429
20002 Aduna;Total;2009;401
20002 Aduna;Total;2008;376
20002 Aduna;Total;2007;370
20002 Aduna;Total;2006;368
20002 Aduna;Total;2005;352
20002 Aduna;Total;2004;342
20002 Aduna;Total;2003;341
20002 Aduna;Total;2002;332
20002 Aduna;Total;2001;327
20002 Aduna;Total;2000;315
20002 Aduna;Total;1999;310
20002 Aduna;Total;1998;308
20002 Aduna;Total;1997;""
20002 Aduna;Total;1996;311
20002 Aduna;Hombres;2024;268
20002 Aduna;Hombres;2023;270
20002 Aduna;Hombres;2022;259
20002 Aduna;Hombres;2021;258
20002 Aduna;Hombres;2020;254
20002 Aduna;Hombres;2019;253
20002 Aduna;Hombres;2018;256
20002 Aduna;Hombres;2017;257
20002 Aduna;Hombres;2016;257
20002 Aduna;Hombres;2015;255
20002 Aduna;Hombres;2014;255
20002 Aduna;Hombres;2013;245
20002 Aduna;Hombres;2012;248
20002 Aduna;Hombres;2011;246
20002 Aduna;Hombres;2010;237
20002 Aduna;Hombres;2009;223
20002 Aduna;Hombres;2008;208
20002 Aduna;Hombres;2007;202
20002 Aduna;Hombres;2006;202
20002 Aduna;Hombres;2005;194
20002 Aduna;Hombres;2004;188
20002 Aduna;Hombres;2003;185
20002 Aduna;Hombres;2002;179
20002 Aduna;Hombres;2001;177
20002 Aduna;Hombres;2000;169
20002 Aduna;Hombres;1999;165
20002 Aduna;Hombres;1998;165
20002 Aduna;Hombres;1997;""
20002 Aduna;Hombres;1996;164
20002 Aduna;Mujeres;2024;231
