"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
201301,"2013","16","País Vasco","01","Araba/Álava",0,8591,190,4330,148,182,3606,135,167,984,433,7007
201302,"2013","16","País Vasco","01","Araba/Álava",0,7054,167,3418,119,182,3075,93,83,821,347,5803
201303,"2013","16","País Vasco","01","Araba/Álava",0,7450,144,3649,150,187,3196,124,105,820,352,6173
201304,"2013","16","País Vasco","01","Araba/Álava",0,8754,221,4403,136,159,3728,107,107,1184,505,6958
201301,"2013","08","Castilla - La Mancha","02","Albacete",0,7345,210,4040,137,147,2703,108,1744,767,489,4345
201302,"2013","08","Castilla - La Mancha","02","Albacete",0,6767,172,3746,104,131,2522,92,1598,649,545,3975
201303,"2013","08","Castilla - La Mancha","02","Albacete",0,7183,498,3451,161,273,2675,125,1616,568,488,4511
201304,"2013","08","Castilla - La Mancha","02","Albacete",0,8096,185,4493,159,192,2983,84,1473,825,558,5240
201301,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,33444,1194,16788,682,1015,13184,581,1632,5212,3010,23590
201302,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,29338,1070,14903,640,938,11202,585,1507,4070,2961,20800
201303,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,32416,1029,16762,703,888,12378,656,1079,3704,2511,25122
201304,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,37574,1048,19120,730,1018,15032,626,2282,4332,2798,28162
201301,"2013","01","Andalucía","04","Almería",0,16715,298,8801,124,232,7125,135,4757,485,1220,10253
201302,"2013","01","Andalucía","04","Almería",0,14045,230,7459,291,207,5644,214,3709,452,1116,8768
201303,"2013","01","Andalucía","04","Almería",0,15070,261,8017,230,214,6096,252,3473,516,1034,10047
201304,"2013","01","Andalucía","04","Almería",0,17895,222,9690,169,207,7508,99,4164,603,1407,11721
201301,"2013","07","Castilla y León","05","Ávila",0,1897,77,789,40,58,894,39,61,88,129,1619
201302,"2013","07","Castilla y León","05","Ávila",0,1774,36,800,28,57,825,28,72,71,154,1477
201303,"2013","07","Castilla y León","05","Ávila",0,2082,58,915,39,90,941,39,92,73,209,1708
201304,"2013","07","Castilla y León","05","Ávila",0,3052,86,1488,32,90,1322,34,128,146,356,2422
201301,"2013","11","Extremadura","06","Badajoz",0,23747,263,15253,133,234,7717,147,9988,1030,2632,10097
201302,"2013","11","Extremadura","06","Badajoz",0,21035,234,13593,120,260,6720,108,8454,812,2811,8958
201303,"2013","11","Extremadura","06","Badajoz",0,18995,203,11877,144,189,6470,112,7044,804,2307,8840
201304,"2013","11","Extremadura","06","Badajoz",0,28952,197,18622,127,234,9658,114,13143,921,3308,11580
201301,"2013","04","Balears, Illes","07","Balears, Illes",0,18697,862,9325,529,908,6594,479,288,799,3837,13773
201302,"2013","04","Balears, Illes","07","Balears, Illes",0,18317,936,9176,460,887,6464,394,218,655,3397,14047
201303,"2013","04","Balears, Illes","07","Balears, Illes",0,22169,1255,10610,487,1254,8136,427,278,778,2773,18340
201304,"2013","04","Balears, Illes","07","Balears, Illes",0,33249,1868,15583,508,1809,13043,438,447,1037,2955,28810
201301,"2013","09","Cataluña","08","Barcelona",0,134537,5564,56371,2979,5192,61702,2729,513,8025,6709,119290
201302,"2013","09","Cataluña","08","Barcelona",0,115725,4842,48323,2401,5107,52713,2339,403,6674,5826,102822
201303,"2013","09","Cataluña","08","Barcelona",0,118403,4940,50343,2876,5209,52455,2580,466,6529,5353,106055
201304,"2013","09","Cataluña","08","Barcelona",0,124699,5054,55804,2557,4705,54155,2424,562,7303,5897,110937
201301,"2013","07","Castilla y León","09","Burgos",0,7011,180,3205,209,153,3084,180,199,1094,366,5352
201302,"2013","07","Castilla y León","09","Burgos",0,5613,164,2587,134,169,2478,81,302,686,350,4275
201303,"2013","07","Castilla y León","09","Burgos",0,6142,118,2759,147,235,2768,115,278,797,324,4743
201304,"2013","07","Castilla y León","09","Burgos",0,6961,190,3322,147,189,2976,137,315,894,413,5339
201301,"2013","11","Extremadura","10","Cáceres",0,9185,150,4886,89,163,3812,85,2866,433,1856,4030
201302,"2013","11","Extremadura","10","Cáceres",0,8028,165,4390,90,176,3138,69,2130,354,1888,3656
201303,"2013","11","Extremadura","10","Cáceres",0,8322,133,4277,85,177,3581,69,2276,311,1511,4224
