"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
201901,"2019","16","País Vasco","01","Araba/Álava",0,15247,381,7823,299,311,6217,216,423,3643,448,10733
201902,"2019","16","País Vasco","01","Araba/Álava",0,12785,333,6301,227,265,5483,176,380,2721,431,9253
201903,"2019","16","País Vasco","01","Araba/Álava",0,13536,348,6702,255,326,5728,177,240,3046,401,9849
201904,"2019","16","País Vasco","01","Araba/Álava",0,13827,289,6911,221,229,5992,185,104,3236,397,10090
201905,"2019","16","País Vasco","01","Araba/Álava",0,20169,358,10886,437,315,7915,258,2631,3530,453,13555
201906,"2019","16","País Vasco","01","Araba/Álava",0,17246,271,9183,331,274,6959,228,1354,3276,470,12146
201907,"2019","16","País Vasco","01","Araba/Álava",0,17302,304,8830,295,284,7361,228,337,3214,436,13315
201908,"2019","16","País Vasco","01","Araba/Álava",0,11686,212,6150,192,170,4831,131,121,2370,334,8861
201909,"2019","16","País Vasco","01","Araba/Álava",0,21479,404,11711,338,450,8321,255,3423,3974,517,13565
201910,"2019","16","País Vasco","01","Araba/Álava",0,21736,383,11623,280,399,8771,280,3262,3583,471,14420
201911,"2019","16","País Vasco","01","Araba/Álava",0,14695,300,7310,228,249,6410,198,505,2936,317,10937
201912,"2019","16","País Vasco","01","Araba/Álava",0,14012,228,6707,223,229,6456,169,398,2595,281,10738
201901,"2019","08","Castilla - La Mancha","02","Albacete",0,14191,303,8034,302,162,5161,229,4290,1434,737,7730
201902,"2019","08","Castilla - La Mancha","02","Albacete",0,12286,305,7123,346,158,4169,185,3388,1289,779,6830
201903,"2019","08","Castilla - La Mancha","02","Albacete",0,14084,298,7676,395,246,5209,260,3461,1468,847,8308
201904,"2019","08","Castilla - La Mancha","02","Albacete",0,13687,391,6964,331,193,5573,235,2867,1221,710,8889
201905,"2019","08","Castilla - La Mancha","02","Albacete",0,21419,872,11847,373,364,7670,293,7673,1439,918,11389
201906,"2019","08","Castilla - La Mancha","02","Albacete",0,25828,2193,13938,275,897,8300,225,12003,1424,733,11668
201907,"2019","08","Castilla - La Mancha","02","Albacete",0,29384,2904,15371,375,1480,8987,267,14485,1700,884,12315
201908,"2019","08","Castilla - La Mancha","02","Albacete",0,18433,581,10918,254,277,6278,125,7640,1288,653,8852
201909,"2019","08","Castilla - La Mancha","02","Albacete",0,27464,656,16493,430,355,9226,304,11637,1922,969,12936
201910,"2019","08","Castilla - La Mancha","02","Albacete",0,22767,560,13156,407,336,8019,289,8525,1582,864,11796
201911,"2019","08","Castilla - La Mancha","02","Albacete",0,15595,280,8977,288,202,5657,191,5121,1385,665,8424
201912,"2019","08","Castilla - La Mancha","02","Albacete",0,14852,311,8030,275,151,5903,182,4089,1257,427,9079
201901,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,51310,1874,25568,1647,1495,19475,1251,3913,8005,4717,34675
201902,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,45339,1706,22760,1522,1369,16845,1137,3680,5887,4117,31655
201903,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,51675,1960,24825,1679,1639,20226,1346,3598,6469,3975,37633
201904,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,56170,1625,27738,1654,1390,22507,1256,5389,6618,3439,40724
201905,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,63750,1762,31347,1720,1426,26163,1332,6279,7772,4151,45548
201906,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,63584,1513,31359,1595,1217,26726,1174,4990,6679,3605,48310
201907,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,76395,1571,38133,1674,1358,32302,1357,5342,7395,4023,59635
201908,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,46128,1140,23218,1211,944,18608,1007,3702,4756,2898,34772
201909,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,61808,1989,29831,2056,2123,24230,1579,5408,8841,4922,42637
201910,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,69131,2203,34005,2069,1743,27468,1643,6759,7501,4625,50246
201911,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,51630,1571,25536,1505,1245,20537,1236,5343,6081,4031,36175
201912,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,46096,1139,21877,1237,889,19865,1089,3708,4997,2546,34845
201901,"2019","01","Andalucía","04","Almería",0,25848,755,13824,501,453,10008,307,8906,882,1696,14364
201902,"2019","01","Andalucía","04","Almería",0,23716,717,12743,631,416,8727,482,8019,934,1541,13222
201903,"2019","01","Andalucía","04","Almería",0,27929,627,14518,721,483,11144,436,8199,953,1841,16936
201904,"2019","01","Andalucía","04","Almería",0,30151,670,15369,813,484,12316,499,7791,899,1708,19753
201905,"2019","01","Andalucía","04","Almería",0,32694,696,18143,570,426,12497,362,8992,1024,2154,20524
201906,"2019","01","Andalucía","04","Almería",0,31630,628,17397,506,427,12330,342,8392,1008,1719,20511
201907,"2019","01","Andalucía","04","Almería",0,32918,716,17120,600,435,13669,378,7620,1068,1831,22399
201908,"2019","01","Andalucía","04","Almería",0,25378,803,14067,413,378,9478,239,8064,656,1395,15263
201909,"2019","01","Andalucía","04","Almería",0,41485,1687,21193,982,1171,15852,600,14299,1107,1947,24132
201910,"2019","01","Andalucía","04","Almería",0,46187,1771,23150,950,1033,18258,1025,15293,1109,1743,28042
201911,"2019","01","Andalucía","04","Almería",0,31343,1066,16206,516,520,12677,358,10336,765,1468,18774
201912,"2019","01","Andalucía","04","Almería",0,23203,632,11654,557,304,9663,393,7454,684,1020,14045
201901,"2019","07","Castilla y León","05","Ávila",0,3687,151,1657,74,100,1646,59,103,785,259,2540
201902,"2019","07","Castilla y León","05","Ávila",0,3354,109,1520,58,91,1523,53,129,798,255,2172
201903,"2019","07","Castilla y León","05","Ávila",0,4225,103,1895,63,85,2014,65,262,992,218,2753
201904,"2019","07","Castilla y León","05","Ávila",0,4451,77,1942,69,88,2198,77,120,820,199,3312
201905,"2019","07","Castilla y León","05","Ávila",0,5358,97,2512,75,81,2522,71,136,1073,255,3894
201906,"2019","07","Castilla y León","05","Ávila",0,6171,122,2806,88,110,2970,75,265,830,238,4838
201907,"2019","07","Castilla y León","05","Ávila",0,7468,103,3669,84,104,3438,70,385,1321,277,5485
201908,"2019","07","Castilla y León","05","Ávila",0,5063,82,2422,43,90,2373,53,260,1032,165,3606
201909,"2019","07","Castilla y León","05","Ávila",0,5904,175,2544,112,171,2814,88,589,848,264,4203
201910,"2019","07","Castilla y León","05","Ávila",0,7423,173,3309,89,141,3628,83,2157,1161,211,3894
201911,"2019","07","Castilla y León","05","Ávila",0,4251,105,1793,99,105,2076,73,310,1024,165,2752
201912,"2019","07","Castilla y León","05","Ávila",0,4737,64,2072,55,70,2430,46,370,1047,204,3116
201901,"2019","11","Extremadura","06","Badajoz",0,35665,465,22311,295,277,12116,201,15159,1816,2438,16252
201902,"2019","11","Extremadura","06","Badajoz",0,30616,409,19212,307,295,10167,226,12426,1264,2731,14195
201903,"2019","11","Extremadura","06","Badajoz",0,32979,434,19762,366,284,11894,239,12934,1266,3025,15754
201904,"2019","11","Extremadura","06","Badajoz",0,40339,382,23779,387,296,15258,237,19213,1243,2489,17394
201905,"2019","11","Extremadura","06","Badajoz",0,51077,357,28776,372,309,21053,210,23171,1482,3155,23269
201906,"2019","11","Extremadura","06","Badajoz",0,47253,415,26988,311,324,18978,237,21787,1473,2585,21408
201907,"2019","11","Extremadura","06","Badajoz",0,50107,349,29206,348,277,19713,214,20321,2474,2709,24603
201908,"2019","11","Extremadura","06","Badajoz",0,42757,297,26438,297,185,15354,186,18982,2624,2406,18745
201909,"2019","11","Extremadura","06","Badajoz",0,49695,423,30199,680,495,17362,536,23478,2082,2300,21835
201910,"2019","11","Extremadura","06","Badajoz",0,47523,514,28048,584,398,17431,548,22270,1866,2075,21312
201911,"2019","11","Extremadura","06","Badajoz",0,36657,290,22460,395,260,13010,242,16638,1675,2118,16226
201912,"2019","11","Extremadura","06","Badajoz",0,37272,274,22662,275,189,13708,164,15185,1324,1572,19191
201901,"2019","04","Balears, Illes","07","Balears, Illes",0,29682,1923,15322,1009,1436,9203,789,288,1353,6755,21286
201902,"2019","04","Balears, Illes","07","Balears, Illes",0,30789,2221,14984,1141,1807,9918,718,300,1301,6056,23132
201903,"2019","04","Balears, Illes","07","Balears, Illes",0,38102,2739,17594,1145,2543,13287,794,431,1529,5208,30934
201904,"2019","04","Balears, Illes","07","Balears, Illes",0,55745,4309,24522,1113,3833,21107,861,420,1481,4093,49751
201905,"2019","04","Balears, Illes","07","Balears, Illes",0,68672,4891,30366,1274,4188,26948,1005,439,1494,4148,62591
201906,"2019","04","Balears, Illes","07","Balears, Illes",0,57570,2783,26313,1387,2387,23686,1014,352,1349,3712,52157
201907,"2019","04","Balears, Illes","07","Balears, Illes",0,59700,2499,26435,2256,2199,24325,1986,292,1352,3277,54779
201908,"2019","04","Balears, Illes","07","Balears, Illes",0,39040,1446,17257,2064,1180,15367,1726,367,996,2285,35392
201909,"2019","04","Balears, Illes","07","Balears, Illes",0,41258,1807,18563,1767,1772,15844,1505,312,1367,4617,34962
201910,"2019","04","Balears, Illes","07","Balears, Illes",0,43471,1841,19658,1890,1782,16740,1560,240,1497,5186,36548
201911,"2019","04","Balears, Illes","07","Balears, Illes",0,31562,1550,15062,1332,1317,11318,983,270,1310,4788,25194
201912,"2019","04","Balears, Illes","07","Balears, Illes",0,24470,1080,11098,954,849,9708,781,236,917,3025,20292
201901,"2019","09","Cataluña","08","Barcelona",0,216280,11565,94822,5252,9239,90825,4577,929,30362,9698,175291
201902,"2019","09","Cataluña","08","Barcelona",0,190294,10573,82518,4708,9125,79232,4138,660,23230,9015,157389
201903,"2019","09","Cataluña","08","Barcelona",0,196993,11386,86835,5225,9217,80000,4330,711,24419,9101,162762
201904,"2019","09","Cataluña","08","Barcelona",0,198339,10574,87297,4963,8853,82512,4140,715,24880,7670,165074
201905,"2019","09","Cataluña","08","Barcelona",0,223469,10705,100926,5184,8857,92894,4903,1343,25644,8819,187663
201906,"2019","09","Cataluña","08","Barcelona",0,219006,9379,99006,4655,7575,94624,3767,738,23563,8038,186667
201907,"2019","09","Cataluña","08","Barcelona",0,253320,10454,115752,5759,7998,108560,4797,684,30043,9294,213299
201908,"2019","09","Cataluña","08","Barcelona",0,154894,6815,69462,3361,5227,67193,2836,1036,20717,5589,127552
201909,"2019","09","Cataluña","08","Barcelona",0,236035,12604,97784,6231,12909,101318,5189,2141,28885,9482,195527
201910,"2019","09","Cataluña","08","Barcelona",0,245155,12695,103468,6310,12301,104708,5673,801,26527,9442,208385
201911,"2019","09","Cataluña","08","Barcelona",0,203286,9794,88450,5087,8681,86546,4728,806,21747,8244,172489
201912,"2019","09","Cataluña","08","Barcelona",0,179896,7482,78239,4563,6546,79030,4036,722,19738,5313,154123
201901,"2019","07","Castilla y León","09","Burgos",0,10850,313,5028,330,242,4697,240,414,3649,484,6303
201902,"2019","07","Castilla y León","09","Burgos",0,8910,211,4183,244,249,3842,181,466,2721,448,5275
201903,"2019","07","Castilla y León","09","Burgos",0,9921,254,4557,230,226,4466,188,443,2767,458,6253
201904,"2019","07","Castilla y León","09","Burgos",0,10711,226,4851,233,217,4990,194,279,3118,417,6897
201905,"2019","07","Castilla y León","09","Burgos",0,13359,315,6279,313,235,5992,225,1094,3525,504,8236
201906,"2019","07","Castilla y León","09","Burgos",0,14284,269,6845,371,243,6286,270,998,3558,452,9276
201907,"2019","07","Castilla y León","09","Burgos",0,14964,265,6933,369,219,6923,255,686,3346,557,10375
201908,"2019","07","Castilla y León","09","Burgos",0,11208,209,5350,197,159,5103,190,409,2763,343,7693
201909,"2019","07","Castilla y León","09","Burgos",0,14142,334,6507,358,373,6259,311,1700,3343,399,8700
201910,"2019","07","Castilla y León","09","Burgos",0,16799,342,8353,329,456,7052,267,3477,3508,448,9366
201911,"2019","07","Castilla y León","09","Burgos",0,9988,268,4344,268,287,4561,260,307,2632,340,6709
201912,"2019","07","Castilla y León","09","Burgos",0,10517,184,4478,216,187,5244,208,266,2949,183,7119
201901,"2019","11","Extremadura","10","Cáceres",0,12947,291,6791,178,170,5370,147,3513,818,1589,7027
201902,"2019","11","Extremadura","10","Cáceres",0,11218,289,6011,160,213,4460,85,2949,574,1610,6085
201903,"2019","11","Extremadura","10","Cáceres",0,12690,250,6585,190,215,5347,103,3344,557,1670,7119
201904,"2019","11","Extremadura","10","Cáceres",0,13533,216,6656,143,189,6214,115,3402,500,1219,8412
201905,"2019","11","Extremadura","10","Cáceres",0,20844,222,10857,180,184,9258,143,7885,638,1562,10759
201906,"2019","11","Extremadura","10","Cáceres",0,17657,236,9300,160,191,7621,149,5485,662,1174,10336
201907,"2019","11","Extremadura","10","Cáceres",0,19218,238,9778,137,202,8777,86,4796,923,1256,12243
201908,"2019","11","Extremadura","10","Cáceres",0,14692,186,7924,166,165,6164,87,3782,1023,1083,8804
201909,"2019","11","Extremadura","10","Cáceres",0,16719,318,8769,293,336,6781,222,5351,764,1325,9279
201910,"2019","11","Extremadura","10","Cáceres",0,18046,267,9537,326,298,7410,208,4678,1139,1607,10622
201911,"2019","11","Extremadura","10","Cáceres",0,13091,217,6547,166,181,5839,141,3730,706,1310,7345
201912,"2019","11","Extremadura","10","Cáceres",0,12193,150,6023,142,146,5631,101,2718,571,919,7985
201901,"2019","01","Andalucía","11","Cádiz",0,47163,561,27642,636,426,17428,470,5880,3864,5700,31719
201902,"2019","01","Andalucía","11","Cádiz",0,40716,523,23520,594,419,15218,442,4081,3381,4900,28354
201903,"2019","01","Andalucía","11","Cádiz",0,49941,631,28650,593,496,19098,473,4560,4076,5200,36105
201904,"2019","01","Andalucía","11","Cádiz",0,54726,704,30331,666,519,22036,470,4605,3276,4847,41998
201905,"2019","01","Andalucía","11","Cádiz",0,66134,652,36263,762,489,27418,550,5844,3726,4989,51575
201906,"2019","01","Andalucía","11","Cádiz",0,62388,478,34057,739,407,26111,596,4787,3244,4546,49811
201907,"2019","01","Andalucía","11","Cádiz",0,65917,642,36080,707,431,27498,559,3733,3637,4775,53772
201908,"2019","01","Andalucía","11","Cádiz",0,50861,411,29461,545,313,19729,402,6214,3100,4145,37402
201909,"2019","01","Andalucía","11","Cádiz",0,55611,704,29209,1319,820,22511,1048,4831,4087,4879,41814
201910,"2019","01","Andalucía","11","Cádiz",0,58791,643,31711,1059,649,23935,794,5550,3906,4934,44401
201911,"2019","01","Andalucía","11","Cádiz",0,46493,609,25941,693,460,18214,576,5815,3391,4624,32663
201912,"2019","01","Andalucía","11","Cádiz",0,46668,376,25654,567,327,19330,414,5612,2315,3358,35383
201901,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,18102,913,9660,688,469,5983,389,4365,2701,937,10099
201902,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,14336,803,6980,691,503,4982,377,2218,2155,920,9043
201903,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,15757,728,7575,653,492,5919,390,1690,2486,895,10686
201904,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,18075,687,8726,647,541,7140,334,1675,2345,942,13113
201905,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,19272,642,9275,636,543,7790,386,1489,2776,972,14035
201906,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,20805,736,9590,685,564,8837,393,804,2653,938,16410
201907,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,24261,824,11383,629,631,10286,508,617,3071,1034,19539
201908,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,16244,705,8089,446,474,6237,293,402,2384,706,12752
201909,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,19693,1047,9051,810,774,7413,598,1290,3044,1101,14258
201910,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,23610,1944,10216,802,1108,8946,594,3564,2481,1156,16409
201911,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,20179,1706,9323,586,844,7298,422,4973,2110,1057,12039
201912,"2019","10","Comunitat Valenciana","12","Castellón/Castelló",0,16221,611,8447,504,423,5906,330,3440,1772,811,10198
201901,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,18941,432,12140,318,210,5642,199,7174,1808,1615,8344
201902,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,13351,303,8173,272,173,4252,178,4036,1461,1379,6475
201903,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,13832,341,7681,390,197,5004,219,2731,1577,1449,8075
201904,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,12934,276,6709,264,214,5312,159,1900,1461,1246,8327
201905,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,18127,336,9797,324,184,7304,182,3442,2007,1498,11180
201906,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,18320,309,9583,324,159,7703,242,3619,1519,1255,11927
201907,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,21211,345,11607,291,202,8579,187,4396,1982,1247,13586
201908,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,17679,303,10112,205,157,6802,100,4052,1724,1248,10655
201909,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,37064,371,23366,612,285,11954,476,20683,2573,1591,12217
201910,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,22765,377,12892,414,257,8533,292,6955,1824,1425,12561
201911,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,15685,245,9338,366,176,5334,226,4623,1830,1128,8104
201912,"2019","08","Castilla - La Mancha","13","Ciudad Real",0,17560,208,10780,237,174,5963,198,7023,1355,687,8495
201901,"2019","01","Andalucía","14","Córdoba",0,63923,465,40315,420,302,22113,308,42408,2432,3734,15349
201902,"2019","01","Andalucía","14","Córdoba",0,47936,337,30245,393,292,16431,238,28715,2193,3390,13638
