"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
202501,"2025","16","País Vasco","01","Araba/Álava",0,11536,1489,4436,105,1105,4133,119,188,2140,348,8803
202502,"2025","16","País Vasco","01","Araba/Álava",0,10658,1144,4407,89,944,3809,61,193,1814,252,8344
202503,"2025","16","País Vasco","01","Araba/Álava",0,10185,1299,3815,113,1112,3599,83,121,2067,247,7665
202504,"2025","16","País Vasco","01","Araba/Álava",0,9119,1216,3578,94,913,3079,87,150,1890,200,6809
202505,"2025","16","País Vasco","01","Araba/Álava",0,12383,1622,5116,86,1059,4252,91,1313,2240,265,8511
202506,"2025","16","País Vasco","01","Araba/Álava",0,15872,1613,7140,105,1247,5548,63,947,2725,252,11885
202507,"2025","16","País Vasco","01","Araba/Álava",0,19134,1507,8754,138,1449,7036,80,338,2691,278,15757
202508,"2025","16","País Vasco","01","Araba/Álava",0,9610,777,4241,61,645,3624,53,88,1661,165,7621
202509,"2025","16","País Vasco","01","Araba/Álava",0,17375,2440,7490,160,1968,5070,99,2899,2697,261,11461
202510,"2025","16","País Vasco","01","Araba/Álava",0,15605,1856,6648,104,1603,5127,119,989,2721,254,11572
202511,"2025","16","País Vasco","01","Araba/Álava",0,12091,1468,4748,131,1376,4128,83,76,2097,234,9611
202501,"2025","08","Castilla - La Mancha","02","Albacete",0,7696,2141,1825,149,1031,2171,101,1736,1057,455,4291
202502,"2025","08","Castilla - La Mancha","02","Albacete",0,7294,2122,1661,142,1252,1706,91,1766,851,431,4089
202503,"2025","08","Castilla - La Mancha","02","Albacete",0,6974,1837,1557,113,1077,2050,84,1200,918,379,4332
202504,"2025","08","Castilla - La Mancha","02","Albacete",0,8147,2350,1833,145,1336,2126,86,1858,967,365,4808
202505,"2025","08","Castilla - La Mancha","02","Albacete",0,12696,4242,2749,137,2314,2886,92,4685,1084,442,6336
202506,"2025","08","Castilla - La Mancha","02","Albacete",0,16711,6472,3553,93,2830,3405,102,8243,1176,404,6740
202507,"2025","08","Castilla - La Mancha","02","Albacete",0,14160,4355,3209,148,2391,3647,128,4877,1251,491,7369
202508,"2025","08","Castilla - La Mancha","02","Albacete",0,9174,2593,2350,89,1174,2656,71,2603,914,305,5218
202509,"2025","08","Castilla - La Mancha","02","Albacete",0,15781,5771,3661,173,2349,3438,99,5775,1447,398,8002
202510,"2025","08","Castilla - La Mancha","02","Albacete",0,11392,3425,2584,155,1845,2997,107,2909,1013,464,6842
202511,"2025","08","Castilla - La Mancha","02","Albacete",0,8290,2485,1991,162,1128,2120,112,2186,927,426,4564
202501,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,32673,9566,7561,563,5945,8206,511,2338,4647,2904,22583
202502,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,32334,10153,6715,410,6699,7629,402,2468,4192,3063,22455
