"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
202201,"2022","16","País Vasco","01","Araba/Álava",0,14577,334,7508,311,314,5760,209,264,3282,406,10570
202202,"2022","16","País Vasco","01","Araba/Álava",0,13484,486,6531,246,480,5396,168,277,2383,347,10410
202203,"2022","16","País Vasco","01","Araba/Álava",0,12894,686,5387,471,665,5082,390,127,2417,338,9941
202204,"2022","16","País Vasco","01","Araba/Álava",0,9816,950,3920,387,831,3218,316,141,1920,223,7448
202205,"2022","16","País Vasco","01","Araba/Álava",0,15236,1786,6791,433,1078,4669,305,1892,3129,408,9751
202206,"2022","16","País Vasco","01","Araba/Álava",0,15149,1600,6502,464,1280,4767,345,1309,2622,421,10719
202207,"2022","16","País Vasco","01","Araba/Álava",0,13673,1252,5653,449,946,4807,369,234,2591,356,10416
202208,"2022","16","País Vasco","01","Araba/Álava",0,11251,852,4691,317,814,4203,185,56,2109,269,8715
202209,"2022","16","País Vasco","01","Araba/Álava",0,18572,2303,8611,321,1806,5094,258,3911,2874,332,11374
202210,"2022","16","País Vasco","01","Araba/Álava",0,15317,2003,6090,272,1988,4633,208,1454,2486,301,11017
202211,"2022","16","País Vasco","01","Araba/Álava",0,13330,1424,5420,245,1152,4711,173,145,2347,270,10482
202212,"2022","16","País Vasco","01","Araba/Álava",0,10120,936,4017,186,802,3871,139,106,1853,188,7917
202201,"2022","08","Castilla - La Mancha","02","Albacete",0,12618,643,6052,357,357,4625,282,3509,1670,527,6751
202202,"2022","08","Castilla - La Mancha","02","Albacete",0,10966,754,4801,489,583,3621,430,2628,1175,546,6427
202203,"2022","08","Castilla - La Mancha","02","Albacete",0,12891,1399,4334,1096,1145,3931,651,2241,1331,652,8485
202204,"2022","08","Castilla - La Mancha","02","Albacete",0,10288,2562,2087,927,1610,2227,558,2143,1205,619,6158
202205,"2022","08","Castilla - La Mancha","02","Albacete",0,14067,4646,3197,526,2347,2746,339,5128,1215,561,6970
202206,"2022","08","Castilla - La Mancha","02","Albacete",0,22255,7843,5390,598,3711,4072,333,11534,1599,619,8354
202207,"2022","08","Castilla - La Mancha","02","Albacete",0,18495,6511,4310,570,3016,3396,315,8782,1456,618,7478
202208,"2022","08","Castilla - La Mancha","02","Albacete",0,13972,4918,3458,316,1897,2857,208,5800,1126,480,6402
