"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios","Total Contratos_min","Cod min_mes","Total Contratos_max","Cod max_mes"
"2017","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",61.75,0.58,37.42,1.33,0.92,20.67,0.83,3.25,4.67,1.58,52.25,36,"12",130,"09"
"2017","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",778.33,9.33,594.25,5.58,6.67,158.42,4.08,6.67,577.92,28.75,165,529,"08",970,"10"
"2017","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",16,0.25,5.58,0.5,0.83,8.83,0,1.08,1.83,0.17,12.92,8,"08",29,"07"
"2017","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",31.75,0.75,17.83,0.17,0.5,12.08,0.42,0.08,7.83,1.75,22.08,12,"12",52,"05"
"2017","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",14.58,1.67,5.58,0.33,1.33,5.42,0.25,0,12,0.58,2,4,"01",31,"07"
"2017","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",38.83,0.25,13.42,0.5,0.5,24,0.17,3,0.67,0.92,34.25,11,"12",67,"03"
"2017","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",167.83,2.17,106.17,0.67,1.33,57.25,0.25,6.5,52.58,0.17,108.58,122,"11",250,"01"
"2017","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",75.17,1,34.67,1.08,2,36,0.42,4.25,12.92,1.67,56.33,38,"02",134,"10"
"2017","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",68.58,0,59.33,0.08,0.17,9,0,64.92,0.58,0.08,3,4,"08",468,"09"
"2017","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",31.67,0.25,11.5,0.08,0.33,19.42,0.08,4.83,4.17,0.08,22.58,18,"04",69,"09"
"2017","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",63.5,1.08,30.17,2.5,0.25,29.42,0.08,3,36.33,2.33,21.83,31,"11",89,"06"
