"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
201401,"2014","16","País Vasco","01","Araba/Álava",0,10433,208,5634,119,181,4185,106,215,2030,472,7716
201402,"2014","16","País Vasco","01","Araba/Álava",0,8298,165,4234,107,179,3518,95,227,2120,340,5611
201403,"2014","16","País Vasco","01","Araba/Álava",0,9060,172,4739,107,185,3743,114,211,2386,391,6072
201404,"2014","16","País Vasco","01","Araba/Álava",0,9403,193,4727,115,199,4077,92,285,2317,359,6442
201405,"2014","16","País Vasco","01","Araba/Álava",0,13334,182,7745,125,208,4956,118,2584,2739,455,7556
201406,"2014","16","País Vasco","01","Araba/Álava",0,12540,215,6502,149,200,5339,135,1038,2561,378,8563
201407,"2014","16","País Vasco","01","Araba/Álava",0,12516,236,6399,149,201,5429,102,435,2877,429,8775
201408,"2014","16","País Vasco","01","Araba/Álava",0,8744,90,4632,75,109,3751,87,241,1869,365,6269
201409,"2014","16","País Vasco","01","Araba/Álava",0,14997,273,8213,125,337,5926,123,2336,2884,461,9316
201410,"2014","16","País Vasco","01","Araba/Álava",0,19535,287,12070,126,309,6608,135,5916,3028,446,10145
201411,"2014","16","País Vasco","01","Araba/Álava",0,11515,214,5934,127,246,4866,128,444,2579,327,8165
201412,"2014","16","País Vasco","01","Araba/Álava",0,11059,185,5546,122,177,4926,103,304,2471,387,7897
201401,"2014","08","Castilla - La Mancha","02","Albacete",0,8858,168,4903,133,107,3437,110,2077,826,513,5442
201402,"2014","08","Castilla - La Mancha","02","Albacete",0,7822,177,4818,95,144,2495,93,2194,904,639,4085
201403,"2014","08","Castilla - La Mancha","02","Albacete",0,8221,213,4591,132,157,3038,90,1459,1106,667,4989
