"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios","Total Contratos_min","Cod min_mes","Total Contratos_max","Cod max_mes"
"2018","09197",7,"Castilla y León",9,"Burgos","Madrigalejo del Monte",11.42,1.17,5.58,2.08,0.67,1.67,0.25,0.33,7,0,4.08,2,"03",24,"06"
"2018","09198",7,"Castilla y León",9,"Burgos","Mahamud",22.17,0.17,9.92,0.08,0.25,11.75,0,6.42,0.33,0,15.42,0,"02",70,"10"
"2018","09199",7,"Castilla y León",9,"Burgos","Mambrilla de Castrejón",2.33,0,1.42,0,0,0.83,0.08,1.08,0.75,0,0.5,0,"12",10,"10"
"2018","09200",7,"Castilla y León",9,"Burgos","Mambrillas de Lara",2.25,0.25,0.58,0.33,0.17,0.92,0,0,0.25,0.33,1.67,1,"01",7,"05"
"2018","09201",7,"Castilla y León",9,"Burgos","Mamolar",0.42,0,0.17,0,0,0.25,0,0,0.08,0,0.33,0,"01",2,"03"
"2018","09202",7,"Castilla y León",9,"Burgos","Manciles",0,0,0,0,0,0,0,0,0,0,0,0,"01",0,"01"
"2018","09206",7,"Castilla y León",9,"Burgos","Mazuela",0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,"01",1,"06"
"2018","09208",7,"Castilla y León",9,"Burgos","Mecerreyes",1.5,0,0.92,0.08,0,0.33,0.17,1.25,0,0,0.25,0,"02",3,"04"
"2018","09209",7,"Castilla y León",9,"Burgos","Medina de Pomar",116.33,3.17,47.17,2.58,4.58,55.75,3.08,8.25,3.42,8.42,96.25,59,"02",194,"07"
"2018","09211",7,"Castilla y León",9,"Burgos","Melgar de Fernamental",22.75,0.83,8.17,0.17,0.42,12.75,0.42,1.75,2.08,1.42,17.5,9,"02",42,"07"
"2018","09213",7,"Castilla y León",9,"Burgos","Merindad de Cuesta-Urria",1.58,0.08,1.08,0,0,0.42,0,0.58,0.25,0,0.75,0,"01",5,"07"
"2018","09214",7,"Castilla y León",9,"Burgos","Merindad de Montija",13.17,0.25,6.33,0.42,0.17,5.67,0.33,0.08,0.08,0.83,12.17,6,"01",25,"07"
