"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios","Total Contratos_min","Cod min_mes","Total Contratos_max","Cod max_mes"
"2021","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",55.42,1.5,28.17,1.42,2.5,21.08,0.75,1.58,4.83,1.42,47.58,28,"02",86,"06"
"2021","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",454.75,5.58,320.25,8.08,8.25,107.42,5.17,4.75,297.42,25.67,126.92,372,"01",545,"10"
"2021","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",13.67,0.33,5.67,0.17,0.25,6.92,0.33,0.42,3.25,0.17,9.83,5,"06",27,"07"
"2021","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",37.92,0.58,21.75,1.08,0.67,13,0.83,0.08,19.42,1.08,17.33,21,"02",63,"07"
"2021","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",5.42,0,4.58,0.25,0.17,0.25,0.17,0,5.17,0,0.25,0,"12",21,"05"
"2021","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",32.33,1,13.92,1.25,0.5,15.33,0.33,3.17,0,0.5,28.67,11,"01",55,"07"
"2021","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",154.5,1.5,104.67,1.58,1.08,44.25,1.42,4.17,41,0,109.33,107,"02",211,"04"
"2021","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",76,2.33,33.25,1.83,1.33,36.58,0.67,2.42,18.58,1.67,53.33,43,"01",118,"06"
"2021","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",73.75,0.33,66.33,0.17,0.25,6.67,0,70.75,1.25,0.5,1.25,6,"01",257,"09"
"2021","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",13.17,0.42,5.5,0.67,1.08,5.08,0.42,2.25,0.5,0.17,10.25,3,"01",27,"09"
