"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
201601,"2016","16","País Vasco","01","Araba/Álava",0,11297,304,5836,157,216,4670,114,280,3036,415,7566
201602,"2016","16","País Vasco","01","Araba/Álava",0,11051,266,5468,162,233,4776,146,195,2474,385,7997
201603,"2016","16","País Vasco","01","Araba/Álava",0,11981,281,5989,196,269,5042,204,153,2860,432,8536
201604,"2016","16","País Vasco","01","Araba/Álava",0,12019,205,5877,147,255,5372,163,152,2791,341,8735
201605,"2016","16","País Vasco","01","Araba/Álava",0,16093,290,9001,177,295,6207,123,2365,3677,404,9647
201606,"2016","16","País Vasco","01","Araba/Álava",0,16633,245,8995,223,229,6770,171,1405,3666,466,11096
201607,"2016","16","País Vasco","01","Araba/Álava",0,14145,222,7466,187,212,5944,114,390,3231,458,10066
201608,"2016","16","País Vasco","01","Araba/Álava",0,10874,169,5708,130,155,4618,94,218,2286,404,7966
201609,"2016","16","País Vasco","01","Araba/Álava",0,18363,301,9496,256,374,7721,215,1763,3542,404,12654
201610,"2016","16","País Vasco","01","Araba/Álava",0,20849,331,12931,238,344,6817,188,6447,3273,395,10734
201611,"2016","16","País Vasco","01","Araba/Álava",0,14886,278,7636,193,262,6337,180,463,3318,390,10715
201612,"2016","16","País Vasco","01","Araba/Álava",0,13590,186,6532,528,190,5957,197,226,3257,329,9778
201601,"2016","08","Castilla - La Mancha","02","Albacete",0,10031,258,5711,165,137,3621,139,2107,1385,681,5858
201602,"2016","08","Castilla - La Mancha","02","Albacete",0,10234,268,5857,303,188,3420,198,2439,1263,686,5846
201603,"2016","08","Castilla - La Mancha","02","Albacete",0,11701,296,6291,263,216,4468,167,2686,1367,749,6899
201604,"2016","08","Castilla - La Mancha","02","Albacete",0,13104,348,6899,192,242,5287,136,2388,1190,785,8741
201605,"2016","08","Castilla - La Mancha","02","Albacete",0,16192,205,9591,167,193,5925,111,4487,1233,580,9892
201606,"2016","08","Castilla - La Mancha","02","Albacete",0,26542,272,16939,163,155,8894,119,12831,1604,749,11358
201607,"2016","08","Castilla - La Mancha","02","Albacete",0,21473,235,13225,237,166,7420,190,9763,1537,722,9451
201608,"2016","08","Castilla - La Mancha","02","Albacete",0,16751,223,10538,143,146,5616,85,6339,1209,672,8531
201609,"2016","08","Castilla - La Mancha","02","Albacete",0,26277,291,16719,168,335,8609,155,11805,2044,723,11705
201610,"2016","08","Castilla - La Mancha","02","Albacete",0,18939,420,11514,198,249,6436,122,7666,1312,768,9193
201611,"2016","08","Castilla - La Mancha","02","Albacete",0,15155,301,8994,200,220,5299,141,4862,1397,758,8138
201612,"2016","08","Castilla - La Mancha","02","Albacete",0,13532,157,8137,186,142,4787,123,4651,1014,545,7322
201601,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,40478,1570,20640,933,1235,15241,859,2604,7373,3560,26941
201602,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,41814,1733,21302,979,1433,15576,791,2547,7016,3840,28411
201603,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,49091,1888,24701,1225,1458,18833,986,2986,7076,3623,35406
201604,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,48618,1686,24309,1103,1392,19272,856,3876,7206,3723,33813
201605,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,54399,1681,27734,1247,1484,21324,929,3963,6978,3733,39725
201606,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,63130,1693,32743,1164,1428,25242,860,4675,7309,3555,47591
201607,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,59333,1307,29473,1179,1166,25382,826,2974,6178,3252,46929
201608,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,42428,1081,21600,770,971,17426,580,2690,4751,2822,32165
201609,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,57840,1758,29349,1131,1659,23014,929,4738,9165,4350,39587
201610,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,54903,1524,27773,1191,1421,21977,1017,5074,6802,3485,39542
201611,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,50364,1364,25295,1182,1265,20362,896,4482,7594,3706,34582
201612,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,41960,976,21131,1018,843,17250,742,2918,5238,2725,31079
