"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
202309,"2023","01","Andalucía","04","Almería",0,22899,9163,4443,400,4079,4176,334,8372,709,1261,12381
202310,"2023","01","Andalucía","04","Almería",0,26626,10292,5142,369,4780,5439,236,9552,737,1186,14890
202311,"2023","01","Andalucía","04","Almería",0,23561,8058,4670,391,4539,5360,217,7454,617,1125,14176
202312,"2023","01","Andalucía","04","Almería",0,18103,5288,4033,354,2771,5111,203,5288,342,620,11662
202301,"2023","07","Castilla y León","05","Ávila",0,2026,296,503,27,214,723,40,29,540,83,1239
202302,"2023","07","Castilla y León","05","Ávila",0,2182,364,522,24,326,694,27,66,510,128,1368
202303,"2023","07","Castilla y León","05","Ávila",0,3162,509,892,40,430,1047,45,123,733,138,2078
202304,"2023","07","Castilla y León","05","Ávila",0,2736,480,686,10,438,898,17,86,456,104,1954
202305,"2023","07","Castilla y León","05","Ávila",0,2968,465,856,29,364,1004,20,91,511,92,2176
202306,"2023","07","Castilla y León","05","Ávila",0,3754,634,976,30,468,1334,23,188,558,106,2777
202307,"2023","07","Castilla y León","05","Ávila",0,4125,673,1166,10,562,1388,13,243,578,108,3061
202308,"2023","07","Castilla y León","05","Ávila",0,2838,419,802,7,284,1054,11,167,440,89,2045
202309,"2023","07","Castilla y León","05","Ávila",0,3221,450,914,28,381,1137,45,187,652,102,2142
202310,"2023","07","Castilla y León","05","Ávila",0,4447,1019,929,26,1020,1137,54,1366,638,87,2203
202311,"2023","07","Castilla y León","05","Ávila",0,2557,382,644,16,372,917,34,115,658,54,1598
202312,"2023","07","Castilla y León","05","Ávila",0,2784,284,857,23,218,1160,30,39,716,72,1882
202301,"2023","11","Extremadura","06","Badajoz",0,19159,3310,7265,302,1620,5904,267,5540,957,1807,10553
202302,"2023","11","Extremadura","06","Badajoz",0,16780,2761,6610,219,1447,5059,191,4888,717,1680,9190
202303,"2023","11","Extremadura","06","Badajoz",0,21335,3593,7918,482,2044,6420,302,5058,1087,2233,12669
202304,"2023","11","Extremadura","06","Badajoz",0,20631,3354,7701,268,2341,6293,175,6810,913,1814,10783
202305,"2023","11","Extremadura","06","Badajoz",0,26832,4077,10073,302,2924,8778,210,9902,827,1920,13876
202306,"2023","11","Extremadura","06","Badajoz",0,28109,3873,10785,217,3154,9518,150,10912,1174,1611,14157
202307,"2023","11","Extremadura","06","Badajoz",0,26781,3418,10457,371,2373,9575,172,8598,1633,1416,14791
202308,"2023","11","Extremadura","06","Badajoz",0,25448,3948,10054,301,2468,7997,213,9353,2047,1374,12321
202309,"2023","11","Extremadura","06","Badajoz",0,26617,4200,10763,221,2666,8175,151,10726,1159,1362,13068
202310,"2023","11","Extremadura","06","Badajoz",0,24316,4285,9033,176,2845,7318,152,8222,1114,1626,13029
202311,"2023","11","Extremadura","06","Badajoz",0,23887,4295,9437,219,2303,6960,181,9750,949,1584,11282
202312,"2023","11","Extremadura","06","Badajoz",0,20625,2610,8819,228,1687,6718,125,8069,731,1015,10511
202301,"2023","04","Balears, Illes","07","Balears, Illes",0,21348,8911,2977,367,4723,3800,329,142,890,4738,15435
202302,"2023","04","Balears, Illes","07","Balears, Illes",0,22567,9503,3051,351,5376,3803,259,131,1068,4403,16841
202303,"2023","04","Balears, Illes","07","Balears, Illes",0,33113,14126,3787,392,9990,4327,294,174,1433,4553,26814
202304,"2023","04","Balears, Illes","07","Balears, Illes",0,41437,16949,4317,265,14562,4831,275,239,1135,3109,36798
202305,"2023","04","Balears, Illes","07","Balears, Illes",0,54043,22326,5810,323,18699,6404,283,253,1084,3340,49211
202306,"2023","04","Balears, Illes","07","Balears, Illes",0,49221,19446,5945,231,16490,6612,297,246,1061,2937,44847
202307,"2023","04","Balears, Illes","07","Balears, Illes",0,43700,15947,6543,326,13627,6774,281,108,920,2393,40132
