"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
201001,"2010","16","País Vasco","01","Araba/Álava",0,20593,1203,5827,3165,824,5502,4072,277,3883,2542,13067,824
201002,"2010","16","País Vasco","01","Araba/Álava",0,20554,1194,5760,3171,861,5499,4069,284,3788,2523,13102,857
201003,"2010","16","País Vasco","01","Araba/Álava",0,20444,1179,5747,3228,853,5432,4005,317,3706,2569,12940,912
201004,"2010","16","País Vasco","01","Araba/Álava",0,20225,1115,5682,3238,817,5331,4042,330,3690,2489,12759,957
201005,"2010","16","País Vasco","01","Araba/Álava",0,19878,1027,5481,3180,811,5316,4063,335,3535,2402,12572,1034
201006,"2010","16","País Vasco","01","Araba/Álava",0,19259,967,5250,3120,750,5159,4013,348,3377,2336,12142,1056
201007,"2010","16","País Vasco","01","Araba/Álava",0,18861,928,5077,3062,736,5170,3888,361,3177,2301,11970,1052
201008,"2010","16","País Vasco","01","Araba/Álava",0,19818,938,5448,3256,750,5424,4002,369,3455,2480,12491,1023
201009,"2010","16","País Vasco","01","Araba/Álava",0,20254,1031,5318,3254,861,5607,4183,353,3445,2376,12929,1151
201010,"2010","16","País Vasco","01","Araba/Álava",0,20415,1011,5405,3261,855,5629,4254,381,3365,2385,13126,1158
201011,"2010","16","País Vasco","01","Araba/Álava",0,20387,988,5520,3275,876,5537,4191,423,3376,2411,12968,1209
201012,"2010","16","País Vasco","01","Araba/Álava",0,20383,933,5770,3398,797,5381,4104,405,3440,2595,12730,1213
201001,"2010","08","Castilla - La Mancha","02","Albacete",0,40267,3190,9061,5845,2594,11572,8005,1952,6048,7480,21398,3389
201002,"2010","08","Castilla - La Mancha","02","Albacete",0,41599,3363,9357,6020,2737,11922,8200,2082,6121,7545,22250,3601
201003,"2010","08","Castilla - La Mancha","02","Albacete",0,42576,3481,9593,6075,2833,12223,8371,2311,6221,7578,22692,3774
201004,"2010","08","Castilla - La Mancha","02","Albacete",0,42171,3311,9568,6029,2767,12098,8398,2411,6108,7347,22558,3747
201005,"2010","08","Castilla - La Mancha","02","Albacete",0,41520,3231,9279,5972,2721,11928,8389,2324,5893,7174,22410,3719
201006,"2010","08","Castilla - La Mancha","02","Albacete",0,40364,3095,8916,5826,2656,11590,8281,2290,5661,6860,21761,3792
201007,"2010","08","Castilla - La Mancha","02","Albacete",0,40050,3142,8912,5840,2645,11402,8109,2315,5612,6848,21517,3758
201008,"2010","08","Castilla - La Mancha","02","Albacete",0,41088,3199,9343,6045,2721,11589,8191,2327,5776,7145,22040,3800
201009,"2010","08","Castilla - La Mancha","02","Albacete",0,40118,3022,8695,5790,2738,11586,8287,1804,5499,6781,22254,3780
201010,"2010","08","Castilla - La Mancha","02","Albacete",0,41606,3203,9066,6086,2879,11884,8488,2855,5516,6672,22795,3768
201011,"2010","08","Castilla - La Mancha","02","Albacete",0,42073,3317,9173,6184,2878,11921,8600,3075,5551,6767,22844,3836
201012,"2010","08","Castilla - La Mancha","02","Albacete",0,42349,3316,9599,6379,2767,11821,8467,2953,5755,7121,22753,3767
201001,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,199805,12681,55657,35138,9079,50535,36715,4226,38844,41479,101483,13773
201002,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,203863,13250,56463,35453,9664,51641,37392,4539,39037,41736,103685,14866
201003,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,206325,13382,56776,35917,9965,52121,38164,4738,39916,42027,103856,15788
201004,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,207127,13367,56625,36261,9946,52207,38721,4768,40306,41990,103861,16202
201005,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,203959,12906,55234,36042,9643,51313,38821,4826,39428,41450,101910,16345
201006,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,197637,11732,52710,35361,8792,50335,38707,4790,37819,40095,98862,16071
201007,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,193723,11128,51533,35298,8369,48960,38435,4866,37230,39459,96181,15987
201008,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,196625,11000,52867,36201,8338,49373,38846,4891,38826,40076,96962,15870
201009,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,199275,12051,52660,36155,9251,50016,39142,4738,38265,38993,100646,16633
201010,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,201451,12036,52903,36593,9437,50700,39782,4691,38330,38212,103468,16750
201011,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,204031,12107,53147,36966,9522,51714,40575,4838,37865,37898,106332,17098
201012,"2010","10","Comunitat Valenciana","03","Alicante/Alacant",0,204171,11520,53621,37646,8927,51530,40927,4789,38001,38201,106514,16666
201001,"2010","01","Andalucía","04","Almería",0,64705,4161,21621,11126,2734,17088,7975,4479,4588,17953,32312,5373
201002,"2010","01","Andalucía","04","Almería",0,66307,4276,22051,11292,2809,17736,8143,4849,4633,18074,33101,5650
201003,"2010","01","Andalucía","04","Almería",0,68733,4463,22598,11558,3072,18512,8530,5431,4816,18318,33955,6213
201004,"2010","01","Andalucía","04","Almería",0,70153,4600,22636,11601,3307,19191,8818,5767,4872,18346,34587,6581
201005,"2010","01","Andalucía","04","Almería",0,69942,4456,22349,11668,3378,19108,8983,6063,4799,18007,34239,6834
201006,"2010","01","Andalucía","04","Almería",0,71965,4362,22537,11876,3657,19944,9589,6459,4817,17806,35698,7185
201007,"2010","01","Andalucía","04","Almería",0,73665,4374,23222,12146,3741,20383,9799,6517,4892,17786,37014,7456
201008,"2010","01","Andalucía","04","Almería",0,74785,4341,23771,12579,3680,20575,9839,6274,5042,18135,37850,7484
201009,"2010","01","Andalucía","04","Almería",0,74999,4551,23301,12555,3858,20777,9957,5930,5069,18025,37901,8074
201010,"2010","01","Andalucía","04","Almería",0,73181,4442,22554,12375,3678,20290,9842,5763,4849,17630,36592,8347
201011,"2010","01","Andalucía","04","Almería",0,71966,4365,21959,12374,3567,19945,9756,5600,4791,17435,35497,8643
201012,"2010","01","Andalucía","04","Almería",0,69493,4029,21617,12615,3155,18656,9421,5341,4732,17503,33578,8339
201001,"2010","07","Castilla y León","05","Ávila",0,14081,1129,3619,2624,787,3633,2289,699,1324,3970,6678,1410
201002,"2010","07","Castilla y León","05","Ávila",0,14539,1175,3693,2722,838,3722,2389,730,1360,4091,6783,1575
201003,"2010","07","Castilla y León","05","Ávila",0,14797,1197,3744,2734,894,3795,2433,736,1352,4104,6882,1723
201004,"2010","07","Castilla y León","05","Ávila",0,14901,1190,3735,2730,895,3873,2478,720,1375,4041,6947,1818
201005,"2010","07","Castilla y León","05","Ávila",0,15039,1224,3673,2830,896,3902,2514,744,1360,4042,6969,1924
