"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior","total Paro Registrado_min","Cod min_mes","total Paro Registrado_max","Cod max_mes"
"2017","01001",16,"País Vasco",1,"Araba/Álava","Alegría-Dulantzi",179.25,2.17,35,37,9.42,58,37.67,4.83,24.5,10.67,113,26.25,160,"12",190,"07"
"2017","01002",16,"País Vasco",1,"Araba/Álava","Amurrio",749.67,17.5,149.25,150.08,20.58,215.67,196.58,26.67,110.08,74.67,434.33,103.92,713,"06",766,"01"
"2017","01003",16,"País Vasco",1,"Araba/Álava","Aramaio",18.08,0,4.42,7.5,0,3.08,3.08,0.08,7.58,2.75,7.42,0.25,14,"12",20,"04"
"2017","01004",16,"País Vasco",1,"Araba/Álava","Artziniega",100.08,1.08,17.17,15.92,2.83,25.58,37.5,3.33,14.92,4.17,63.08,14.58,86,"12",113,"01"
"2017","01006",16,"País Vasco",1,"Araba/Álava","Armiñón",9.58,0,1.92,2.58,0,2.42,2.67,0.5,1.17,0.67,7.25,0,6,"10",13,"01"
"2017","01008",16,"País Vasco",1,"Araba/Álava","Arratzua-Ubarrundia",32.75,2.17,3.92,7.42,1.25,7,11,1.08,6.83,0,22.25,2.58,27,"03",40,"08"
"2017","01009",16,"País Vasco",1,"Araba/Álava","Asparrena",85.83,1.42,16,23.75,4.25,18.42,22,5.5,22.33,1.92,45.42,10.67,81,"10",90,"03"
"2017","01010",16,"País Vasco",1,"Araba/Álava","Ayala/Aiara",117.83,1.75,18.75,23.5,1.08,33.5,39.25,1.33,18.5,5.17,85.42,7.42,106,"02",130,"11"
"2017","01011",16,"País Vasco",1,"Araba/Álava","Baños de Ebro/Mañueta",6.25,0,0.33,1,1.5,1.42,2,2.92,0.08,0,3.25,0,5,"01",8,"10"
"2017","01013",16,"País Vasco",1,"Araba/Álava","Barrundia",24.67,0.17,5.58,8.83,1,2,7.08,1.5,3.08,2.58,16.25,1.25,21,"10",30,"04"
"2017","01014",16,"País Vasco",1,"Araba/Álava","Berantevilla",21.58,1.25,3.92,4.75,0,9,2.67,3,3.08,0.92,10.08,4.5,17,"09",27,"03"
"2017","01016",16,"País Vasco",1,"Araba/Álava","Bernedo",20.67,0.5,4.67,7.17,0.92,6.67,0.75,1.08,2.17,1.33,11.42,4.67,17,"12",24,"10"
"2017","01017",16,"País Vasco",1,"Araba/Álava","Campezo/Kanpezu",55.25,1.17,12.67,13.25,4,12.33,11.83,3.83,13.83,2.5,29.5,5.58,51,"06",65,"01"
"2017","01018",16,"País Vasco",1,"Araba/Álava","Zigoitia",42.08,1.08,5.33,10,2,11,12.67,0,7.33,3.92,27.17,3.67,30,"12",51,"03"
"2017","01019",16,"País Vasco",1,"Araba/Álava","Kripan",2.33,0,0,1.17,0,0.17,1,0.08,0.83,0,1.42,0,1,"03",5,"12"
"2017","01020",16,"País Vasco",1,"Araba/Álava","Kuartango",12.58,0.42,1.5,3.42,0,3.67,3.58,0.25,1.5,0.17,8.5,2.17,6,"08",18,"04"
"2017","01021",16,"País Vasco",1,"Araba/Álava","Elburgo/Burgelu",17.25,0.42,3.67,3.42,0.08,5.42,4.25,0.08,3.33,0.58,13.17,0.08,15,"04",20,"01"
"2017","01022",16,"País Vasco",1,"Araba/Álava","Elciego",57,4.08,13.58,10.17,5.83,16.17,7.17,24.42,4.42,1.92,20,6.25,47,"05",64,"01"
"2017","01023",16,"País Vasco",1,"Araba/Álava","Elvillar/Bilar",13.58,0.08,3.33,0.67,1.17,3.42,4.92,4.33,1.33,0.58,5,2.33,8,"09",16,"03"
"2017","01027",16,"País Vasco",1,"Araba/Álava","Iruraiz-Gauna",12.83,0.17,2.67,4.08,0.17,3,2.75,0.08,2.08,2.08,8.42,0.17,11,"11",16,"02"
"2017","01028",16,"País Vasco",1,"Araba/Álava","Labastida/Bastida",105.5,4.17,14,24.58,8.25,36.5,18,31.67,9.92,5.83,42.75,15.33,82,"09",122,"02"
"2017","01030",16,"País Vasco",1,"Araba/Álava","Lagrán",5.42,0,1.58,1.75,1,1,0.08,0.17,1.08,1.58,2.58,0,3,"01",8,"09"
"2017","01031",16,"País Vasco",1,"Araba/Álava","Laguardia",60.25,3.08,13.33,13.75,0.92,15.58,13.58,8.67,4.58,2.92,35.58,8.5,46,"09",68,"10"
