"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
201201,"2012","16","País Vasco","01","Araba/Álava",0,24217,1079,6564,3867,961,6839,4907,534,3944,2819,14918,2002
201202,"2012","16","País Vasco","01","Araba/Álava",0,24829,1162,6744,3988,1003,6990,4942,569,4020,2961,15159,2120
201203,"2012","16","País Vasco","01","Araba/Álava",0,25267,1205,6895,4025,1046,7032,5064,560,4050,2988,15415,2254
201204,"2012","16","País Vasco","01","Araba/Álava",0,25074,1146,6834,4064,1021,6954,5055,551,4040,2974,15225,2284
201205,"2012","16","País Vasco","01","Araba/Álava",0,24958,1100,6703,4113,1022,6905,5115,516,4041,2964,15159,2278
201206,"2012","16","País Vasco","01","Araba/Álava",0,24531,1080,6555,4106,911,6808,5071,554,3945,2889,15000,2143
201207,"2012","16","País Vasco","01","Araba/Álava",0,24816,1025,6707,4169,955,6915,5045,571,4009,2889,15227,2120
201208,"2012","16","País Vasco","01","Araba/Álava",0,25469,1008,7023,4316,952,7112,5058,568,4113,2950,15792,2046
201209,"2012","16","País Vasco","01","Araba/Álava",0,25885,1092,6980,4372,1064,7211,5166,546,4054,2897,16270,2118
201210,"2012","16","País Vasco","01","Araba/Álava",0,26338,1125,7152,4439,1094,7318,5210,698,4065,2903,16568,2104
201211,"2012","16","País Vasco","01","Araba/Álava",0,26911,1128,7361,4545,1108,7332,5437,767,4119,2995,16838,2192
201212,"2012","16","País Vasco","01","Araba/Álava",0,26584,1044,7495,4643,1050,7111,5241,755,4162,3120,16398,2149
201201,"2012","08","Castilla - La Mancha","02","Albacete",0,49175,3395,11283,7991,2982,13723,9801,3589,6271,7594,28019,3702
201202,"2012","08","Castilla - La Mancha","02","Albacete",0,50728,3569,11747,8166,3083,14110,10053,3878,6371,7787,28849,3843
201203,"2012","08","Castilla - La Mancha","02","Albacete",0,51444,3516,11931,8444,3064,14264,10225,3983,6402,7883,29231,3945
201204,"2012","08","Castilla - La Mancha","02","Albacete",0,51564,3469,11851,8593,3002,14297,10352,4020,6454,7863,29253,3974
201205,"2012","08","Castilla - La Mancha","02","Albacete",0,50808,3421,11351,8419,3055,14216,10346,3574,6357,7708,29104,4065
201206,"2012","08","Castilla - La Mancha","02","Albacete",0,48813,3149,10639,8329,2723,13769,10204,3579,6040,7387,27905,3902
201207,"2012","08","Castilla - La Mancha","02","Albacete",0,49676,3132,10963,8477,2763,14175,10166,3754,6052,7349,28561,3960
201208,"2012","08","Castilla - La Mancha","02","Albacete",0,50447,3066,11342,8586,2774,14482,10197,3744,6230,7416,29201,3856
201209,"2012","08","Castilla - La Mancha","02","Albacete",0,49703,3094,10778,8412,2849,14309,10261,3454,6083,7022,29118,4026
201210,"2012","08","Castilla - La Mancha","02","Albacete",0,52218,3364,11684,8806,2950,14883,10531,4791,6407,7034,29903,4083
201211,"2012","08","Castilla - La Mancha","02","Albacete",0,53712,3430,11903,9047,3061,15106,11165,4927,6654,7180,30681,4270
201212,"2012","08","Castilla - La Mancha","02","Albacete",0,53669,3287,12118,9188,2904,14947,11225,4829,6830,7373,30477,4160
201201,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,219929,11052,55000,42990,9121,55211,46555,6262,37689,37289,122115,16574
201202,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,224328,11512,55985,43528,9603,56261,47439,6578,38314,37705,124639,17092
201203,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,225735,11538,55818,44121,9671,56432,48155,6684,39230,37756,124655,17410
201204,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,225792,11397,55625,44528,9511,56183,48548,6627,39756,37693,124176,17540
201205,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,223591,11140,54444,44381,9342,55542,48742,6477,38921,37089,123793,17311
201206,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,217931,10287,52010,44018,8447,54594,48575,6619,37920,36240,120565,16587
201207,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,217105,9862,51470,44465,8310,54176,48822,6744,37608,35798,120524,16431
201208,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,219979,9620,52541,45647,8265,54616,49290,6793,39719,36169,121394,15904
201209,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,222437,10388,52999,45671,8952,55149,49278,6592,39534,35600,124306,16405
201210,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,225796,10569,53502,46147,9224,56145,50209,6402,39736,34955,128415,16288
201211,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,228287,10635,53561,46331,9344,56971,51445,6496,39351,34476,131503,16461
201212,"2012","10","Comunitat Valenciana","03","Alicante/Alacant",0,226227,10192,53290,46619,8854,55947,51325,6496,39112,34385,130169,16065
201201,"2012","01","Andalucía","04","Almería",0,75131,4262,21552,14515,3616,19925,11261,6174,5459,17706,37093,8699
201202,"2012","01","Andalucía","04","Almería",0,78600,4685,22453,14829,4053,20950,11630,6618,5668,18183,38661,9470
201203,"2012","01","Andalucía","04","Almería",0,80087,4899,22723,15054,4315,21256,11840,6983,5877,18294,39102,9831
201204,"2012","01","Andalucía","04","Almería",0,79972,4737,22283,15149,4399,21408,11996,7146,5853,18100,39084,9789
201205,"2012","01","Andalucía","04","Almería",0,80347,4483,21944,15133,4478,21940,12369,7214,5835,17732,39881,9685
201206,"2012","01","Andalucía","04","Almería",0,79822,4091,21391,15109,4192,22353,12686,7396,5741,17241,40557,8887
201207,"2012","01","Andalucía","04","Almería",0,79910,4000,21553,15371,4028,22175,12783,7407,5661,16513,42031,8298
201208,"2012","01","Andalucía","04","Almería",0,80697,3929,21878,15686,4056,22288,12860,7298,5745,16444,43344,7866
201209,"2012","01","Andalucía","04","Almería",0,82231,4107,22014,15863,4292,22858,13097,7565,5707,16191,44926,7842
