"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
201901,"2019","16","País Vasco","01","Araba/Álava",0,20052,656,3605,3979,701,5681,5430,755,2487,1223,12941,2646
201902,"2019","16","País Vasco","01","Araba/Álava",0,19672,682,3461,3879,709,5601,5340,776,2389,1199,12656,2652
201903,"2019","16","País Vasco","01","Araba/Álava",0,19439,720,3350,3848,718,5470,5333,765,2321,1168,12512,2673
201904,"2019","16","País Vasco","01","Araba/Álava",0,19113,684,3315,3894,697,5280,5243,776,2314,1178,12199,2646
201905,"2019","16","País Vasco","01","Araba/Álava",0,18987,707,3123,3797,719,5356,5285,641,2265,1130,12248,2703
201906,"2019","16","País Vasco","01","Araba/Álava",0,18633,627,3085,3772,673,5313,5163,660,2187,1130,12068,2588
201907,"2019","16","País Vasco","01","Araba/Álava",0,18867,675,3199,3754,645,5388,5206,682,2221,1121,12341,2502
201908,"2019","16","País Vasco","01","Araba/Álava",0,19540,705,3552,3904,673,5477,5229,670,2368,1186,12877,2439
201909,"2019","16","País Vasco","01","Araba/Álava",0,18954,696,3195,3794,675,5349,5245,581,2273,1096,12409,2595
201910,"2019","16","País Vasco","01","Araba/Álava",0,19037,725,3316,3894,656,5211,5235,753,2257,1112,12362,2553
201911,"2019","16","País Vasco","01","Araba/Álava",0,18655,699,3230,3876,641,5063,5146,718,2223,1083,12150,2481
201912,"2019","16","País Vasco","01","Araba/Álava",0,18722,667,3485,4023,574,4920,5053,682,2436,1133,12071,2400
201901,"2019","08","Castilla - La Mancha","02","Albacete",0,34972,1590,4796,6036,1575,9215,11760,3148,3860,2222,22948,2794
201902,"2019","08","Castilla - La Mancha","02","Albacete",0,34716,1577,4707,6002,1647,9011,11772,3312,3793,2160,22632,2819
201903,"2019","08","Castilla - La Mancha","02","Albacete",0,34311,1563,4493,5858,1589,8899,11909,3260,3835,2080,22282,2854
201904,"2019","08","Castilla - La Mancha","02","Albacete",0,33515,1375,4334,5878,1446,8651,11831,3168,3763,2101,21702,2781
201905,"2019","08","Castilla - La Mancha","02","Albacete",0,32518,1223,3953,5716,1359,8487,11780,2647,3568,1977,21621,2705
201906,"2019","08","Castilla - La Mancha","02","Albacete",0,31689,1220,3769,5613,1278,8212,11597,2622,3429,1927,21076,2635
201907,"2019","08","Castilla - La Mancha","02","Albacete",0,32139,1278,3987,5650,1315,8444,11465,2837,3412,1949,21309,2632
201908,"2019","08","Castilla - La Mancha","02","Albacete",0,32757,1357,4174,5799,1401,8612,11414,2923,3485,2091,21604,2654
201909,"2019","08","Castilla - La Mancha","02","Albacete",0,32605,1339,3991,5714,1483,8488,11590,2463,3424,2064,21973,2681
201910,"2019","08","Castilla - La Mancha","02","Albacete",0,34145,1478,4345,6125,1585,8716,11896,3160,3535,2038,22699,2713
201911,"2019","08","Castilla - La Mancha","02","Albacete",0,34109,1522,4313,6106,1621,8600,11947,3106,3636,2024,22680,2663
201912,"2019","08","Castilla - La Mancha","02","Albacete",0,33973,1474,4416,6342,1542,8310,11889,3034,3827,2250,22255,2607
201901,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,154391,5504,23622,33995,4914,36429,49927,5857,22853,13092,103292,9297
201902,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,153942,5682,23292,33570,5090,36247,50061,5840,22772,12991,102835,9504
201903,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,151046,5568,22112,33270,4990,35079,50027,5854,22923,12928,99696,9645
201904,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,147269,5321,21002,32989,4790,33749,49418,5631,23008,12981,95847,9802
201905,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,143023,5030,20021,32402,4589,32388,48593,5296,22479,12629,93002,9617
201906,"2019","10","Comunitat Valenciana","03","Alicante/Alacant",0,139731,4618,19350,31943,4109,31602,48109,5285,21988,12427,90692,9339
