"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
201301,"2013","16","País Vasco","01","Araba/Álava",0,27797,1101,7588,4802,1111,7585,5610,739,4220,3197,17449,2192
201302,"2013","16","País Vasco","01","Araba/Álava",0,28318,1155,7644,4922,1168,7763,5666,762,4211,3228,17861,2256
201303,"2013","16","País Vasco","01","Araba/Álava",0,28643,1185,7763,4986,1186,7868,5655,775,4261,3291,17990,2326
201304,"2013","16","País Vasco","01","Araba/Álava",0,28323,1156,7543,4999,1186,7732,5707,761,4189,3205,17812,2356
201301,"2013","08","Castilla - La Mancha","02","Albacete",0,55392,3363,12630,9412,2952,15520,11515,4945,7000,7431,31771,4245
201302,"2013","08","Castilla - La Mancha","02","Albacete",0,55532,3424,12560,9537,2950,15424,11637,4994,6962,7469,31820,4287
201303,"2013","08","Castilla - La Mancha","02","Albacete",0,54957,3413,12392,9574,2888,15080,11610,5029,7043,7409,31178,4298
201304,"2013","08","Castilla - La Mancha","02","Albacete",0,53428,3244,11861,9377,2805,14588,11553,4770,6878,7220,30347,4213
201301,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,230155,10143,54323,47358,8889,57282,52160,7339,38770,34259,133954,15833
201302,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,231744,10405,54413,47698,9089,57582,52557,7519,38695,34091,135236,16203
201303,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,230330,10381,53400,47869,9018,56874,52788,7549,39325,34018,133168,16270
201304,"2013","10","Comunitat Valenciana","03","Alicante/Alacant",0,230049,10316,52713,48141,9089,56685,53105,7386,39958,33599,132693,16413
201301,"2013","01","Andalucía","04","Almería",0,77631,3801,20421,16014,3608,20703,13084,7510,5394,15044,42289,7394
201302,"2013","01","Andalucía","04","Almería",0,80081,4099,21123,16330,3896,21376,13257,8008,5508,15168,43687,7710
201303,"2013","01","Andalucía","04","Almería",0,81386,4244,21426,16497,4090,21759,13370,8614,5504,15130,44201,7937
201304,"2013","01","Andalucía","04","Almería",0,82578,4209,21293,16491,4349,22469,13767,8926,5469,14823,45210,8150
201301,"2013","07","Castilla y León","05","Ávila",0,19194,1248,4413,4328,996,4685,3524,1402,1369,4204,10164,2055
201302,"2013","07","Castilla y León","05","Ávila",0,19596,1297,4504,4405,1015,4767,3608,1358,1395,4265,10483,2095
201303,"2013","07","Castilla y León","05","Ávila",0,19475,1268,4464,4384,1034,4722,3603,1324,1372,4241,10432,2106
201304,"2013","07","Castilla y León","05","Ávila",0,19211,1249,4349,4277,1027,4684,3625,1258,1377,4092,10329,2155
201301,"2013","11","Extremadura","06","Badajoz",0,98930,6645,21343,16409,6246,26319,21968,9416,6821,11872,61433,9388
201302,"2013","11","Extremadura","06","Badajoz",0,99114,6736,21285,16581,6325,26173,22014,9387,6812,11823,61622,9470
201303,"2013","11","Extremadura","06","Badajoz",0,99714,6773,21570,16895,6307,26030,22139,9610,6884,12094,61478,9648
201304,"2013","11","Extremadura","06","Badajoz",0,96580,6522,19917,16196,6228,25669,22048,8388,6706,11324,60591,9571
201301,"2013","04","Balears, Illes","07","Balears, Illes",0,95509,5647,25242,17889,5103,25706,15922,1150,4627,14152,72190,3390
