"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
202306,"2023","01","Andalucía","04","Almería",0,53207,2082,7896,11335,2022,13541,15948,6143,1937,4462,34730,5640
202307,"2023","01","Andalucía","04","Almería",0,53004,2081,7973,11441,2013,13335,15794,6062,1916,4562,34520,5647
202308,"2023","01","Andalucía","04","Almería",0,52787,2070,7803,11533,2041,13307,15682,5844,1917,4639,34542,5563
202309,"2023","01","Andalucía","04","Almería",0,53905,2280,7981,11531,2238,13577,15962,5690,1997,4552,35534,5855
202310,"2023","01","Andalucía","04","Almería",0,53538,2314,7943,11415,2231,13368,15964,5617,2027,4469,35281,5853
202311,"2023","01","Andalucía","04","Almería",0,52513,2270,7871,11263,2162,12863,15738,5430,2000,4505,34426,5851
202312,"2023","01","Andalucía","04","Almería",0,51062,2113,7678,11313,1971,12267,15377,5301,1988,4610,33212,5654
202301,"2023","07","Castilla y León","05","Ávila",0,9675,268,1086,2225,289,2029,3105,327,466,693,6847,913
202302,"2023","07","Castilla y León","05","Ávila",0,9567,265,1047,2174,310,1968,3082,304,462,669,6763,931
202303,"2023","07","Castilla y León","05","Ávila",0,9125,238,976,2074,282,1867,3003,301,417,636,6408,937
202304,"2023","07","Castilla y León","05","Ávila",0,8762,237,905,2020,255,1785,2917,296,398,618,6123,924
202305,"2023","07","Castilla y León","05","Ávila",0,8557,208,872,1991,223,1712,2907,283,386,598,5961,928
202306,"2023","07","Castilla y León","05","Ávila",0,8221,208,803,1908,227,1670,2813,252,365,591,5652,946
202307,"2023","07","Castilla y León","05","Ávila",0,8042,203,807,1865,214,1649,2747,247,359,582,5550,912
202308,"2023","07","Castilla y León","05","Ávila",0,8076,185,833,1882,217,1657,2746,245,357,586,5580,894
202309,"2023","07","Castilla y León","05","Ávila",0,8295,231,859,1886,253,1674,2793,244,384,585,5763,929
202310,"2023","07","Castilla y León","05","Ávila",0,8465,254,921,1908,261,1692,2845,245,416,554,5887,958
202311,"2023","07","Castilla y León","05","Ávila",0,8704,273,952,1997,258,1689,2915,269,404,599,6046,954
202312,"2023","07","Castilla y León","05","Ávila",0,8696,249,951,2014,248,1675,2924,256,423,625,6024,945
202301,"2023","11","Extremadura","06","Badajoz",0,55086,1699,6950,10360,1836,13945,19838,4967,2712,3607,40687,2641
202302,"2023","11","Extremadura","06","Badajoz",0,55327,1823,6876,10255,2027,13971,19907,5011,2757,3552,40676,2876
202303,"2023","11","Extremadura","06","Badajoz",0,54975,1905,6810,10117,2049,13726,19912,5008,2775,3439,40245,3053
202304,"2023","11","Extremadura","06","Badajoz",0,52943,1692,6369,9900,1816,13182,19511,4605,2665,3355,38892,2926
202305,"2023","11","Extremadura","06","Badajoz",0,51851,1610,6066,9722,1732,12734,19474,4444,2559,3207,38200,2939
202306,"2023","11","Extremadura","06","Badajoz",0,51058,1729,5780,9577,1765,12227,19455,4272,2451,3156,37539,3150
202307,"2023","11","Extremadura","06","Badajoz",0,50230,1773,5646,9414,1839,12025,19049,4349,2326,3144,36693,3255
202308,"2023","11","Extremadura","06","Badajoz",0,50480,1757,5695,9496,1908,12135,19024,4305,2325,3274,36884,3189
202309,"2023","11","Extremadura","06","Badajoz",0,51763,1994,5750,9646,2210,12342,19370,4393,2412,3200,38030,3249
202310,"2023","11","Extremadura","06","Badajoz",0,52797,1801,6150,9897,2022,12808,19700,4511,2599,3163,39142,2898
202311,"2023","11","Extremadura","06","Badajoz",0,51418,1700,5883,9737,1953,12219,19444,4321,2585,3163,37983,2893
202312,"2023","11","Extremadura","06","Badajoz",0,50324,1610,5773,9800,1829,11701,19097,4298,2556,3274,36925,2796
202301,"2023","04","Balears, Illes","07","Balears, Illes",0,35553,1729,5177,7845,1540,8082,11033,404,1508,4072,26915,2472
202302,"2023","04","Balears, Illes","07","Balears, Illes",0,35199,1764,4958,7702,1597,8012,11026,409,1501,3930,26546,2625
202303,"2023","04","Balears, Illes","07","Balears, Illes",0,33730,1712,4541,7478,1548,7460,10862,383,1462,3827,25132,2776
202304,"2023","04","Balears, Illes","07","Balears, Illes",0,31006,1358,4036,7107,1251,6770,10332,359,1358,3698,22799,2630
202305,"2023","04","Balears, Illes","07","Balears, Illes",0,28796,1119,3693,6799,1013,6056,9945,312,1273,3537,21111,2371
202306,"2023","04","Balears, Illes","07","Balears, Illes",0,28324,1189,3675,6805,990,5794,9703,294,1299,3587,20590,2365
202307,"2023","04","Balears, Illes","07","Balears, Illes",0,29178,1306,3949,6977,1040,6038,9712,287,1334,3805,21199,2368
202308,"2023","04","Balears, Illes","07","Balears, Illes",0,30127,1341,4159,7243,1073,6403,9751,299,1333,4043,22011,2261
202309,"2023","04","Balears, Illes","07","Balears, Illes",0,30151,1619,4154,7133,1366,6112,9651,311,1315,3945,22044,2353
202310,"2023","04","Balears, Illes","07","Balears, Illes",0,31610,1902,4370,7240,1540,6511,9933,330,1343,3872,23566,2332
202311,"2023","04","Balears, Illes","07","Balears, Illes",0,32940,2119,4645,7207,1850,6921,10064,345,1392,3704,24990,2335
202312,"2023","04","Balears, Illes","07","Balears, Illes",0,31707,1915,4403,7153,1549,6629,9922,353,1395,3675,23811,2310
202301,"2023","09","Cataluña","08","Barcelona",0,257689,7675,38315,64509,6227,52570,87641,1771,29925,18506,189777,17067
202302,"2023","09","Cataluña","08","Barcelona",0,257856,8328,38315,64411,6759,51955,87324,1775,29573,18536,189405,17902
202303,"2023","09","Cataluña","08","Barcelona",0,256722,8569,38025,64072,7023,51368,86935,1785,29454,18605,187726,18462
202304,"2023","09","Cataluña","08","Barcelona",0,250925,7733,36755,63028,6141,50318,86162,1694,28788,18359,183281,18062
202305,"2023","09","Cataluña","08","Barcelona",0,249948,7309,36205,63032,6017,50278,86283,1673,28487,18265,182643,18172
202306,"2023","09","Cataluña","08","Barcelona",0,245846,7129,35041,61953,5701,49657,85563,1580,28041,18063,179416,18076
202307,"2023","09","Cataluña","08","Barcelona",0,247540,7019,35205,61653,5997,50951,85970,1548,28138,18181,181046,17934
202308,"2023","09","Cataluña","08","Barcelona",0,252978,7183,36490,62475,6058,53372,86675,1522,28711,18538,186142,17408
202309,"2023","09","Cataluña","08","Barcelona",0,249431,7751,35863,62094,6341,50952,85694,1599,28314,18257,182742,17858
202310,"2023","09","Cataluña","08","Barcelona",0,251915,8238,36511,62482,6627,51080,86262,1670,28556,18335,184403,18265
202311,"2023","09","Cataluña","08","Barcelona",0,251483,7908,36790,62381,6165,51002,86512,1656,28517,18304,184372,17968
202312,"2023","09","Cataluña","08","Barcelona",0,254237,7746,37832,63296,6050,51642,86887,1649,28759,18687,186684,17795
202301,"2023","07","Castilla y León","09","Burgos",0,16152,548,2058,3569,376,3199,5386,569,1901,889,11127,946
202302,"2023","07","Castilla y León","09","Burgos",0,15909,592,1928,3489,451,3081,5351,574,1790,856,11006,1001
202303,"2023","07","Castilla y León","09","Burgos",0,15160,529,1822,3308,439,2891,5189,553,1642,800,10453,1004
202304,"2023","07","Castilla y León","09","Burgos",0,14682,470,1747,3247,396,2773,5154,545,1615,779,10126,1001
202305,"2023","07","Castilla y León","09","Burgos",0,14024,431,1645,3134,352,2600,5004,498,1550,753,9681,958
202306,"2023","07","Castilla y León","09","Burgos",0,13418,415,1558,2985,320,2501,4818,457,1465,742,9232,964
202307,"2023","07","Castilla y León","09","Burgos",0,13471,420,1562,2957,331,2565,4824,455,1465,720,9301,938
202308,"2023","07","Castilla y León","09","Burgos",0,13697,449,1639,2973,357,2630,4840,454,1494,736,9452,962
202309,"2023","07","Castilla y León","09","Burgos",0,13824,515,1667,2937,405,2566,4922,382,1594,747,9540,988
202310,"2023","07","Castilla y León","09","Burgos",0,14321,522,1738,3037,433,2646,5091,478,1661,734,9863,983
202311,"2023","07","Castilla y León","09","Burgos",0,14673,524,1772,3133,451,2672,5184,490,1647,762,10139,1003
202312,"2023","07","Castilla y León","09","Burgos",0,14814,526,1829,3257,414,2662,5160,516,1636,816,10242,957
202301,"2023","11","Extremadura","10","Cáceres",0,29768,803,3815,6695,780,7029,9654,1732,1607,2623,21461,1468
202302,"2023","11","Extremadura","10","Cáceres",0,29705,894,3752,6535,857,7006,9697,1714,1596,2551,21413,1558
202303,"2023","11","Extremadura","10","Cáceres",0,28907,926,3503,6327,896,6725,9518,1679,1521,2493,20669,1690
202304,"2023","11","Extremadura","10","Cáceres",0,27571,776,3231,6070,770,6349,9351,1577,1390,2381,19789,1585
202305,"2023","11","Extremadura","10","Cáceres",0,26515,715,3006,5891,703,5986,9151,1443,1378,2258,19025,1534
202306,"2023","11","Extremadura","10","Cáceres",0,26174,769,2926,5937,751,5773,8952,1468,1358,2249,18572,1589
202307,"2023","11","Extremadura","10","Cáceres",0,25683,824,2861,5879,811,5543,8775,1428,1297,2250,18100,1675
202308,"2023","11","Extremadura","10","Cáceres",0,26184,891,2994,5937,877,5614,8806,1440,1344,2339,18457,1708
202309,"2023","11","Extremadura","10","Cáceres",0,27546,1142,3077,6066,1041,6001,9199,1456,1402,2327,19638,1827
202310,"2023","11","Extremadura","10","Cáceres",0,27406,840,3172,6121,826,6080,9297,1411,1388,2327,19897,1503
202311,"2023","11","Extremadura","10","Cáceres",0,26815,801,3059,6102,806,5777,9185,1419,1364,2268,19330,1528
202312,"2023","11","Extremadura","10","Cáceres",0,26634,779,3120,6252,770,5643,9060,1478,1359,2427,19020,1516
202301,"2023","01","Andalucía","11","Cádiz",0,142628,5572,20538,28808,5508,34956,47236,4809,8335,13322,97609,18536
202302,"2023","01","Andalucía","11","Cádiz",0,142111,5664,20277,28367,5727,34851,47212,4784,8167,13146,96952,19035
202303,"2023","01","Andalucía","11","Cádiz",0,139794,5771,19474,27759,5829,33908,47048,4732,8024,12652,95030,19335
202304,"2023","01","Andalucía","11","Cádiz",0,135254,5386,18332,27109,5222,32731,46460,4483,7729,12379,91944,18698
202305,"2023","01","Andalucía","11","Cádiz",0,132714,5126,17839,26687,5074,31960,46012,4261,7558,12139,90496,18232
202306,"2023","01","Andalucía","11","Cádiz",0,128620,4877,17017,26171,4850,30484,45188,4274,7174,12066,87243,17833
202307,"2023","01","Andalucía","11","Cádiz",0,126207,4806,16707,26056,4697,29359,44556,4436,7013,12065,85130,17539
202308,"2023","01","Andalucía","11","Cádiz",0,126426,4758,16873,26100,4746,29432,44489,4444,6961,12225,85482,17288
202309,"2023","01","Andalucía","11","Cádiz",0,131778,5250,17680,26427,5436,31350,45607,4465,7073,12107,90189,17907
202310,"2023","01","Andalucía","11","Cádiz",0,134593,5548,18042,26810,5670,32134,46375,4545,7167,12066,92653,18135
202311,"2023","01","Andalucía","11","Cádiz",0,134263,5488,17943,26696,5780,31993,46340,4368,7100,11964,92507,18299
202312,"2023","01","Andalucía","11","Cádiz",0,131221,5258,17702,26825,5298,30356,45757,4301,7097,12414,89614,17768
202301,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,36547,1332,4876,8023,1164,8496,12154,1105,4693,2523,24937,2878
