"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
202101,"2021","16","País Vasco","01","Araba/Álava",0,22176,986,3936,4556,935,5989,5774,757,2705,1177,14687,2850
202102,"2021","16","País Vasco","01","Araba/Álava",0,21855,941,3799,4501,892,5913,5809,773,2668,1123,14431,2860
202103,"2021","16","País Vasco","01","Araba/Álava",0,21898,1002,3786,4514,876,5854,5866,799,2594,1140,14394,2971
202104,"2021","16","País Vasco","01","Araba/Álava",0,21633,955,3742,4491,890,5739,5816,799,2620,1097,14127,2990
202105,"2021","16","País Vasco","01","Araba/Álava",0,20615,900,3401,4361,756,5460,5737,685,2479,1047,13517,2887
202106,"2021","16","País Vasco","01","Araba/Álava",0,20283,838,3205,4361,735,5472,5672,717,2385,1049,13307,2825
202107,"2021","16","País Vasco","01","Araba/Álava",0,19937,813,3153,4335,712,5323,5601,723,2368,1016,13103,2727
202108,"2021","16","País Vasco","01","Araba/Álava",0,20702,818,3454,4468,766,5514,5682,714,2456,1076,13778,2678
202109,"2021","16","País Vasco","01","Araba/Álava",0,20135,805,3211,4340,780,5412,5587,619,2380,1038,13353,2745
202110,"2021","16","País Vasco","01","Araba/Álava",0,19957,817,3189,4350,767,5253,5581,751,2359,1047,13113,2687
202111,"2021","16","País Vasco","01","Araba/Álava",0,19655,798,3134,4358,695,5143,5527,771,2293,1062,12898,2631
202112,"2021","16","País Vasco","01","Araba/Álava",0,19414,745,3332,4413,621,4935,5368,740,2382,1099,12687,2506
202101,"2021","08","Castilla - La Mancha","02","Albacete",0,37456,1616,5127,6789,1801,9327,12796,3488,4045,2297,24589,3037
202102,"2021","08","Castilla - La Mancha","02","Albacete",0,37564,1644,5062,6684,1866,9371,12937,3538,4020,2173,24700,3133
202103,"2021","08","Castilla - La Mancha","02","Albacete",0,37025,1578,5029,6619,1753,9137,12909,3672,3909,2117,24183,3144
202104,"2021","08","Castilla - La Mancha","02","Albacete",0,36495,1524,4820,6574,1717,8959,12901,3602,3797,2104,23818,3174
202105,"2021","08","Castilla - La Mancha","02","Albacete",0,34643,1328,4329,6355,1457,8412,12762,3069,3678,1984,22864,3048
202106,"2021","08","Castilla - La Mancha","02","Albacete",0,33708,1286,4083,6197,1430,8175,12537,3014,3514,1882,22218,3080
202107,"2021","08","Castilla - La Mancha","02","Albacete",0,32143,1121,3950,5949,1261,7921,11941,3051,3349,1792,21204,2747
202108,"2021","08","Castilla - La Mancha","02","Albacete",0,31382,1080,3843,5911,1158,7817,11573,2940,3363,1816,20784,2479
202109,"2021","08","Castilla - La Mancha","02","Albacete",0,29381,1023,3405,5523,1135,7176,11119,2480,3202,1647,19780,2272
202110,"2021","08","Castilla - La Mancha","02","Albacete",0,30152,1146,3581,5654,1244,7221,11306,2925,3276,1616,20047,2288
202111,"2021","08","Castilla - La Mancha","02","Albacete",0,28871,1081,3337,5408,1204,6800,11041,2631,3125,1561,19321,2233
202112,"2021","08","Castilla - La Mancha","02","Albacete",0,28463,1007,3433,5626,1073,6497,10827,2605,3198,1700,18898,2062
202101,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,189379,8931,31537,40486,7612,44403,56410,7474,23867,16329,127814,13895
202102,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,191767,9073,31840,40578,7850,45336,57090,7526,23785,16073,130397,13986
202103,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,187687,8788,30356,39911,7683,44112,56837,7370,23448,15632,127121,14116
202104,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,186613,8749,29762,39925,7631,43566,56980,7208,23300,15542,126203,14360
202105,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,180388,8044,28141,39209,6864,41644,56486,6930,22689,15173,121452,14144
202106,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,174726,7536,26199,38456,6502,39861,56172,7004,21956,15060,116527,14179
202107,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,171804,7011,25603,38312,6055,39243,55580,7166,21726,15294,113648,13970
202108,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,173873,7002,26361,39021,6119,39617,55753,7105,22662,16073,113981,14052
202109,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,172422,7376,25816,38588,6402,38632,55608,6799,21938,15473,114008,14204
202110,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,173411,7642,25766,38491,6652,38915,55945,6704,21581,15307,115402,14417
202111,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,163594,6825,23557,36696,6031,36424,54061,6336,20310,14211,109807,12930
202112,"2021","10","Comunitat Valenciana","03","Alicante/Alacant",0,156407,5769,22446,35807,5147,34697,52541,6087,20066,14017,105021,11216
202101,"2021","01","Andalucía","04","Almería",0,69974,3145,13288,14380,3033,19099,17029,9472,2524,6232,45021,6725
202102,"2021","01","Andalucía","04","Almería",0,70575,3245,13249,14504,3153,19231,17193,9599,2524,6229,45251,6972
202103,"2021","01","Andalucía","04","Almería",0,70922,3156,13038,14407,3221,19544,17556,9886,2493,6103,45460,6980
202104,"2021","01","Andalucía","04","Almería",0,73132,3128,13072,14563,3454,20622,18293,10422,2490,6071,47076,7073
202105,"2021","01","Andalucía","04","Almería",0,73613,2986,13013,14395,3399,21052,18768,10823,2464,5874,47558,6894
202106,"2021","01","Andalucía","04","Almería",0,71295,2781,12466,14000,3202,20297,18549,10749,2311,5564,46569,6102
202107,"2021","01","Andalucía","04","Almería",0,67384,2365,11893,13609,2781,19053,17683,10017,2218,5351,44529,5269
202108,"2021","01","Andalucía","04","Almería",0,64320,2131,11078,13171,2541,18245,17154,8896,2136,5302,43350,4636
202109,"2021","01","Andalucía","04","Almería",0,62644,2202,10325,12838,2585,17708,16986,8056,2117,5156,42622,4693
202110,"2021","01","Andalucía","04","Almería",0,59004,2225,9864,12531,2415,15932,16037,7601,2081,5097,39317,4908
202111,"2021","01","Andalucía","04","Almería",0,57568,2220,9621,12437,2231,15277,15782,7447,2091,5156,37837,5037
202112,"2021","01","Andalucía","04","Almería",0,56467,2162,9590,12567,2124,14535,15489,7364,2137,5346,36623,4997
202101,"2021","07","Castilla y León","05","Ávila",0,13413,616,2115,3094,555,3089,3944,852,762,1275,9163,1361
202102,"2021","07","Castilla y León","05","Ávila",0,13466,612,2059,3091,572,3122,4010,856,763,1234,9240,1373
202103,"2021","07","Castilla y León","05","Ávila",0,13345,627,1980,3048,561,3095,4034,816,783,1211,9146,1389
202104,"2021","07","Castilla y León","05","Ávila",0,13261,639,1926,3017,563,3030,4086,797,778,1174,9084,1428
202105,"2021","07","Castilla y León","05","Ávila",0,12537,594,1778,2869,474,2868,3954,748,719,1100,8579,1391
202106,"2021","07","Castilla y León","05","Ávila",0,11663,521,1574,2648,452,2705,3763,653,663,1031,7907,1409
202107,"2021","07","Castilla y León","05","Ávila",0,11320,472,1511,2591,391,2666,3689,645,634,1011,7669,1361
202108,"2021","07","Castilla y León","05","Ávila",0,11278,457,1526,2580,423,2636,3656,612,621,1011,7662,1372
202109,"2021","07","Castilla y León","05","Ávila",0,10625,429,1368,2468,391,2427,3542,481,605,923,7444,1172
202110,"2021","07","Castilla y León","05","Ávila",0,10565,440,1375,2464,362,2400,3524,626,610,890,7393,1046
202111,"2021","07","Castilla y León","05","Ávila",0,10125,367,1304,2411,339,2289,3415,668,561,866,7108,922
202112,"2021","07","Castilla y León","05","Ávila",0,10075,345,1341,2476,343,2211,3359,652,548,891,7062,922
