"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
201601,"2016","16","País Vasco","01","Araba/Álava",0,25449,779,5743,5018,795,7095,6019,968,3358,2270,16034,2819
201602,"2016","16","País Vasco","01","Araba/Álava",0,26376,826,6017,5066,882,7426,6159,975,3394,2309,16795,2903
201603,"2016","16","País Vasco","01","Araba/Álava",0,25216,785,5648,5018,804,6993,5968,963,3275,2274,15832,2872
201604,"2016","16","País Vasco","01","Araba/Álava",0,24940,742,5516,5021,797,6908,5956,967,3217,2255,15657,2844
201605,"2016","16","País Vasco","01","Araba/Álava",0,24163,759,5097,4881,784,6729,5913,850,3083,2140,15194,2896
201606,"2016","16","País Vasco","01","Araba/Álava",0,23678,713,4956,4794,746,6594,5875,926,2978,2043,14869,2862
201607,"2016","16","País Vasco","01","Araba/Álava",0,23040,696,4711,4641,737,6455,5800,894,2873,1906,14622,2745
201608,"2016","16","País Vasco","01","Araba/Álava",0,23460,702,4889,4763,749,6559,5798,893,3004,1956,14831,2776
201609,"2016","16","País Vasco","01","Araba/Álava",0,23454,717,4810,4681,791,6588,5867,862,2979,1919,14776,2918
201610,"2016","16","País Vasco","01","Araba/Álava",0,22697,714,4605,4535,757,6349,5737,915,2834,1836,14275,2837
201611,"2016","16","País Vasco","01","Araba/Álava",0,22184,726,4529,4437,751,6137,5604,944,2755,1768,13902,2815
201612,"2016","16","País Vasco","01","Araba/Álava",0,22131,671,4793,4573,658,5938,5498,905,2870,1824,13862,2670
201601,"2016","08","Castilla - La Mancha","02","Albacete",0,44972,2281,8046,8192,2117,12016,12320,4997,5104,4042,26997,3832
201602,"2016","08","Castilla - La Mancha","02","Albacete",0,45063,2327,7926,8258,2107,12089,12356,5261,5052,3948,26939,3863
201603,"2016","08","Castilla - La Mancha","02","Albacete",0,44245,2220,7786,8119,2014,11835,12271,5119,5064,3965,26262,3835
201604,"2016","08","Castilla - La Mancha","02","Albacete",0,41826,2010,7063,7688,1893,11190,11982,4542,4879,3702,24955,3748
201605,"2016","08","Castilla - La Mancha","02","Albacete",0,39251,1819,6277,7093,1786,10576,11700,3884,4685,3486,23511,3685
201606,"2016","08","Castilla - La Mancha","02","Albacete",0,37360,1641,5696,6823,1676,10121,11403,3727,4293,3246,22533,3561
201607,"2016","08","Castilla - La Mancha","02","Albacete",0,37821,1619,5959,6868,1688,10411,11276,3888,4289,3192,23000,3452
201608,"2016","08","Castilla - La Mancha","02","Albacete",0,38397,1662,6139,7038,1697,10536,11325,4037,4463,3308,23227,3362
201609,"2016","08","Castilla - La Mancha","02","Albacete",0,36925,1638,5534,6627,1760,10064,11302,3302,4241,3075,22977,3330
201610,"2016","08","Castilla - La Mancha","02","Albacete",0,38975,1796,6232,7026,1804,10424,11693,4501,4450,3070,23667,3287
201611,"2016","08","Castilla - La Mancha","02","Albacete",0,39923,1854,6382,7106,1848,10728,12005,4347,4528,3049,24718,3281
201612,"2016","08","Castilla - La Mancha","02","Albacete",0,39399,1664,6399,7249,1708,10499,11880,4159,4695,3208,24225,3112
201601,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,186133,6359,34040,41634,5690,45611,52799,7340,29669,19967,117158,11999
201602,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,185101,6550,33363,41189,5830,45332,52837,7414,29451,19712,116255,12269
201603,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,180706,6356,31881,40812,5678,43631,52348,7288,29824,19593,111753,12248
201604,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,178764,6299,31021,40525,5692,42949,52278,6956,29679,19181,110675,12273
201605,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,175097,6074,29779,40126,5406,41790,51922,6832,29184,18810,108152,12119
201606,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,169181,5539,28044,39152,4924,40246,51276,6657,28166,18400,104272,11686
201607,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,165657,5199,27394,38719,4716,39257,50372,6442,27838,18499,101431,11447
201608,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,168894,5166,28747,39918,4625,39806,50632,6359,30035,19125,102289,11086
201609,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,169851,5615,28616,39649,5132,40082,50757,6088,28984,18464,105031,11284
201610,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,170481,5646,28468,39394,5241,40559,51173,5984,28535,17850,106902,11210
201611,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,171759,5880,28975,39087,5401,41004,51412,6243,27521,17424,109240,11331
201612,"2016","10","Comunitat Valenciana","03","Alicante/Alacant",0,170046,5652,29059,39051,5103,40008,51173,6182,27742,17533,107613,10976
201601,"2016","01","Andalucía","04","Almería",0,68556,3211,14624,15087,3021,18573,14040,8442,3237,8700,41118,7059
201602,"2016","01","Andalucía","04","Almería",0,69767,3369,14823,15232,3222,18951,14170,8830,3249,8716,41591,7381
201603,"2016","01","Andalucía","04","Almería",0,70025,3425,14670,15275,3396,19011,14248,9314,3222,8627,41282,7580
201604,"2016","01","Andalucía","04","Almería",0,71371,3478,14677,15135,3589,19836,14656,9648,3207,8394,42453,7669
201605,"2016","01","Andalucía","04","Almería",0,70574,3218,13990,14822,3566,20033,14945,9735,3144,8031,42274,7390
201606,"2016","01","Andalucía","04","Almería",0,71060,2969,14188,14698,3376,20554,15275,10365,3012,7689,43099,6895
201607,"2016","01","Andalucía","04","Almería",0,70605,2819,14391,14736,3216,20289,15154,10106,3036,7491,43430,6542
201608,"2016","01","Andalucía","04","Almería",0,70438,2744,14340,14860,3156,20198,15140,9450,3083,7619,44066,6220
201609,"2016","01","Andalucía","04","Almería",0,69652,2892,13670,14548,3260,20173,15109,8531,3014,7377,44307,6423
201610,"2016","01","Andalucía","04","Almería",0,66570,2989,12952,14163,3134,18759,14573,7897,2935,7424,41754,6560
201611,"2016","01","Andalucía","04","Almería",0,64688,2987,12698,13947,2996,17875,14185,7662,2870,7359,40201,6596
201612,"2016","01","Andalucía","04","Almería",0,62179,2806,12292,13923,2671,16708,13779,7531,2824,7383,38214,6227
201601,"2016","07","Castilla y León","05","Ávila",0,15983,833,2914,3885,723,3857,3771,1190,975,2568,9487,1763
201602,"2016","07","Castilla y León","05","Ávila",0,15978,852,2889,3887,727,3865,3758,1119,970,2553,9546,1790
201603,"2016","07","Castilla y León","05","Ávila",0,15550,839,2814,3811,703,3696,3687,1063,974,2511,9195,1807
201604,"2016","07","Castilla y León","05","Ávila",0,15220,849,2666,3674,688,3627,3716,1028,943,2370,9079,1800
201605,"2016","07","Castilla y León","05","Ávila",0,14707,798,2468,3558,663,3554,3666,933,913,2212,8875,1774
201606,"2016","07","Castilla y León","05","Ávila",0,13926,726,2319,3318,578,3414,3571,824,900,2084,8411,1707
201607,"2016","07","Castilla y León","05","Ávila",0,13238,614,2120,3158,553,3329,3464,750,860,1966,7998,1664
201608,"2016","07","Castilla y León","05","Ávila",0,13233,594,2106,3150,564,3350,3469,734,850,1984,8018,1647
201609,"2016","07","Castilla y León","05","Ávila",0,13552,644,2154,3153,626,3445,3530,673,852,1914,8487,1626
201610,"2016","07","Castilla y León","05","Ávila",0,13872,669,2262,3232,651,3511,3547,881,867,1888,8633,1603
201611,"2016","07","Castilla y León","05","Ávila",0,14182,698,2348,3324,659,3545,3608,1020,866,1899,8809,1588
201612,"2016","07","Castilla y León","05","Ávila",0,13850,648,2346,3391,575,3373,3517,985,853,1997,8489,1526
201601,"2016","11","Extremadura","06","Badajoz",0,86831,5056,15638,15852,4720,23067,22498,10420,5023,6977,58040,6371
201602,"2016","11","Extremadura","06","Badajoz",0,86435,5092,15523,15672,4680,22974,22494,10426,5096,6854,57618,6441
201603,"2016","11","Extremadura","06","Badajoz",0,84759,4950,15005,15553,4666,22333,22252,9980,5007,6862,56438,6472
201604,"2016","11","Extremadura","06","Badajoz",0,82399,4884,14095,14713,4650,21974,22083,8880,4889,6585,55456,6589
201605,"2016","11","Extremadura","06","Badajoz",0,80630,4835,13282,14328,4711,21519,21955,8457,4697,6224,54593,6659
201606,"2016","11","Extremadura","06","Badajoz",0,77133,4550,12244,13887,4263,20472,21717,7500,4469,5936,52649,6579
201607,"2016","11","Extremadura","06","Badajoz",0,75587,4383,11780,13608,4264,20277,21275,7477,4287,5767,51438,6618
201608,"2016","11","Extremadura","06","Badajoz",0,75617,4313,11985,13588,4248,20351,21132,7884,4267,5871,51125,6470
201609,"2016","11","Extremadura","06","Badajoz",0,78135,4683,12134,13716,4728,21035,21839,8078,4406,5718,53289,6644
201610,"2016","11","Extremadura","06","Badajoz",0,80568,4959,12839,14241,4920,21368,22241,9223,4752,5592,54356,6645
201611,"2016","11","Extremadura","06","Badajoz",0,81151,5099,13052,14214,5019,21659,22108,9523,4660,5596,55055,6317
