"Cod mes","Cod anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcci�n","Paro Servicios","Paro Sin empleo Anterior","total Paro Registrado_Min_value","Cod min_mes","total Paro Registrado_Max_value","Cod max_mes"
201101,"2011","45089",8,"Castilla - La Mancha",45,"Toledo","Malpica de Tajo",292.33,25.25,66.25,55.25,21.67,69.33,54.58,29.17,39.42,41.17,166.67,15.92,276,"201106",311,"201103"
201101,"2011","45090",8,"Castilla - La Mancha",45,"Toledo","Manzaneque",49.92,5.33,15.25,6,3.5,12.5,7.33,10.33,0.92,6.08,30.25,2.33,40,"201101",58,"201110"
201101,"2011","45091",8,"Castilla - La Mancha",45,"Toledo","Maqueda",57.08,4.92,15.42,11.42,1.42,8.33,15.58,1.33,2.25,11.58,40.92,1,46,"201103",72,"201112"
201101,"2011","45092",8,"Castilla - La Mancha",45,"Toledo","Marjaliza",12.92,0.25,2.83,2,0,2.92,4.92,0.67,0.92,1.08,10.25,0,11,"201101",16,"201109"
201101,"2011","45093",8,"Castilla - La Mancha",45,"Toledo","Marrupe",18.08,1.25,3.67,5.25,1.83,1,5.08,0,0.92,3.58,11.58,2,16,"201101",20,"201102"
201101,"2011","45094",8,"Castilla - La Mancha",45,"Toledo","Mascaraque",46.42,5.58,12.75,5.83,1.83,13.75,6.67,3.67,7.08,6.17,26.33,3.17,41,"201101",55,"201111"
201101,"2011","45095",8,"Castilla - La Mancha",45,"Toledo","Mata, La",80.75,4.67,17.92,14.42,4.75,25.75,13.25,2.42,13.25,13.5,46.42,5.17,71,"201102",86,"201111"
201101,"2011","45096",8,"Castilla - La Mancha",45,"Toledo","Mazarambroz",137.17,9.08,25.75,35.17,6.67,34.17,26.33,9.17,44.42,22.42,55.83,5.33,125,"201109",150,"201103"
201101,"2011","45097",8,"Castilla - La Mancha",45,"Toledo","Mejorada",179.25,6.5,33.5,36.25,6.42,56.42,40.17,4.08,25.5,43.58,99.42,6.67,154,"201107",201,"201112"
201101,"2011","45098",8,"Castilla - La Mancha",45,"Toledo","Menasalbas",292.83,11.33,90.17,47.58,11.5,86.75,45.5,34.17,78.83,31.5,132,16.33,273,"201106",322,"201111"
201101,"2011","45099",8,"Castilla - La Mancha",45,"Toledo","M�ntrida",518.33,43.83,110.08,82.83,25.67,159.58,96.33,5,68.67,105.58,303.67,35.42,491,"201107",539,"201105"
201101,"2011","45100",8,"Castilla - La Mancha",45,"Toledo","Mesegar de Tajo",28.5,0.5,6.33,6,1.83,7.92,5.92,1.75,2.67,6,17.17,0.92,20,"201108",34,"201103"
201101,"2011","45101",8,"Castilla - La Mancha",45,"Toledo","Miguel Esteban",633.5,46.17,186.75,121,33.08,184.58,61.92,99.75,117.67,209.58,168.92,37.58,467,"201109",735,"201112"
201101,"2011","45102",8,"Castilla - La Mancha",45,"Toledo","Mocej�n",554.17,67.42,138.92,101.58,43.83,140.42,62,21.92,55.83,166.5,273.25,36.67,509,"201107",625,"201112"
201101,"2011","45103",8,"Castilla - La Mancha",45,"Toledo","Mohedas de la Jara",25,3.83,7.92,2.42,2.25,6.58,2,0.42,3.5,2.75,16.83,1.5,19,"201108",33,"201103"
201101,"2011","45104",8,"Castilla - La Mancha",45,"Toledo","Montearag�n",70.33,10.25,13.33,8.67,8.25,16.67,13.17,1.42,8.92,5.75,51.58,2.67,63,"201106",86,"201112"
201101,"2011","45105",8,"Castilla - La Mancha",45,"Toledo","Montesclaros",47.75,2.58,9.67,6.42,1.92,16.75,10.42,1.33,3.25,7.83,32.58,2.75,41,"201108",53,"201103"
201101,"2011","45106",8,"Castilla - La Mancha",45,"Toledo","Mora",1201.08,90.75,298.33,181.92,95.42,327.83,206.83,201,157.25,186.25,570.75,85.83,1087,"201101",1283,"201111"
201101,"2011","45107",8,"Castilla - La Mancha",45,"Toledo","Nambroca",377.92,25.33,103.67,53.67,20.5,127.42,47.33,10.08,35,46.33,274.75,11.75,348,"201101",412,"201111"
201101,"2011","45108",8,"Castilla - La Mancha",45,"Toledo","Nava de Ricomalillo, La",41.75,4.08,8.92,14.33,1,8.58,4.83,5.33,3.33,10.33,20.83,1.92,35,"201107",46,"201101"
201101,"2011","45109",8,"Castilla - La Mancha",45,"Toledo","Navahermosa",504.25,25.92,143.17,66.67,25,149.75,93.75,86.08,127.5,51,212,27.67,438,"201101",532,"201104"
201101,"2011","45110",8,"Castilla - La Mancha",45,"Toledo","Navalc�n",344.75,19.75,51.58,75.92,16.67,94.75,86.08,11.92,23.08,72.08,217.58,20.08,334,"201105",356,"201112"
201101,"2011","45111",8,"Castilla - La Mancha",45,"Toledo","Navalmoralejo",3.67,0,0.17,1.5,0,1,1,0,0,0,3.67,0,3,"201101",5,"201109"
201101,"2011","45112",8,"Castilla - La Mancha",45,"Toledo","Navalmorales, Los",269.67,24.25,53.25,47.67,13.75,81.75,49,75.25,21.25,28.42,133.75,11,219,"201101",302,"201106"
201101,"2011","45113",8,"Castilla - La Mancha",45,"Toledo","Navalucillos, Los",208.67,12.75,32.42,38.25,12.75,49.92,62.58,23.42,29.58,29,114.75,11.92,199,"201105",222,"201110"
