"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
202501,"2025","16","País Vasco","01","Araba/Álava",0,18637,754,2455,4058,716,4693,5692,453,1639,807,12939,2596
202502,"2025","16","País Vasco","01","Araba/Álava",0,18572,813,2479,4010,748,4605,5655,442,1637,811,12849,2640
202503,"2025","16","País Vasco","01","Araba/Álava",0,18740,874,2585,4003,758,4651,5635,444,1705,789,12873,2730
202504,"2025","16","País Vasco","01","Araba/Álava",0,18574,803,2590,4038,696,4623,5574,426,1765,797,12656,2717
202505,"2025","16","País Vasco","01","Araba/Álava",0,18159,732,2457,4016,669,4473,5571,396,1718,773,12308,2766
202506,"2025","16","País Vasco","01","Araba/Álava",0,17902,719,2354,3944,636,4474,5543,397,1677,753,12126,2735
202507,"2025","16","País Vasco","01","Araba/Álava",0,17874,703,2385,3956,615,4486,5489,377,1682,751,12214,2642
202508,"2025","16","País Vasco","01","Araba/Álava",0,18384,727,2568,4065,613,4669,5507,369,1776,753,12741,2569
202509,"2025","16","País Vasco","01","Araba/Álava",0,18300,730,2405,4098,658,4552,5619,382,1709,745,12606,2693
202510,"2025","16","País Vasco","01","Araba/Álava",0,18331,752,2360,4104,667,4505,5687,433,1711,743,12486,2776
202511,"2025","16","País Vasco","01","Araba/Álava",0,18050,737,2359,4095,629,4401,5604,442,1669,750,12214,2769
202501,"2025","08","Castilla - La Mancha","02","Albacete",0,24172,868,2427,4630,862,5078,9972,1202,2241,1117,17418,1880
202502,"2025","08","Castilla - La Mancha","02","Albacete",0,23970,878,2381,4579,874,5003,9924,1202,2194,1108,17207,1946
202503,"2025","08","Castilla - La Mancha","02","Albacete",0,23862,868,2335,4540,891,5050,9832,1209,2199,1092,17076,1962
202504,"2025","08","Castilla - La Mancha","02","Albacete",0,23205,768,2323,4457,812,4860,9667,1166,2158,1060,16600,1929
202505,"2025","08","Castilla - La Mancha","02","Albacete",0,22329,743,2187,4271,740,4625,9422,1071,2064,1001,16011,1878
202506,"2025","08","Castilla - La Mancha","02","Albacete",0,21434,743,2031,4144,722,4315,9171,1051,1975,939,15331,1840
202507,"2025","08","Castilla - La Mancha","02","Albacete",0,21144,773,2048,4066,712,4275,8939,1076,1959,939,15004,1848
202508,"2025","08","Castilla - La Mancha","02","Albacete",0,20846,750,2062,3981,703,4204,8782,1057,1936,945,14814,1765
202509,"2025","08","Castilla - La Mancha","02","Albacete",0,21083,792,2050,3985,795,4267,8826,1052,1994,940,15003,1776
202510,"2025","08","Castilla - La Mancha","02","Albacete",0,21351,879,2138,3945,816,4393,8829,1065,2062,910,15205,1784
202511,"2025","08","Castilla - La Mancha","02","Albacete",0,21175,886,2100,3940,845,4306,8759,1080,2078,887,15016,1788
202501,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,128103,3570,16555,30434,3286,26097,47758,3706,14558,10951,89264,9359
202502,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,126195,3666,16131,29936,3342,25652,47100,3655,14284,10756,87795,9450
202503,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,124770,3691,15835,29607,3298,25124,46830,3640,14088,10708,86611,9471
202504,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,122686,3495,15291,29218,3074,24738,46494,3559,13939,10565,84930,9439
202505,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,120442,3307,14876,28876,2913,24237,45857,3458,13697,10374,83241,9426
202506,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,118461,3137,14535,28481,2851,23747,45321,3403,13493,10324,81604,9417
202507,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,117693,2811,14571,28370,2579,24006,44954,3335,13480,10448,81102,9090
202508,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,118329,2956,14873,28738,2683,23909,44794,3297,13683,10767,81258,9079
202509,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,118075,3376,14731,28388,3035,23442,44698,3298,13519,10340,81409,9294
202510,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,119232,3638,14841,28393,3252,23782,44922,3294,13470,10121,82523,9589
202511,"2025","10","Comunitat Valenciana","03","Alicante/Alacant",0,119454,3741,14839,28268,3254,23931,45053,3307,13327,9962,82745,9868
202501,"2025","01","Andalucía","04","Almería",0,46957,2066,7079,10365,1786,10825,14517,4486,1805,4245,30515,5605
202502,"2025","01","Andalucía","04","Almería",0,46670,2135,6902,10232,1832,10812,14455,4429,1788,4139,30316,5680
202503,"2025","01","Andalucía","04","Almería",0,46831,2243,6904,10162,1899,10834,14442,4449,1798,4156,30181,5930
202504,"2025","01","Andalucía","04","Almería",0,45507,2006,6545,9962,1718,10613,14307,4203,1743,4064,29501,5670
202505,"2025","01","Andalucía","04","Almería",0,44820,1944,6400,9724,1766,10497,14134,4268,1685,3950,29070,5515
202506,"2025","01","Andalucía","04","Almería",0,44412,1872,6324,9711,1733,10339,14089,4369,1627,3899,28859,5344
202507,"2025","01","Andalucía","04","Almería",0,43592,1842,6334,9666,1613,10009,13775,4343,1606,3880,28377,5086
202508,"2025","01","Andalucía","04","Almería",0,43522,1745,6329,9660,1604,10133,13713,4202,1657,3897,28526,4924
202509,"2025","01","Andalucía","04","Almería",0,43883,1969,6266,9583,1776,10176,13752,4010,1675,3787,28899,5178
202510,"2025","01","Andalucía","04","Almería",0,43625,2094,6148,9523,1782,10038,13668,3879,1688,3773,28615,5349
202511,"2025","01","Andalucía","04","Almería",0,43188,2104,6081,9465,1750,9768,13651,3763,1685,3710,28335,5350
