;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201301;Enero de 2013;1;Andalucía;4;Almería;4054;Illar;31;4;10;5;1;7;4;0;4;6;19;2
201301;Enero de 2013;1;Andalucía;4;Almería;4055;Instinción;39;2;15;10;0;7;5;1;2;6;26;4
201301;Enero de 2013;1;Andalucía;4;Almería;4056;Laroya;18;0;5;9;0;2;2;0;6;1;11;0
201301;Enero de 2013;1;Andalucía;4;Almería;4057;Láujar de Andarax;208;11;51;60;5;42;39;13;13;60;116;6
201301;Enero de 2013;1;Andalucía;4;Almería;4058;Líjar;66;6;18;21;2;14;5;3;17;14;30;2
201301;Enero de 2013;1;Andalucía;4;Almería;4059;Lubrín;126;10;32;36;5;29;14;5;9;28;69;15
201301;Enero de 2013;1;Andalucía;4;Almería;4060;Lucainena de las Torres;36;0;10;9;2;12;3;3;0;10;20;3
201301;Enero de 2013;1;Andalucía;4;Almería;4061;Lúcar;68;1;20;17;3;17;10;6;18;12;27;5
201301;Enero de 2013;1;Andalucía;4;Almería;4062;Macael;901;36;219;196;22;247;181;24;380;67;333;97
201301;Enero de 2013;1;Andalucía;4;Almería;4063;María;81;7;18;22;2;23;9;6;12;16;45;2
201301;Enero de 2013;1;Andalucía;4;Almería;4064;Mojácar;588;22;133;124;15;156;138;4;17;66;461;40
201301;Enero de 2013;1;Andalucía;4;Almería;4065;Nacimiento;20;0;6;7;0;2;5;4;3;5;8;0
201301;Enero de 2013;1;Andalucía;4;Almería;4066;Níjar;2418;108;703;543;94;619;351;657;109;401;1095;156
201301;Enero de 2013;1;Andalucía;4;Almería;4067;Ohanes;76;13;27;14;6;12;4;8;3;23;35;7
201301;Enero de 2013;1;Andalucía;4;Almería;4068;Olula de Castro;3;0;1;1;0;1;0;1;0;1;1;0
201301;Enero de 2013;1;Andalucía;4;Almería;4069;Olula del Río;995;31;242;267;25;285;145;31;306;124;420;114
201301;Enero de 2013;1;Andalucía;4;Almería;4070;Oria;124;10;40;30;12;19;13;14;9;28;57;16
201301;Enero de 2013;1;Andalucía;4;Almería;4071;Padules;30;2;9;6;2;6;5;1;1;12;13;3
201301;Enero de 2013;1;Andalucía;4;Almería;4072;Partaloa;35;1;11;8;0;10;5;1;7;8;19;0
201301;Enero de 2013;1;Andalucía;4;Almería;4073;Paterna del Río;18;0;7;4;0;5;2;5;0;5;8;0
201301;Enero de 2013;1;Andalucía;4;Almería;4074;Pechina;545;42;150;103;40;123;87;43;35;144;259;64
201301;Enero de 2013;1;Andalucía;4;Almería;4075;Pulpí;462;27;92;79;27;141;96;105;28;58;230;41
