;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201302;Febrero de 2013;2;Aragón;44;Teruel;44075;Celadas;32;3;6;9;1;7;6;5;5;7;12;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44076;Cella;236;11;72;47;9;60;37;5;28;58;134;11
201302;Febrero de 2013;2;Aragón;44;Teruel;44077;Cerollera, La;1;0;0;0;0;1;0;0;1;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44080;Codoñera, La;16;2;5;1;1;5;2;3;2;3;8;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44082;Corbalán;9;1;2;1;2;2;1;0;2;1;5;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44084;Cortes de Aragón;1;0;0;0;0;0;1;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44085;Cosa;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44086;Cretas;36;4;4;9;2;9;8;2;5;4;24;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44087;Crivillén;7;1;2;2;1;0;1;0;1;1;3;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44088;Cuba, La;3;0;2;0;0;1;0;0;0;1;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44089;Cubla;2;0;0;1;0;1;0;0;1;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44090;Cucalón;2;0;1;1;0;0;0;0;1;1;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44092;Cuervo, El;9;1;3;2;0;3;0;0;0;3;6;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44093;Cuevas de Almudén;17;1;5;2;1;4;4;1;0;7;6;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44094;Cuevas Labradas;8;0;3;2;0;2;1;1;1;0;6;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44096;Ejulve;15;0;5;3;1;3;3;1;2;2;8;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44097;Escorihuela;2;0;0;0;1;1;0;0;0;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44099;Escucha;147;17;39;22;15;33;21;7;24;11;83;22
201302;Febrero de 2013;2;Aragón;44;Teruel;44100;Estercuel;30;2;17;4;2;3;2;5;4;14;7;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44101;Ferreruela de Huerva;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44102;Fonfría;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44103;Formiche Alto;9;1;1;2;0;1;4;0;3;3;1;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44105;Fórnoles;3;0;1;0;0;1;1;0;0;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44106;Fortanete;13;2;3;3;1;3;1;1;3;2;4;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44107;Foz-Calanda;16;0;3;1;2;5;5;1;3;1;11;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44108;Fresneda, La;46;3;16;7;2;13;5;0;9;7;28;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44109;Frías de Albarracín;17;4;2;2;1;7;1;2;1;1;12;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44110;Fuenferrada;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44111;Fuentes Calientes;8;0;2;3;0;2;1;3;2;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44112;Fuentes Claras;29;1;5;12;1;5;5;3;7;9;9;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44113;Fuentes de Rubielos;23;0;4;9;0;7;3;2;3;5;12;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44114;Fuentespalda;21;4;8;2;0;4;3;3;5;2;11;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44115;Galve;10;2;2;2;1;3;0;1;0;3;6;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44116;Gargallo;4;0;1;1;0;2;0;0;1;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44117;Gea de Albarracín;34;7;6;7;1;7;6;2;4;3;25;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44118;Ginebrosa, La;7;1;1;3;0;1;1;1;1;3;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44119;Griegos;11;1;0;3;1;2;4;1;0;0;9;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44120;Guadalaviar;16;1;5;2;2;5;1;2;0;7;7;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44121;Gúdar;6;0;2;0;0;3;1;1;0;1;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44122;Híjar;146;6;40;30;2;29;39;19;44;16;66;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44123;Hinojosa de Jarque;8;0;3;1;0;2;2;2;1;2;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44124;Hoz de la Vieja, La;5;1;0;1;1;1;1;0;1;0;3;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44125;Huesa del Común;1;0;1;0;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44126;Iglesuela del Cid, La;45;4;18;7;4;5;7;1;15;11;16;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44127;Jabaloyas;1;0;1;0;0;0;0;0;0;1;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44128;Jarque de la Val;2;0;0;1;0;0;1;0;1;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44129;Jatiel;5;1;0;1;0;1;2;1;1;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44130;Jorcas;2;0;1;0;0;0;1;0;0;1;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44131;Josa;1;0;1;0;0;0;0;0;0;1;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44132;Lagueruela;3;0;1;0;0;2;0;1;0;0;1;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44133;Lanzuela;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44135;Libros;11;1;3;2;0;1;4;0;2;0;9;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44136;Lidón;1;0;0;1;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44137;Linares de Mora;11;0;4;1;0;6;0;0;2;4;5;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44138;Loscos;4;0;1;3;0;0;0;0;1;2;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44141;Lledó;13;1;2;6;0;3;1;2;0;3;8;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44142;Maicas;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44143;Manzanera;42;1;14;8;5;9;5;2;7;6;27;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44144;Martín del Río;32;2;5;8;3;11;3;3;5;6;15;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44145;Mas de las Matas;90;4;33;19;3;18;13;8;12;25;43;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44146;Mata de los Olmos, La;21;2;7;3;1;6;2;1;4;6;9;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44147;Mazaleón;28;1;10;7;0;5;5;3;2;4;19;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44148;Mezquita de Jarque;8;0;4;1;0;1;2;1;0;2;4;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44149;Mirambel;7;2;2;1;0;1;1;0;1;2;3;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44150;Miravete de la Sierra;1;0;1;0;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44151;Molinos;17;1;6;5;0;1;4;1;0;4;12;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44152;Monforte de Moyuela;5;0;3;0;0;1;1;1;0;2;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44153;Monreal del Campo;229;6;70;45;12;60;36;12;59;34;110;14
201302;Febrero de 2013;2;Aragón;44;Teruel;44154;Monroyo;14;1;5;3;2;1;2;3;1;4;6;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44155;Montalbán;116;8;27;21;10;33;17;4;25;18;62;7
201302;Febrero de 2013;2;Aragón;44;Teruel;44156;Monteagudo del Castillo;1;0;1;0;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44157;Monterde de Albarracín;4;0;1;1;0;0;2;0;0;0;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44158;Mora de Rubielos;173;8;34;29;7;52;43;4;20;44;91;14
201302;Febrero de 2013;2;Aragón;44;Teruel;44159;Moscardón;5;0;1;2;0;1;1;0;0;1;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44160;Mosqueruela;51;1;20;9;0;10;11;3;11;13;23;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44161;Muniesa;36;3;14;9;1;6;3;4;7;8;14;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44163;Noguera de Albarracín;10;0;2;2;0;1;5;1;0;0;9;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44164;Nogueras;1;0;0;1;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44165;Nogueruelas;5;0;0;0;0;4;1;0;0;0;5;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44167;Obón;5;0;2;2;0;0;1;0;0;3;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44168;Odón;7;0;4;0;0;3;0;0;0;0;5;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44169;Ojos Negros;24;1;4;6;0;10;3;1;3;5;13;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44171;Olba;36;0;12;7;0;12;5;1;3;7;25;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44172;Oliete;18;1;4;6;1;4;2;0;7;2;6;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44173;Olmos, Los;4;1;2;1;0;0;0;2;0;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44174;Orihuela del Tremedal;55;10;10;9;3;8;15;6;4;11;27;7
201302;Febrero de 2013;2;Aragón;44;Teruel;44175;Orrios;11;1;4;2;0;2;2;0;0;4;7;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44176;Palomar de Arroyos;10;0;5;3;1;0;1;0;1;4;5;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44177;Pancrudo;1;0;0;0;0;1;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44178;Parras de Castellote, Las;6;0;1;3;0;0;2;0;1;1;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44179;Peñarroya de Tastavins;28;4;7;8;0;1;8;12;0;4;12;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44180;Peracense;2;0;1;1;0;0;0;0;0;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44181;Peralejos;6;0;1;2;0;1;2;0;2;2;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44182;Perales del Alfambra;17;3;6;1;0;3;4;1;1;2;12;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44183;Pitarque;4;0;1;0;0;2;1;1;0;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44184;Plou;5;0;4;0;0;1;0;0;0;4;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44185;Pobo, El;5;0;2;1;1;1;0;0;1;1;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44187;Portellada, La;10;0;3;1;2;1;3;0;1;2;7;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44189;Pozondón;3;0;2;0;0;1;0;2;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44190;Pozuel del Campo;4;0;1;2;0;0;1;0;0;0;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44191;Puebla de Híjar, La;80;6;13;27;2;23;9;5;25;14;34;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44192;Puebla de Valverde, La;31;1;11;3;0;12;4;3;7;4;17;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44193;Puertomingalvo;15;0;3;8;0;2;2;2;1;5;7;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44194;Ráfales;4;0;0;1;1;1;1;0;0;0;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44195;Rillo;1;1;0;0;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44196;Riodeva;7;1;3;0;0;3;0;0;2;2;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44197;Ródenas;2;0;0;1;0;0;1;0;0;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44198;Royuela;14;0;2;6;0;3;3;1;2;2;8;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44199;Rubiales;2;0;1;0;0;1;0;0;0;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44200;Rubielos de la Cérida;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44201;Rubielos de Mora;60;4;12;9;2;16;17;2;9;9;38;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44203;Salcedillo;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44204;Saldón;3;0;0;3;0;0;0;0;2;1;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44205;Samper de Calanda;42;1;15;11;2;9;4;5;10;12;15;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44206;San Agustín;18;0;6;5;0;4;3;1;4;0;13;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44207;San Martín del Río;8;0;1;6;0;0;1;2;1;4;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44208;Santa Cruz de Nogueras;3;0;0;1;0;1;1;0;0;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44209;Santa Eulalia;76;12;22;10;7;21;4;1;21;15;34;5
201302;Febrero de 2013;2;Aragón;44;Teruel;44210;Sarrión;88;4;23;21;4;22;14;11;11;24;39;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44211;Segura de los Baños;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44212;Seno;1;0;1;0;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44213;Singra;1;0;1;0;0;0;0;0;1;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44215;Terriente;13;1;1;2;1;2;6;1;1;4;6;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44216;Teruel;2941;207;770;497;183;837;447;53;308;466;1957;157
201302;Febrero de 2013;2;Aragón;44;Teruel;44217;Toril y Masegoso;2;0;2;0;0;0;0;1;0;1;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44218;Tormón;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44219;Tornos;4;1;1;2;0;0;0;0;1;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44220;Torralba de los Sisones;3;0;1;1;0;0;1;0;0;0;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44221;Torrecilla de Alcañiz;23;2;3;5;2;3;8;1;5;3;14;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44222;Torrecilla del Rebollar;2;0;0;1;0;1;0;0;0;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44223;Torre de Arcas;6;0;4;0;0;1;1;1;0;2;3;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44224;Torre de las Arcas;1;0;0;0;0;1;0;1;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44225;Torre del Compte;8;1;1;3;0;2;1;0;2;1;4;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44226;Torrelacárcel;12;0;3;4;3;1;1;1;1;0;6;4
201302;Febrero de 2013;2;Aragón;44;Teruel;44227;Torre los Negros;3;1;1;0;0;0;1;0;1;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44228;Torremocha de Jiloca;4;0;3;0;0;1;0;0;0;2;1;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44229;Torres de Albarracín;12;1;2;2;0;4;3;2;2;1;7;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44230;Torrevelilla;16;0;6;1;2;1;6;3;1;1;11;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44231;Torrijas;3;0;1;0;1;1;0;0;1;1;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44232;Torrijo del Campo;33;5;10;11;2;2;3;6;6;3;15;3
201302;Febrero de 2013;2;Aragón;44;Teruel;44234;Tramacastiel;6;2;2;2;0;0;0;0;0;4;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44235;Tramacastilla;9;1;2;2;0;3;1;0;1;1;7;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44236;Tronchón;7;0;3;1;1;1;1;1;0;1;4;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44237;Urrea de Gaén;29;2;6;4;1;7;9;0;11;2;16;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44238;Utrillas;424;39;114;57;40;99;75;13;87;36;252;36
201302;Febrero de 2013;2;Aragón;44;Teruel;44239;Valacloche;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44240;Valbona;12;0;4;3;2;2;1;0;5;1;6;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44241;Valdealgorfa;51;2;9;13;2;11;14;4;11;11;24;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44243;Valdecuenca;1;0;0;0;0;1;0;0;0;0;0;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44244;Valdelinares;1;0;0;0;0;1;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44245;Valdeltormo;28;1;5;7;1;9;5;1;6;3;18;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44246;Valderrobres;176;7;65;26;9;44;25;18;38;31;87;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44247;Valjunquera;17;2;3;4;1;6;1;0;4;3;10;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44249;Vallecillo, El;5;2;1;1;0;0;1;0;0;2;2;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44250;Veguillas de la Sierra;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44251;Villafranca del Campo;22;7;4;3;1;4;3;0;2;5;8;7
201302;Febrero de 2013;2;Aragón;44;Teruel;44252;Villahermosa del Campo;9;0;2;2;0;4;1;2;2;1;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44256;Villanueva del Rebollar de la Sierra;1;0;0;0;0;0;1;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44257;Villar del Cobo;10;0;4;0;1;3;2;2;1;3;3;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44258;Villar del Salz;2;0;0;2;0;0;0;0;0;2;0;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44260;Villarluengo;13;1;3;3;1;2;3;3;4;2;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44261;Villarquemado;75;8;15;18;6;14;14;7;3;9;49;7
201302;Febrero de 2013;2;Aragón;44;Teruel;44262;Villarroya de los Pinares;6;0;1;2;0;1;2;0;1;0;5;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44263;Villastar;40;2;13;6;2;8;9;1;7;3;27;2
201302;Febrero de 2013;2;Aragón;44;Teruel;44264;Villel;41;4;15;5;2;12;3;5;2;12;18;4
201302;Febrero de 2013;2;Aragón;44;Teruel;44265;Vinaceite;13;0;0;5;0;4;4;3;2;1;6;1
201302;Febrero de 2013;2;Aragón;44;Teruel;44266;Visiedo;2;0;0;1;0;0;1;0;0;0;2;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44267;Vivel del Río Martín;4;1;2;1;0;0;0;0;0;0;4;0
201302;Febrero de 2013;2;Aragón;44;Teruel;44268;Zoma, La;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50001;Abanto;8;1;2;5;0;0;0;3;4;0;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50002;Acered;11;1;2;3;2;1;2;3;1;3;4;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50003;Agón;6;0;0;2;0;1;3;0;0;0;6;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50004;Aguarón;36;2;12;6;3;7;6;4;5;4;20;3
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50005;Aguilón;2;0;1;0;0;1;0;0;1;1;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50006;Ainzón;81;7;24;21;4;12;13;10;14;13;39;5
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50007;Aladrén;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50008;Alagón;732;42;202;122;46;187;133;47;143;70;405;67
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50009;Alarba;5;0;1;2;1;0;1;1;2;1;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50010;Alberite de San Juan;3;0;1;1;1;0;0;0;2;0;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50011;Albeta;16;2;5;1;0;2;6;1;3;4;8;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50012;Alborge;6;1;1;2;0;1;1;1;1;1;2;1
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50013;Alcalá de Ebro;23;3;8;1;1;6;4;2;2;3;13;3
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50014;Alcalá de Moncayo;15;0;4;4;0;4;3;3;2;1;9;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50015;Alconchel de Ariza;2;0;0;1;0;0;1;0;0;1;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50016;Aldehuela de Liestos;2;0;0;2;0;0;0;0;0;0;2;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50017;Alfajarín;195;13;27;45;11;51;48;0;37;26;129;3
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50018;Alfamén;141;13;33;27;5;28;35;36;29;11;57;8
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50019;Alforque;8;1;0;3;0;1;3;0;0;2;6;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50020;Alhama de Aragón;102;5;29;22;4;21;21;2;14;11;71;4
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50021;Almochuel;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50022;Almolda, La;16;3;4;3;0;2;4;1;2;3;10;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50023;Almonacid de la Cuba;10;0;2;3;0;1;4;1;0;4;5;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50024;Almonacid de la Sierra;46;5;12;11;3;10;5;9;11;1;21;4
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50025;Almunia de Doña Godina, La;749;41;196;133;33;201;145;174;98;47;397;33
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50026;Alpartir;45;3;9;12;6;12;3;6;6;3;29;1
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50027;Ambel;19;2;4;3;0;5;5;3;6;0;7;3
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50028;Anento;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50029;Aniñón;50;8;11;7;3;11;10;7;15;5;19;4
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50030;Añón de Moncayo;20;1;7;4;1;3;4;1;2;3;13;1
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50031;Aranda de Moncayo;13;2;2;2;2;2;3;0;1;1;7;4
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50032;Arándiga;17;0;5;5;0;4;3;3;2;4;6;2
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50033;Ardisa;1;0;0;1;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50034;Ariza;74;4;16;21;2;22;9;4;7;15;35;13
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50035;Artieda;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50036;Asín;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50037;Atea;5;0;0;2;0;1;2;0;1;1;3;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50038;Ateca;150;17;28;30;3;31;41;13;42;20;67;8
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50039;Azuara;47;4;14;14;0;6;9;0;16;8;21;2
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50040;Badules;1;0;0;1;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50041;Bagüés;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50042;Balconchán;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50043;Bárboles;21;3;4;2;2;5;5;3;2;2;11;3
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50044;Bardallur;25;2;7;3;1;7;5;3;8;1;12;1
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50045;Belchite;105;5;27;26;3;23;21;4;34;11;53;3
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50046;Belmonte de Gracián;7;0;2;4;0;1;0;0;3;1;3;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50047;Berdejo;1;0;1;0;0;0;0;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50048;Berrueco;1;0;0;0;0;0;1;0;0;0;1;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50050;Bijuesca;5;0;1;0;0;1;3;0;1;1;3;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50051;Biota;93;5;26;22;6;22;12;11;12;17;47;6
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50052;Bisimbre;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50053;Boquiñeni;69;7;14;13;5;20;10;12;10;8;31;8
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50054;Bordalba;0;0;0;0;0;0;0;0;0;0;0;0
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50055;Borja;480;27;110;88;30;118;107;39;108;57;235;41
201302;Febrero de 2013;2;Aragón;50;Zaragoza;50056;Botorrita;44;1;13;13;0;8;9;3;11;4;24;2
