"anio","Cod CA","Cod provincia","poblacion_hombres","poblacion_mujeres","poblacion_total"
2025,"08","16",94126,98222,142515
2025,"08","19",139138,88508,278685
2025,"08","45",350532,357362,689813
2025,"09","08",2928469,3054856,5983325
2025,"09","17",404224,380570,757074
2025,"09","25",230416,203532,436945
2025,"09","43",394399,418579,820250
2025,"10","03",1003763,1026274,2030037
2025,"10","12",309647,296628,590993
2025,"10","46",1349607,1409026,2758633
2025,"11","06",318590,247178,643366
2025,"11","10",187614,194720,378140
2025,"12","15",544538,591074,1135612
2025,"12","27",156637,116526,280282
2025,"12","32",146705,157743,300794
2025,"12","36",450301,466971,915373
2025,"13","28",3417419,3719612,7137031
2025,"14","30",795969,793169,1589138
2025,"15","31",243361,341004,633586
2025,"16","01",168459,173702,338723
2025,"16","20",333968,336262,640053
2025,"16","48",564714,602102,1166816
2025,"17","26",160407,156925,160840
2025,"18","51",42153,41442,83595
